,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
1,Janja GARNBRET (SLO),5,8,2,2,0,4,29,10,5,44,48,60,91
2,Muriel SARKANY (BEL),5,11,1,4,0,5,20,19,6,45,93,21,48
3,Robyn ERBESFIELD (USA),4,6,1,1,1,3,14,10,4,28,34,41,82
4,Angela EITER (AUT),3,8,4,0,0,4,25,13,4,42,71,35,59
5,Liv SANSOZ (FRA),3,7,2,0,1,3,11,7,5,23,32,34,71
6,Jain KIM (KOR),3,10,1,3,1,5,30,13,13,56,103,29,54
7,Mina MARKOVIC (SLO),3,9,0,1,1,2,20,19,6,45,108,18,41
8,Johanna ERNST (AUT),2,3,1,0,1,2,9,4,3,16,27,33,59
9,Jessica PILZ (AUT),2,5,1,0,0,1,3,13,7,23,55,5,41
10,Isabelle PATISSIER (FRA),2,5,0,1,1,2,8,9,5,22,25,32,88
11,Chaehyun SEO (KOR),1,3,1,0,1,2,5,6,5,16,25,20,64
12,Maja VIDMAR (SLO),1,6,0,0,2,2,12,7,14,33,82,14,40
13,Nanette RAYBAUD (FRA),1,5,0,0,0,0,5,3,7,15,31,16,48
14,Lynn HILL (USA),1,3,0,0,0,0,4,6,2,12,17,23,70
15,Susi GOOD (SUI),0,3,2,0,0,2,5,4,6,15,19,26,78
16,Ai MORI (JPN),0,2,1,0,1,2,4,4,2,10,14,28,71
17,Martina CUFAR (SLO),0,5,1,0,0,1,3,8,5,16,69,4,23
18,Sandrine LEVET (FRA),0,4,0,0,1,1,5,11,9,25,49,10,51
19,Anak VERHOEVEN (BEL),0,4,0,1,0,1,3,7,9,19,42,7,45
20,Laurence GUYON (FRA),0,2,0,1,0,1,3,3,1,7,20,15,35
21,Magdalena RÖCK (AUT),0,3,0,0,2,2,2,4,3,9,53,3,16
22,Laura ROGORA (ITA),0,2,0,0,1,1,2,3,0,5,37,5,13
23,Momoka ODA (JPN),0,2,0,0,0,0,2,2,7,11,29,6,37
24,Erin MCNEICE (GBR),0,0,0,0,0,0,2,0,0,2,10,20,20
25,Caroline CIAVALDINI (FRA),0,5,0,0,0,0,1,10,2,13,70,1,18
26,Natalija GROS (SLO),0,5,0,0,0,0,1,7,8,16,62,1,25
27,Luisa IOVANE (ITA),0,4,0,0,0,0,1,2,3,6,61,1,9
28,Stéphanie BODET (FRA),0,4,0,0,0,0,1,0,9,10,27,3,37
29,Hélène JANICOT (FRA),0,3,0,0,0,0,1,1,4,6,75,1,8
30,Alexandra EYER (SUI),0,2,0,0,0,0,1,1,2,4,77,1,5
31,Vita LUKAN (SLO),0,2,0,0,0,0,1,0,2,3,37,2,8
32,Mei KOTAKE (JPN),0,2,0,0,0,0,1,0,1,2,29,3,6
33,Katrin SEDLMAYER (GER),0,1,0,0,0,0,1,2,1,4,15,6,26
34,Chloé MINORET (FRA),0,1,0,0,1,1,1,1,2,4,41,2,9
35,Charlotte DURIF (FRA),0,1,0,0,0,0,1,0,2,3,65,1,4
36,Katie BROWN (USA),0,1,0,0,0,0,1,0,0,1,4,25,25
37,Emilie POUGET (FRA),0,0,0,1,0,1,1,1,1,3,13,7,23
38,Eliska ADAMOVSKA (CZE),0,0,0,0,0,0,1,1,0,2,20,5,10
39,Natalie RICHER (FRA),0,4,0,0,0,0,0,1,0,1,35,0,2
40,Natalia GROSSMAN (USA),0,2,0,1,0,1,0,2,4,6,14,0,42
41,Akiyo NOGUCHI (JPN),0,2,0,0,1,1,0,4,6,10,51,0,19
42,Elena OVTCHINNIKOVA (USA),0,2,0,0,1,1,0,1,3,4,30,0,13
43,Elena CHOUMILOVA (RUS),0,2,0,0,0,0,0,1,2,3,26,0,11
44,Natsuki TANII (JPN),0,2,0,0,0,0,0,0,2,2,29,0,6
45,Lucka RAKOVEC (SLO),0,2,0,0,0,0,0,0,1,1,25,0,4
46,Marie GUILLET (FRA),0,2,0,0,0,0,0,0,1,1,21,0,4
47,Annatina SCHULTZ (SUI),0,2,0,0,0,0,0,0,1,1,29,0,3
48,Brooke RABOUTOU (USA),0,1,0,0,0,0,0,2,3,5,15,0,33
49,Bettina SCHÖPF (AUT),0,1,0,0,0,0,0,2,1,3,53,0,5
50,Corinne LABRUNE (FRA),0,1,0,0,0,0,0,2,0,2,16,0,12
51,Irati ANDA VILLANUEVA (ESP),0,1,0,0,0,0,0,2,0,2,23,0,8
52,Katharina POSCH (AUT),0,1,0,0,0,0,0,1,2,3,66,0,4
53,Julia CHANOURDIE (FRA),0,1,0,0,0,0,0,0,1,1,49,0,2
54,Manon HILY (FRA),0,1,0,0,0,0,0,0,1,1,32,0,3
55,Dinara FAKHRITDINOVA (RUS),0,1,0,0,0,0,0,0,1,1,49,0,2
56,Barbara BACHER (AUT),0,1,0,0,0,0,0,0,1,1,116,0,0
57,Cecile AVEZOU (FRA),0,1,0,0,0,0,0,0,0,0,0,0,0
58,Robyn ERBESFIELDS (USA),0,1,0,0,0,0,0,0,0,0,0,0,0
59,Mia KRAMPL (SLO),0,0,0,1,0,1,0,0,1,1,40,0,2
60,Emily HARRINGTON (USA),0,0,0,1,0,1,0,0,1,1,7,0,14
61,Yuka KOBAYASHI (JPN),0,0,0,0,0,0,0,1,3,4,77,0,5
62,Katharina SAURWEIN (AUT),0,0,0,0,0,0,0,1,1,2,44,0,4
63,Olga SHALAGINA (UKR),0,0,0,0,0,0,0,1,1,2,23,0,8
64,Zhilu LUO (CHN),0,0,0,0,0,0,0,1,0,1,13,0,7
65,Yuetong ZHANG (CHN),0,0,0,0,0,0,0,1,0,1,18,0,5
66,Nonoha KUME (JPN),0,0,0,0,0,0,0,1,0,1,4,0,25
67,Anne-sophie KOLLER (SUI),0,0,0,0,0,0,0,1,0,1,39,0,2
68,Ashima SHIRAISHI (USA),0,0,0,0,0,0,0,1,0,1,14,0,7
69,Mathilde BRUMAGNE (BEL),0,0,0,0,0,0,0,1,0,1,29,0,3
70,Marietta UHDEN (GER),0,0,0,0,1,1,0,0,3,3,43,0,6
71,Annie SANDERS (USA),0,0,0,0,0,0,0,0,3,3,8,0,37
72,Yana CHERESHNEVA (RUS),0,0,0,0,0,0,0,0,3,3,48,0,6
73,Maja STREMFELJ (SLO),0,0,0,0,0,0,0,0,2,2,7,0,28
74,Mattea PÖTZI (AUT),0,0,0,0,0,0,0,0,1,1,22,0,4
75,Fanny GIBERT (FRA),0,0,0,0,0,0,0,0,1,1,16,0,6
76,Molly THOMPSON-SMITH (GBR),0,0,0,0,0,0,0,0,1,1,37,0,2
77,Aleksandra TOTKOVA (BUL),0,0,0,0,0,0,0,0,1,1,16,0,6
78,Hannah SCHUBERT (AUT),0,0,0,0,0,0,0,0,1,1,29,0,3
79,Alizée DUFRAISSE (FRA),0,0,0,0,0,0,0,0,1,1,29,0,3
80,Jenny LAVARDA (ITA),0,0,0,0,0,0,0,0,1,1,112,0,0
81,Olga BIBIK (RUS),0,0,0,0,0,0,0,0,1,1,23,0,4
82,Lucka FRANKO (SLO),0,0,0,0,0,0,0,0,1,1,42,0,2
83,Iwona GRONKIEWICZ-MARCISZ (POL),0,0,0,0,0,0,0,0,1,1,29,0,3
84,Agnès BRARD (FRA),0,0,0,0,0,0,0,0,1,1,10,0,10
85,Angela STRIECKS (GER),0,0,0,0,0,0,0,0,1,1,15,0,6
86,Jennifer COLE (USA),0,0,0,0,0,0,0,0,1,1,3,0,33
87,Catherine DESTIVELLE (FRA),0,0,0,0,0,0,0,0,1,1,3,0,33
