,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
1,François LEGRAND (FRA),5,10,3,0,1,4,17,11,3,31,57,29,54
2,Jakob SCHUBERT (AUT),3,9,4,2,1,7,21,17,17,55,88,23,62
3,Adam ONDRA (CZE),3,5,3,2,2,7,16,6,1,23,43,37,53
4,Alexandre CHABOT (FRA),3,6,0,0,1,1,21,5,3,29,44,47,65
5,Patxi USOBIAGA LAKUNZA (ESP),2,7,1,3,0,4,6,13,6,25,65,9,38
6,François PETIT (FRA),2,7,1,0,1,2,4,5,7,16,53,7,30
7,Sachi AMMA (JPN),2,6,0,0,1,1,7,12,10,29,57,12,50
8,Yuji HIRAYAMA (JPN),2,5,0,2,1,3,6,7,5,18,49,12,36
9,Ramón JULIAN PUIGBLANQUE (ESP),1,10,2,1,0,3,21,14,8,43,129,16,33
10,Tomás MRÁZEK (CZE),1,6,2,1,1,4,10,11,8,29,66,15,43
11,Flavio CRESPI (ITA),1,5,0,0,0,0,7,5,4,16,68,10,23
12,Sorato ANRAKU (JPN),1,3,0,1,0,1,7,1,2,10,18,38,55
13,Romain DESGRANGES (FRA),1,7,0,0,0,0,6,4,6,16,117,5,13
14,Stefano GHISOLFI (ITA),1,5,0,0,0,0,6,6,3,15,85,7,17
15,Domen SKOFIC (SLO),1,5,0,0,0,0,5,5,5,15,75,6,20
16,Jorg VERHOEVEN (NED),1,3,0,0,1,1,4,7,11,22,70,5,31
17,Simon NADIN (GBR),1,1,0,0,0,0,4,1,1,6,7,57,85
18,François LOMBARD (FRA),1,4,0,0,0,0,3,4,4,11,31,9,35
19,Arnaud PETIT (FRA),1,3,0,1,0,1,3,3,3,9,35,8,25
20,Toby ROBERTS (GBR),1,2,0,0,0,0,3,1,4,8,15,20,53
21,Luka POTOCAR (SLO),1,2,0,1,0,1,1,2,0,3,39,2,7
22,Alberto GINÉS LÓPEZ (ESP),1,2,0,0,0,0,0,5,5,10,26,0,38
23,Dohyun LEE (KOR),0,1,1,0,0,1,1,1,1,3,25,4,12
24,Bernardino LAGNI (ITA),0,1,1,0,0,1,1,0,1,2,36,2,5
25,Gérome POUVREAU (FRA),0,2,1,0,0,1,0,3,5,8,35,0,22
26,David LAMA (AUT),0,1,0,0,1,1,5,1,1,7,29,17,24
27,Evgeny OVCHINNIKOV (RUS),0,2,0,0,0,0,4,3,3,10,57,7,17
28,Sean MCCOLL (CAN),0,4,0,1,0,1,3,9,8,20,70,4,28
29,Didier RABOUTOU (FRA),0,2,0,0,0,0,3,2,2,7,12,25,58
30,Gautier SUPPER (FRA),0,2,0,0,1,1,2,0,4,6,59,3,10
31,Cédric LACHAT (SUI),0,1,0,0,1,1,2,3,10,15,52,3,28
32,Jesse GRUPPER (USA),0,1,0,0,0,0,2,2,1,5,26,7,19
33,Neo SUZUKI (JPN),0,1,0,0,0,0,2,2,0,4,13,15,30
34,Sascha LEHMANN (SUI),0,1,0,0,0,0,2,1,1,4,51,3,7
35,Jacky GODOFFE (FRA),0,1,0,0,0,0,2,0,2,4,12,16,33
36,Sean BAILEY (USA),0,1,0,0,0,0,2,0,1,3,33,6,9
37,Colin DUFFY (USA),0,0,0,0,0,0,2,0,2,4,16,12,25
38,Cristian BRENNA (ITA),0,4,0,0,0,0,1,3,3,7,59,1,11
39,Jean-baptiste TRIBOUT (FRA),0,4,0,0,0,0,1,2,5,8,31,3,25
40,Taisei HOMMA (JPN),0,2,0,0,1,1,1,5,1,7,34,2,20
41,François AUCLAIR (FRA),0,2,0,0,0,0,1,2,2,5,32,3,15
