Gender,,Female,Female,Female,Male,Male,Male
Position,,1,2,3,1,2,3
StartDate,Event,,,,,,
2022-08-11,EuroChamp Munich 2022,Janja GARNBRET,Mia KRAMPL,Jessica PILZ,Jakob SCHUBERT,Adam ONDRA,Alberto GINÉS LÓPEZ
2023-08-01,Wchamp 2023,Janja GARNBRET,Jessica PILZ,Ai MORI,Jakob SCHUBERT,Colin DUFFY,Tomoa NARASAKI
2023-10-20,Pan American Olympic Qualifier 2023,Natalia GROSSMAN,Brooke RABOUTOU,Alannah YIP,Jesse GRUPPER,Sean BAILEY,Zach GALLA
2023-10-26,European Olympic Boulder-Lead Qualifier 2023,Oriane BERTONE,Stasa GEJO,Laura ROGORA,Toby ROBERTS,Alberto GINÉS LÓPEZ,Sam AVEZOU
2023-11-09,Asian Olympic Qualifier 2023,Yuetong ZHANG,Miho NONAKA,Futaba ITO,Sorato ANRAKU,Yufei PAN,Dohyun LEE
2023-11-24,Oceania Olympic Qualifier 2023,Oceania MACKENZIE,Maya STASIUK,Emily SCOTT,Campbell HARRISON,Sam LAVENDER,Dylan PARKS
2023-12-07,African Olympic Qualifier 2023,Lauren MUKHEIBIR,Rauen KROHN,Caitlin BOUWER,Mel JANSE VAN RENSBURG,Christopher COSSER,Nicholas ALLAN
2024-07-26,Olympics 2024,Janja GARNBRET,Brooke RABOUTOU,Jessica PILZ,Toby ROBERTS,Sorato ANRAKU,Jakob SCHUBERT
2024-08-27,EuroChamp Villars 2024,Laura ROGORA,Ievgeniia KAZBEKOVA,Zélia AVEZOU,Sam AVEZOU,Sascha LEHMANN,Jonas UTELLI
