Gender,,Female,Female,Female,Male,Male,Male
Position,,1,2,3,1,2,3
StartDate,Event,,,,,,
2022-08-11,EuroChamp Munich 2022,Aleksandra MIROSLAW,Aleksandra KALUCKA,Natalia KALUCKA,Danyil BOLDYREV,Marcin DZIENSKI,Guillaume MORO
2023-08-01,Wchamp 2023,Desak MADE RITA KUSUMA DEWI,Emma HUNT,Aleksandra MIROSLAW,Matteo ZURLONI,Jinbao LONG,Rahmad ADI MULYONO
2023-09-15,European Olympic Speed Qualifier 2023,Aleksandra MIROSLAW,Aleksandra KALUCKA,Natalia KALUCKA,Bassa MAWEM,Marcin DZIENSKI,Hryhorii ILCHYSHYN
2023-10-20,Pan American Olympic Qualifier 2023,Piper KELLY,Emma HUNT,Andrea ROJAS,Samuel WATSON,Noah BRATSCHI,Carlos GRANJA
2023-11-09,Asian Olympic Qualifier 2023,Lijuan DENG,Jimin JEONG,Rajiah SALLSABILLAH,Rahmad ADI MULYONO,Kiromal KATIBIN,Ryo OMASA
2023-11-24,Oceania Olympic Qualifier 2023,Sarah TETZLAFF,Grace CROWLEY,Abby GEBERT,Julian DAVID,Hayden BARTON,Flynn CHISHOLM
2023-12-07,African Olympic Qualifier 2023,Aniya HOLDER,Tegwen OATES,Alyssa MEYER,Joshua BRUYNS,John STUCKEN,Joseph GIBBON
2024-07-26,Olympics 2024,Aleksandra MIROSLAW,Lijuan DENG,Aleksandra KALUCKA,Veddriq LEONARDO,Peng WU,Samuel WATSON
2024-08-27,EuroChamp Villars 2024,Natalia KALUCKA,Patrycja CHUDZIAK,Giulia RANDI ,Ludovico FOSSALI,Matteo ZURLONI,Erik NOYA CARDONA
