Gender,,,Female,Female,Female,Male,Male,Male
Position,,,1,2,3,1,2,3
Year,StartDate,Event,,,,,,
2024,2024-04-12,WC Wujiang 2024,Aleksandra MIROSLAW,Natalia KALUCKA,Jimin JEONG,Peng WU,Samuel WATSON,Kiromal KATIBIN
2024,2024-05-03,WC Salt Lake City 2024,Emma HUNT,Aleksandra KALUCKA,Lijuan DENG,Samuel WATSON,Noah BRATSCHI,Kevin AMON
2024,2024-07-12,WC Chamonix 2024,Shaoqin ZHANG,Natalia KALUCKA,Jimin JEONG,Samuel WATSON,Xinshang WANG,Erik NOYA CARDONA
2024,2024-07-17,WC Briancon 2024,Lijuan DENG,Jimin JEONG,Shaoqin ZHANG,Ludovico FOSSALI,Erik NOYA CARDONA,Jianguo LONG
2024,2024-10-02,WC Seoul 2024,Yafei ZHOU,Rajiah SALLSABILLAH,Shengyan WANG,Xinshang WANG,Amir MAIMURATOV,Kiromal KATIBIN
2025,2025-04-25,WC Wujiang 2025,Shaoqin ZHANG,Jimin JEONG,Lijuan DENG,Jianguo LONG,Hryhorii ILCHYSHYN,Kiromal KATIBIN
2025,2025-05-02,WC Bali 2025,Aleksandra MIROSLAW,Yafei ZHOU,Adi Asih KADEK,Samuel WATSON,Ryo OMASA,Kiromal KATIBIN
2025,2025-05-31,WC Denver 2025,Emma HUNT,Natalia KALUCKA,Lijuan DENG,Kiromal KATIBIN,Zach HAMMER,Samuel WATSON
2025,2025-07-05,WC Krakow 2025,Desak MADE RITA KUSUMA DEWI,Emma HUNT,Aleksandra MIROSLAW,Raharjati NURSAMSA,Kiromal KATIBIN,Ryo OMASA
2025,2025-07-11,WC Chamonix 2025,Aleksandra MIROSLAW,Desak MADE RITA KUSUMA DEWI,Emma HUNT,Samuel WATSON,Rishat KHAIBULLIN,Zach HAMMER
2025,2025-09-12,WC Guiyang 2025,Shixue MENG,Jimin JEONG,Emma HUNT,Shouhong CHU,Ryo OMASA,Leander CARMANNS
2026,2026-05-08,WC Wujiang 2026,Aleksandra KALUCKA,Elizaveta IVANOVA,Desak MADE RITA KUSUMA DEWI,Yicheng ZHAO,Jianguo LONG,Samuel WATSON
2026,2026-05-28,WC Madrid 2026,Emma HUNT,Polina KHALKEVYCH,Shaoqin ZHANG,Shouhong CHU,Antasyafi ROBBY AL HILMI,Jie YANG
