,Nation,Winner,Wins,WinPercent
0,Austria,Angela EITER,25,35
1,Austria,David LAMA,5,17
2,Austria,Jakob SCHUBERT,21,24
3,Austria,Jessica PILZ,3,5
4,Austria,Johanna ERNST,9,33
5,Austria,Magdalena RÖCK,2,3
6,Belgium,Anak VERHOEVEN,3,7
7,Belgium,Muriel SARKANY,20,21
8,Canada,Sean MCCOLL,3,4
9,Czechia,Adam ONDRA,16,38
10,Czechia,Eliska ADAMOVSKA,1,5
11,Czechia,Tomás MRÁZEK,10,15
12,France,Alexandre CHABOT,21,47
13,France,Arnaud PETIT,3,8
14,France,Caroline CIAVALDINI,1,1
15,France,Charlotte DURIF,1,1
16,France,Chloé MINORET,1,2
17,France,Didier RABOUTOU,3,25
18,France,Emilie POUGET,1,7
19,France,François AUCLAIR,1,3
20,France,François LEGRAND,17,29
21,France,François LOMBARD,3,9
22,France,François PETIT,4,7
23,France,Gautier SUPPER,2,3
24,France,Hélène JANICOT,1,1
25,France,Isabelle PATISSIER,8,32
26,France,Jacky GODOFFE,2,16
27,France,Jean-baptiste TRIBOUT,1,3
28,France,Laurence GUYON,3,15
29,France,Liv SANSOZ,11,34
30,France,Ludovic LAURENCE,1,10
31,France,Nanette RAYBAUD,5,16
32,France,Romain DESGRANGES,6,5
33,France,Sandrine LEVET,5,10
34,France,Stéphanie BODET,1,3
35,Germany,Alexander MEGOS,1,3
36,Germany,Andreas BINDHAMMER,1,1
37,Germany,Christoph FINKEL,1,6
38,Germany,Guido KÖSTERMEYER,1,7
39,Germany,Katrin SEDLMAYER,1,6
40,Germany,Sebastian HALENKE,1,1
41,Germany,Timo PREUSSLER,1,4
42,Italy,Bernardino LAGNI,1,2
43,Italy,Cristian BRENNA,1,1
44,Italy,Flavio CRESPI,7,10
45,Italy,Laura ROGORA,2,4
46,Italy,Luisa IOVANE,1,1
47,Italy,Marcello BOMBARDI,1,1
48,Italy,Stefano GHISOLFI,6,7
49,Japan,Ai MORI,4,28
50,Japan,Ao YURIKUSA,1,4
51,Japan,Hidemasa NISHIDA,1,8
52,Japan,Hiroto SHIMIZU,1,7
53,Japan,Keiichiro KORENAGA,1,4
54,Japan,Masahiro HIGUCHI,1,1
55,Japan,Mei KOTAKE,1,3
56,Japan,Momoka ODA,2,6
57,Japan,Neo SUZUKI,1,9
58,Japan,Sachi AMMA,7,12
59,Japan,Satone YOSHIDA,1,3
60,Japan,Sorato ANRAKU,7,43
61,Japan,Taisei HOMMA,1,2
62,Japan,Yuji HIRAYAMA,6,12
63,Japan,Zento MURASHITA,1,9
64,Netherlands,Jorg VERHOEVEN,4,5
65,Republic of Korea,Chaehyun SEO,6,20
66,Republic of Korea,Dohyun LEE,1,4
67,Republic of Korea,Hyunbin MIN,1,1
68,Republic of Korea,Jain KIM,30,28
69,Russia,Evgeny OVCHINNIKOV,4,7
70,Russia,Salavat RAKHMETOV,1,3
71,Slovenia,Domen SKOFIC,5,6
72,Slovenia,Janja GARNBRET,31,62
73,Slovenia,Klemen BECAN,1,1
74,Slovenia,Luka POTOCAR,1,2
75,Slovenia,Maja VIDMAR,12,14
76,Slovenia,Martina CUFAR,3,4
77,Slovenia,Mina MARKOVIC,20,18
78,Slovenia,Natalija GROS,1,1
79,Slovenia,Vita LUKAN,1,2
80,Spain,Carlos BRASCOE,1,16
81,Spain,Eduard MARIN GARCIA,1,2
82,Spain,Patxi USOBIAGA LAKUNZA,6,9
83,Spain,Ramón JULIAN PUIGBLANQUE,21,16
84,Switzerland,Alexandra EYER,1,1
85,Switzerland,Cédric LACHAT,2,3
86,Switzerland,Elie CHEVIEUX,1,2
87,Switzerland,Sascha LEHMANN,2,4
88,Switzerland,Susi GOOD,5,26
89,United Kingdom,Erin MCNEICE,2,14
90,United Kingdom,Jerry MOFFATT,1,20
91,United Kingdom,Simon NADIN,4,57
92,United Kingdom,Toby ROBERTS,3,20
93,United States of America,Annie SANDERS,1,9
94,United States of America,Chris SHARMA,1,25
95,United States of America,Colin DUFFY,2,12
96,United States of America,Jesse GRUPPER,2,8
97,United States of America,Katie BROWN,1,25
98,United States of America,Lynn HILL,4,23
99,United States of America,Robyn ERBESFIELD,14,41
100,United States of America,Sean BAILEY,2,6
