Athlete,Sex,CompType,TheDate,FinPosn,EvPoints,CumPoints
Agathe CALLIET,Female,Boulder,2025-04-20,17,205,205
Agathe CALLIET,Female,Boulder,2025-05-18,14,260,465
Agathe CALLIET,Female,Boulder,2025-05-25,12,300,765
Agathe CALLIET,Female,Boulder,2025-06-08,2,805,1570
Agathe CALLIET,Female,Boulder,2025-06-15,14,260,1830
Agathe CALLIET,Female,Boulder,2025-06-29,11,325,2155
Alberto GINÉS LÓPEZ,Male,Lead,2025-04-27,3,690,690
Alberto GINÉS LÓPEZ,Male,Lead,2025-05-04,3,690,1380
Alberto GINÉS LÓPEZ,Male,Lead,2025-06-29,3,690,2070
Alberto GINÉS LÓPEZ,Male,Lead,2025-07-13,2,805,2875
Alberto GINÉS LÓPEZ,Male,Lead,2025-07-19,2,805,3680
Alberto GINÉS LÓPEZ,Male,Lead,2025-09-06,2,805,4485
Aleksandra MIROSLAW,Female,Speed,2025-04-27,6,495,495
Aleksandra MIROSLAW,Female,Speed,2025-05-04,1,1000,1495
Aleksandra MIROSLAW,Female,Speed,2025-07-06,3,690,2185
Aleksandra MIROSLAW,Female,Speed,2025-07-13,1,1000,3185
Amir MAIMURATOV,Male,Speed,2025-04-27,8,415,415
Amir MAIMURATOV,Male,Speed,2025-05-04,11,325,740
Amir MAIMURATOV,Male,Speed,2025-06-01,6,495,1235
Amir MAIMURATOV,Male,Speed,2025-07-06,5,545,1780
Amir MAIMURATOV,Male,Speed,2025-07-13,6,495,2275
Amir MAIMURATOV,Male,Speed,2025-09-13,10,350,2625
Annie SANDERS,Female,Boulder,2025-04-20,1,1000,1000
Annie SANDERS,Female,Boulder,2025-05-25,3,690,1690
Annie SANDERS,Female,Boulder,2025-06-08,12,300,1990
Annie SANDERS,Female,Boulder,2025-06-15,2,805,2795
Annie SANDERS,Female,Boulder,2025-06-29,6,495,3290
Annie SANDERS,Female,Lead,2025-04-27,3,690,690
Annie SANDERS,Female,Lead,2025-06-29,5,545,1235
Annie SANDERS,Female,Lead,2025-07-13,2,805,2040
Annie SANDERS,Female,Lead,2025-07-19,1,1000,3040
Anon MATSUFUJI,Female,Boulder,2025-04-20,11,325,325
Anon MATSUFUJI,Female,Boulder,2025-05-18,7,455,780
Anon MATSUFUJI,Female,Boulder,2025-05-25,14,260,1040
Anon MATSUFUJI,Female,Boulder,2025-06-08,5,545,1585
Anon MATSUFUJI,Female,Boulder,2025-06-15,6,495,2080
Anon MATSUFUJI,Female,Boulder,2025-06-29,3,690,2770
Anze PEHARC,Male,Boulder,2025-04-20,16,220,220
Anze PEHARC,Male,Boulder,2025-05-18,6,495,715
Anze PEHARC,Male,Boulder,2025-05-25,18,185,900
Anze PEHARC,Male,Boulder,2025-06-08,8,415,1315
Anze PEHARC,Male,Boulder,2025-06-15,15,240,1555
Anze PEHARC,Male,Boulder,2025-06-29,9,380,1935
Camilla MORONI,Female,Boulder,2025-04-20,27,73,73
Camilla MORONI,Female,Boulder,2025-05-18,3,690,763
Camilla MORONI,Female,Boulder,2025-05-25,11,325,1088
Camilla MORONI,Female,Boulder,2025-06-08,16,220,1308
Camilla MORONI,Female,Boulder,2025-06-15,12,300,1608
Camilla MORONI,Female,Boulder,2025-06-29,4,610,2218
Chaehyun SEO,Female,Lead,2025-04-27,1,1000,1000
Chaehyun SEO,Female,Lead,2025-05-04,2,805,1805
Chaehyun SEO,Female,Lead,2025-06-29,6,495,2300
Chaehyun SEO,Female,Lead,2025-07-13,1,1000,3300
Chaehyun SEO,Female,Lead,2025-07-19,7,455,3755
Chaehyun SEO,Female,Lead,2025-09-06,2,805,4560
Chaeyeong KIM,Female,Lead,2025-04-27,16,220,220
Chaeyeong KIM,Female,Lead,2025-05-04,12,300,520
Chaeyeong KIM,Female,Lead,2025-06-29,10,350,870
Chaeyeong KIM,Female,Lead,2025-07-13,11,325,1195
Chaeyeong KIM,Female,Lead,2025-07-19,20,155,1350
Chaeyeong KIM,Female,Lead,2025-09-06,9,380,1730
Desak MADE RITA KUSUMA DEWI,Female,Speed,2025-04-27,5,545,545
Desak MADE RITA KUSUMA DEWI,Female,Speed,2025-05-04,5,545,1090
Desak MADE RITA KUSUMA DEWI,Female,Speed,2025-07-06,1,1000,2090
Desak MADE RITA KUSUMA DEWI,Female,Speed,2025-07-13,2,805,2895
Desak MADE RITA KUSUMA DEWI,Female,Speed,2025-09-13,6,495,3390
Dohyun LEE,Male,Boulder,2025-04-20,2,805,805
Dohyun LEE,Male,Boulder,2025-05-25,3,690,1495
Dohyun LEE,Male,Boulder,2025-06-08,7,455,1950
Dohyun LEE,Male,Boulder,2025-06-15,4,610,2560
Dohyun LEE,Male,Boulder,2025-06-29,5,545,3105
Dohyun LEE,Male,Lead,2025-04-27,16,220,220
Dohyun LEE,Male,Lead,2025-05-04,5,545,765
Dohyun LEE,Male,Lead,2025-06-29,7,455,1220
Dohyun LEE,Male,Lead,2025-07-13,9,380,1600
Dohyun LEE,Male,Lead,2025-07-19,1,1000,2600
Dohyun LEE,Male,Lead,2025-09-06,10,350,2950
Emma HUNT,Female,Speed,2025-04-27,4,610,610
Emma HUNT,Female,Speed,2025-06-01,1,1000,1610
Emma HUNT,Female,Speed,2025-07-06,2,805,2415
Emma HUNT,Female,Speed,2025-07-13,3,690,3105
Emma HUNT,Female,Speed,2025-09-13,3,690,3795
Erin MCNEICE,Female,Boulder,2025-04-20,3,690,690
Erin MCNEICE,Female,Boulder,2025-06-08,4,610,1300
Erin MCNEICE,Female,Boulder,2025-06-15,1,1000,2300
Erin MCNEICE,Female,Boulder,2025-06-29,16,220,2520
Erin MCNEICE,Female,Lead,2025-04-27,1,1000,1000
Erin MCNEICE,Female,Lead,2025-05-04,1,1000,2000
Erin MCNEICE,Female,Lead,2025-06-29,3,690,2690
Erin MCNEICE,Female,Lead,2025-07-13,3,690,3380
Erin MCNEICE,Female,Lead,2025-07-19,4,610,3990
Erin MCNEICE,Female,Lead,2025-09-06,4,610,4600
Filip SCHENK,Male,Lead,2025-04-27,7,455,455
Filip SCHENK,Male,Lead,2025-05-04,9,380,835
Filip SCHENK,Male,Lead,2025-06-29,25,95,930
Filip SCHENK,Male,Lead,2025-07-13,3,690,1620
Filip SCHENK,Male,Lead,2025-07-19,12,300,1920
Filip SCHENK,Male,Lead,2025-09-06,11,325,2245
Hannes VAN DUYSEN,Male,Boulder,2025-04-20,24,105,105
Hannes VAN DUYSEN,Male,Boulder,2025-05-18,15,240,345
Hannes VAN DUYSEN,Male,Boulder,2025-05-25,13,280,625
Hannes VAN DUYSEN,Male,Boulder,2025-06-08,6,495,1120
Hannes VAN DUYSEN,Male,Boulder,2025-06-15,5,545,1665
Hannes VAN DUYSEN,Male,Boulder,2025-06-29,3,690,2355
Heloïse DOUMONT,Female,Lead,2025-04-27,15,240,240
Heloïse DOUMONT,Female,Lead,2025-05-04,10,350,590
Heloïse DOUMONT,Female,Lead,2025-06-29,7,455,1045
Heloïse DOUMONT,Female,Lead,2025-07-13,24,105,1150
Heloïse DOUMONT,Female,Lead,2025-07-19,8,415,1565
Heloïse DOUMONT,Female,Lead,2025-09-06,6,495,2060
Janja GARNBRET,Female,Lead,2025-06-29,1,1000,1000
