Competition,Year,1,2,3
EuroChamp Villars 2024 Boulder Senior Female,2024,Naïlé MEIGNAN (FRA),Ayala KEREM (ISR),Agathe CALLIET (FRA)
EuroChamp Munich 2022 Boulder Senior Female,2022,Janja GARNBRET (SLO),Hannah MEUL (GER),Oriane BERTONE (FRA)
EuroChamp Moscow 2020 Boulder Senior Female,2020,Viktoriia MESHKOVA (RUS),Chloe CAULIER (BEL),Stasa GEJO (SRB)
EuroChamp Zakopane 2019 Boulder Senior Female,2019,Urska REPUSIC (SLO),Vita LUKAN (SLO),Irina KUZMENKO (RUS)
EuroChamp Munich 2017 Boulder Senior Female,2017,Stasa GEJO (SRB),Janja GARNBRET (SLO),Petra KLINGLER (SUI)
EuroChamp Innsbruck 2015 Boulder Senior Female,2015,Juliane WURM (GER),Anna STÖHR (AUT),Katharina SAURWEIN (AUT)
EuroChamp Eindhoven 2013 Boulder Senior Female,2013,Anna STÖHR (AUT),Mina MARKOVIC (SLO),Mélanie SANDOZ (FRA)
EuroChamp Paris 2008 Boulder Senior Female,2008,Natalija GROS (SLO),Anna STÖHR (AUT),Hannah MIDTBOE (NOR)
EuroChamp Birmingham 2007 Boulder Senior Female,2007,Juliette DANION (FRA),Olga SHALAGINA (UKR),Olga BEZHKO (UKR)
EuroChamp Lecco 2004 Boulder Senior Female,2004,Olga BIBIK (RUS),Anna STÖHR (AUT),Corinne THEROUX (FRA)
EuroChamp Paris 2002 Boulder Senior Female,2002,Sandrine LEVET (FRA),Fanny ROGEAUX (FRA),Vera KOTASOVA-KOSTRUHOVA (CZE)
