Competition,Year,1,2,3
EuroChamp Villars 2024 Boulder Senior Male,2024,Sam AVEZOU (FRA),Maximillian MILNE (GBR),Dayan AKHTAR (GBR)
EuroChamp Munich 2022 Boulder Senior Male,2022,Nicolai UZNIK (AUT),Sam AVEZOU (FRA),Adam ONDRA (CZE)
EuroChamp Moscow 2020 Boulder Senior Male,2020,Jernej KRUDER (SLO),Sergei LUZHETSKII (RUS),Nikolai IARILOVETS (RUS)
EuroChamp Zakopane 2019 Boulder Senior Male,2019,Mickael MAWEM (FRA),Sergei SKORODUMOV (RUS),Vadim TIMONOV (RUS)
EuroChamp Munich 2017 Boulder Senior Male,2017,Jan HOJER (GER),Alexander MEGOS (GER),Anze PEHARC (SLO)
EuroChamp Innsbruck 2015 Boulder Senior Male,2015,Jan HOJER (GER),Adam ONDRA (CZE),Stefan SCARPERI (ITA)
EuroChamp Eindhoven 2013 Boulder Senior Male,2013,Kilian FISCHHUBER (AUT),Dmitrii SHARAFUTDINOV (RUS),Jakob SCHUBERT (AUT)
EuroChamp Imst/Innsbruck 2010 Boulder Senior Male,2010,Ramón JULIAN  PUIGBLANQUE (ESP),Adam ONDRA (CZE),Jakob SCHUBERT (AUT)
EuroChamp Paris 2008 Boulder Senior Male,2008,Jérôme MEYER (FRA),Kilian FISCHHUBER (AUT),Cédric LACHAT (SUI)
EuroChamp Birmingham 2007 Boulder Senior Male,2007,David LAMA (AUT),Nalle HUKKATAIVAL (FIN),Tomás MRÁZEK (CZE)
EuroChamp Lecco 2004 Boulder Senior Male,2004,Daniel DU LAC (FRA),Andrew EARL (GBR),Gabriele MORONI (ITA)
EuroChamp Paris 2002 Boulder Senior Male,2002,Christian CORE (ITA),Mauro CALIBANI (ITA),Salavat RAKHMETOV (RUS)
