,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Anna STÖHR (AUT),1,3,0,4
2,Janja GARNBRET (SLO),1,1,0,2
3,Stasa GEJO (SRB),1,0,1,2
4,Naïlé MEIGNAN (FRA),1,0,0,1
5,Viktoriia MESHKOVA (RUS),1,0,0,1
6,Urska REPUSIC (SLO),1,0,0,1
7,Juliane WURM (GER),1,0,0,1
8,Olga BIBIK (RUS),1,0,0,1
9,Angela EITER (AUT),1,0,0,1
10,Natalija GROS (SLO),1,0,0,1
11,Sandrine LEVET (FRA),1,0,0,1
12,Juliette DANION (FRA),1,0,0,1
13,Ayala KEREM (ISR),0,1,0,1
14,Chloe CAULIER (BEL),0,1,0,1
15,Hannah MEUL (GER),0,1,0,1
16,Vita LUKAN (SLO),0,1,0,1
17,Mina MARKOVIC (SLO),0,1,0,1
18,Olga SHALAGINA (UKR),0,1,0,1
19,Johanna ERNST (AUT),0,1,0,1
20,Fanny ROGEAUX (FRA),0,1,0,1
21,Agathe CALLIET (FRA),0,0,1,1
22,Petra KLINGLER (SUI),0,0,1,1
23,Irina KUZMENKO (RUS),0,0,1,1
24,Oriane BERTONE (FRA),0,0,1,1
25,Hannah MIDTBOE (NOR),0,0,1,1
26,Katharina SAURWEIN (AUT),0,0,1,1
27,Mélanie SANDOZ (FRA),0,0,1,1
28,Alizée DUFRAISSE (FRA),0,0,1,1
29,Olga BEZHKO (UKR),0,0,1,1
30,Corinne THEROUX (FRA),0,0,1,1
31,Vera KOTASOVA-KOSTRUHOVA (CZE),0,0,1,1
