,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Jan HOJER (GER),2,0,0,2
2,Kilian FISCHHUBER (AUT),1,1,0,2
3,Sam AVEZOU (FRA),1,1,0,2
4,Christian CORE (ITA),1,0,0,1
5,Daniel DU LAC (FRA),1,0,0,1
6,Jérôme MEYER (FRA),1,0,0,1
7,David LAMA (AUT),1,0,0,1
8,Jernej KRUDER (SLO),1,0,0,1
9,Nicolai UZNIK (AUT),1,0,0,1
10,Mickael MAWEM (FRA),1,0,0,1
11,Adam ONDRA (CZE),0,1,1,2
12,Mauro CALIBANI (ITA),0,1,0,1
13,Andrew EARL (GBR),0,1,0,1
14,Nalle HUKKATAIVAL (FIN),0,1,0,1
15,Dmitrii SHARAFUTDINOV (RUS),0,1,0,1
16,Alexander MEGOS (GER),0,1,0,1
17,Sergei LUZHETSKII (RUS),0,1,0,1
18,Sergei SKORODUMOV (RUS),0,1,0,1
19,Maximillian MILNE (GBR),0,1,0,1
20,Salavat RAKHMETOV (RUS),0,0,1,1
21,Gabriele MORONI (ITA),0,0,1,1
22,Tomás MRÁZEK (CZE),0,0,1,1
23,Vadim TIMONOV (RUS),0,0,1,1
24,Jakob SCHUBERT (AUT),0,0,1,1
25,Stefan SCARPERI (ITA),0,0,1,1
26,Cédric LACHAT (SUI),0,0,1,1
27,Nikolai IARILOVETS (RUS),0,0,1,1
28,Dayan AKHTAR (GBR),0,0,1,1
29,Anze PEHARC (SLO),0,0,1,1
