Competition,Year,1,2,3
EuroChamp Villars 2024 Lead Senior Male,2024,Sascha LEHMANN (SUI),Sam AVEZOU (FRA),Guillermo PEINADO FRANGANILLO (ESP)
EuroChamp Munich 2022 Lead Senior Male,2022,Adam ONDRA (CZE),Luka POTOCAR (SLO),Alberto GINÉS LÓPEZ (ESP)
EuroChamp Moscow 2020 Lead Senior Male,2020,Sascha LEHMANN (SUI),Nicolas COLLIN (BEL),Dmitrii FAKIRIANOV (RUS)
EuroChamp Edinburgh 2019 Lead Senior Male,2019,Adam ONDRA (CZE),Alberto GINÉS LÓPEZ (ESP),Sascha LEHMANN (SUI)
EuroChamp Campitello di Fassa 2017 Lead Senior Male,2017,Romain DESGRANGES (FRA),Adam ONDRA (CZE),Jakob SCHUBERT (AUT)
EuroChamp Chamonix 2015 Lead Senior Male,2015,Ramón JULIAN PUIGBLANQUE (ESP),Adam ONDRA (CZE),Sebastian HALENKE (GER)
EuroChamp Chamonix 2013 Lead Senior Male,2013,Romain DESGRANGES (FRA),Ramón JULIAN PUIGBLANQUE (ESP),Jorg VERHOEVEN (NED)
EuroChamp Imst/Innsbruck 2010 Lead Senior Male,2010,Ramón JULIAN PUIGBLANQUE (ESP),Adam ONDRA (CZE),Jakob SCHUBERT (AUT)
EuroChamp Paris 2008 Lead Senior Male,2008,Patxi USOBIAGA LAKUNZA (ESP),Tomás MRÁZEK (CZE),Manuel ROMAIN (FRA)
EuroChamp Yekaterinburg 2006 Lead Senior Male,2006,David LAMA (AUT),Cédric LACHAT (SUI),Dmitrii SHARAFUTDINOV (RUS)
EuroChamp Lecco 2004 Lead Senior Male,2004,Ramón JULIAN PUIGBLANQUE (ESP),Alexandre CHABOT (FRA),François AUCLAIR (FRA)
EuroChamp Paris 2002 Lead Senior Male,2002,Alexandre CHABOT (FRA),Tomás MRÁZEK (CZE),Ramón JULIAN PUIGBLANQUE (ESP)
EuroChamp Munich 2000 Lead Senior Male,2000,Alexandre CHABOT (FRA),Cristian BRENNA (ITA),Evgeny OVCHINNIKOV (RUS)
EuroChamp Nurnberg 1998 Lead Senior Male,1998,Ian VICKERS (GBR),Cristian BRENNA (ITA),Christian BINDHAMMER (GER)
EuroChamp Paris 1996 Lead Senior Male,1996,Arnaud PETIT (FRA),François PETIT (FRA),François LOMBARD (FRA)
EuroChamp Frankfurt 1992 Lead Senior Male,1992,François LEGRAND (FRA),François PETIT (FRA),Salavat RAKHMETOV (RUS)
