,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Mina MARKOVIC (SLO),1,2,1,4
2,Janja GARNBRET (SLO),1,1,0,2
3,Johanna ERNST (AUT),1,1,0,2
4,Laura ROGORA (ITA),1,1,0,2
5,Liv SANSOZ (FRA),1,0,1,2
6,Muriel SARKANY (BEL),1,0,1,2
7,Lucka RAKOVEC (SLO),1,0,0,1
8,Viktoriia MESHKOVA (RUS),1,0,0,1
9,Chloé MINORET (FRA),1,0,0,1
10,Katrin SEDLMAYER (GER),1,0,0,1
11,Angela EITER (AUT),1,0,0,1
12,Charlotte DURIF (FRA),1,0,0,1
13,Dinara FAKHRITDINOVA (RUS),1,0,0,1
14,Susi GOOD (SUI),1,0,0,1
15,Bettina SCHÖPF (AUT),1,0,0,1
16,Anak VERHOEVEN (BEL),1,0,0,1
17,Sandrine LEVET (FRA),0,1,1,2
18,Maja STREMFELJ (SLO),0,1,1,2
19,Jessica PILZ (AUT),0,1,1,2
20,Venera CHERESHNEVA (RUS),0,1,1,2
21,Laurence GUYON (FRA),0,1,1,2
22,Stéphanie BODET (FRA),0,1,1,2
23,Isabelle PATISSIER (FRA),0,1,0,1
24,Martina CUFAR (SLO),0,1,0,1
25,Eliska ADAMOVSKA (CZE),0,1,0,1
26,Ievgeniia KAZBEKOVA (UKR),0,1,0,1
27,Natalija GROS (SLO),0,1,0,1
28,Marietta UHDEN (GER),0,0,1,1
29,Katharina SAURWEIN (AUT),0,0,1,1
30,Molly THOMPSON-SMITH (GBR),0,0,1,1
31,Luce DOUADY (FRA),0,0,1,1
32,Lynn VAN DER MEER (NED),0,0,1,1
33,Manon HILY (FRA),0,0,1,1
34,Hélène JANICOT (FRA),0,0,1,1
35,Alizée DUFRAISSE (FRA),0,0,1,1
