,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Ramón JULIAN PUIGBLANQUE (ESP),3,1,1,5
2,Adam ONDRA (CZE),2,3,0,5
3,Alexandre CHABOT (FRA),2,1,0,3
4,Sascha LEHMANN (SUI),2,0,1,3
5,Romain DESGRANGES (FRA),2,0,0,2
6,Patxi USOBIAGA LAKUNZA (ESP),1,0,0,1
7,David LAMA (AUT),1,0,0,1
8,François LEGRAND (FRA),1,0,0,1
9,Arnaud PETIT (FRA),1,0,0,1
10,Ian VICKERS (GBR),1,0,0,1
11,François PETIT (FRA),0,2,0,2
12,Tomás MRÁZEK (CZE),0,2,0,2
13,Cristian BRENNA (ITA),0,2,0,2
14,Alberto GINÉS LÓPEZ (ESP),0,1,1,2
15,Luka POTOCAR (SLO),0,1,0,1
16,Sam AVEZOU (FRA),0,1,0,1
17,Nicolas COLLIN (BEL),0,1,0,1
18,Cédric LACHAT (SUI),0,1,0,1
19,Jakob SCHUBERT (AUT),0,0,2,2
20,Sebastian HALENKE (GER),0,0,1,1
21,Guillermo PEINADO FRANGANILLO (ESP),0,0,1,1
22,Dmitrii FAKIRIANOV (RUS),0,0,1,1
23,Jorg VERHOEVEN (NED),0,0,1,1
24,Manuel ROMAIN (FRA),0,0,1,1
25,Dmitrii SHARAFUTDINOV (RUS),0,0,1,1
26,Evgeny OVCHINNIKOV (RUS),0,0,1,1
27,François AUCLAIR (FRA),0,0,1,1
28,Salavat RAKHMETOV (RUS),0,0,1,1
29,Christian BINDHAMMER (GER),0,0,1,1
30,François LOMBARD (FRA),0,0,1,1
