Competition,Year,1,2,3
EuroChamp Villars 2024 Speed Senior Female,2024,Natalia KALUCKA (POL),Patrycja CHUDZIAK (POL),Giulia RANDI (ITA)
EuroChamp Munich 2022 Speed Senior Female,2022,Aleksandra MIROSLAW (POL),Aleksandra KALUCKA (POL),Natalia KALUCKA (POL)
EuroChamp Moscow 2020 Speed Senior Female,2020,Ekaterina BARASHCHUK (RUS),Elizaveta IVANOVA (RUS),Iuliia KAPLINA (RUS)
EuroChamp Edinburgh 2019 Speed Senior Female,2019,Aleksandra MIROSLAW (POL),Mariia KRASAVINA (RUS),Anouck JAUBERT (FRA)
EuroChamp Campitello di Fassa 2017 Speed Senior Female,2017,Iuliia KAPLINA (RUS),Anna TSYGANOVA (RUS),Elena REMIZOVA (RUS)
EuroChamp Chamonix 2015 Speed Senior Female,2015,Anouck JAUBERT (FRA),Iuliia KAPLINA (RUS),Mariia KRASAVINA (RUS)
EuroChamp Chamonix 2013 Speed Senior Female,2013,Anna TSYGANOVA (RUS),Aleksandra MIROSLAW (POL),Yuliya LEVOCHKINA (RUS)
EuroChamp Imst/Innsbruck 2010 Speed Senior Female,2010,Edyta ROPEK (POL),Kseniia ALEKSEEVA (RUS),Natalia TITOVA (RUS)
EuroChamp Paris 2008 Speed Senior Female,2008,Edyta ROPEK (POL),Olga MOROZKINA (RUS),Anna STENKOVAYA (RUS)
EuroChamp Yekaterinburg 2006 Speed Senior Female,2006,Anna STENKOVAYA (RUS),Kseniia ALEKSEEVA (RUS),Valentina YURINA (RUS)
EuroChamp Lecco 2004 Speed Senior Female,2004,Anna STENKOVAYA (RUS),Valentina YURINA (RUS),Mayya PIRATINSKAYA (RUS)
EuroChamp Paris 2002 Speed Senior Female,2002,Olena RYEPKO (UKR),Olga ZAKHAROVA (UKR),Svetlana SUTKINA (RUS)
EuroChamp Munich 2000 Speed Senior Female,2000,Olena RYEPKO (UKR),Tatiana RUYGA (RUS),Zosia PODGORBOUNSKIKH (RUS)
EuroChamp Nurnberg 1998 Speed Senior Female,1998,Cecile AVEZOU (FRA),Olena RYEPKO (UKR),Zosia PODGORBOUNSKIKH (RUS)
EuroChamp Paris 1996 Speed Senior Female,1996,Cecile AVEZOU (FRA),Ameli HAAGER (GER),Kim ANTHONI (BEL)
EuroChamp Frankfurt 1992 Speed Senior Female,1992,Elena OVTCHINNIKOVA (USA),Yulia INOZEMTSEVA (RUS),Claudine TRECOURT (FRA)
