Competition,Year,1,2,3
EuroChamp Villars 2024 Speed Senior Male,2024,Ludovico FOSSALI (ITA),Matteo ZURLONI (ITA),Erik NOYA CARDONA (ESP)
EuroChamp Munich 2022 Speed Senior Male,2022,Danyil BOLDYREV (UKR),Marcin DZIENSKI (POL),Guillaume MORO (FRA)
EuroChamp Moscow 2020 Speed Senior Male,2020,Danyil BOLDYREV (UKR),Lev RUDATSKIY (RUS),Marcin DZIENSKI (POL)
EuroChamp Edinburgh 2019 Speed Senior Male,2019,Vladislav DEULIN (RUS),Danyil BOLDYREV (UKR),Dmitrii TIMOFEEV (RUS)
EuroChamp Campitello di Fassa 2017 Speed Senior Male,2017,Marcin DZIENSKI (POL),Danyil BOLDYREV (UKR),Stanislav KOKORIN (RUS)
EuroChamp Chamonix 2015 Speed Senior Male,2015,Libor HROZA (CZE),Danyil BOLDYREV (UKR),Marcin DZIENSKI (POL)
EuroChamp Chamonix 2013 Speed Senior Male,2013,Libor HROZA (CZE),Marcin DZIENSKI (POL),Danyil BOLDYREV (UKR)
EuroChamp Imst/Innsbruck 2010 Speed Senior Male,2010,Sergey ABDRAKHMANOV (RUS),Stanislav KOKORIN (RUS),Libor HROZA (CZE)
EuroChamp Paris 2008 Speed Senior Male,2008,Evgenii VAITSEKHOVSKII (RUS),Maksym OSIPOV (UKR),Maksym STYENKOVYY (UKR)
EuroChamp Yekaterinburg 2006 Speed Senior Male,2006,Evgenii VAITSEKHOVSKII (RUS),Sergei SINITCYN (RUS),Alexander PESHEKHONOV (RUS)
EuroChamp Lecco 2004 Speed Senior Male,2004,Alexander PESHEKHONOV (RUS),Maksym STYENKOVYY (UKR),Alexandre CHAOULSKY (RUS)
EuroChamp Paris 2002 Speed Senior Male,2002,Maksym STYENKOVYY (UKR),Sergei SINITCYN (RUS),Alexei GADEEV (RUS)
EuroChamp Munich 2000 Speed Senior Male,2000,Maksym STYENKOVYY (UKR),Iakov SOUBBOTINE (RUS),Alexandre CHAOULSKY (RUS)
EuroChamp Nurnberg 1998 Speed Senior Male,1998,Tomasz OLEKSY (POL),Alexandr PAUKAEV (UKR),Vladimir ZAKHAROV (UKR)
EuroChamp Paris 1996 Speed Senior Male,1996,Andrey VEDENMEER (UKR),Mathieu DUTRAY (FRA),Pavel SAMOILINE (RUS)
EuroChamp Frankfurt 1992 Speed Senior Male,1992,Kairat RAKHMETOV (KAZ),Cristian BRENNA (ITA),Andrzej MARCISZ (POL)
