,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Aleksandra MIROSLAW (POL),2,1,0,3
2,Olena RYEPKO (UKR),2,1,0,3
3,Anna STENKOVAYA (RUS),2,0,1,3
4,Edyta ROPEK (POL),2,0,0,2
5,Cecile AVEZOU (FRA),2,0,0,2
6,Iuliia KAPLINA (RUS),1,1,1,3
7,Anna TSYGANOVA (RUS),1,1,0,2
8,Natalia KALUCKA (POL),1,0,1,2
9,Anouck JAUBERT (FRA),1,0,1,2
10,Ekaterina BARASHCHUK (RUS),1,0,0,1
11,Elena OVTCHINNIKOVA (USA),1,0,0,1
12,Kseniia ALEKSEEVA (RUS),0,2,0,2
13,Mariia KRASAVINA (RUS),0,1,1,2
14,Valentina YURINA (RUS),0,1,1,2
15,Patrycja CHUDZIAK (POL),0,1,0,1
16,Aleksandra KALUCKA (POL),0,1,0,1
17,Elizaveta IVANOVA (RUS),0,1,0,1
18,Olga MOROZKINA (RUS),0,1,0,1
19,Tatiana RUYGA (RUS),0,1,0,1
20,Olga ZAKHAROVA (UKR),0,1,0,1
21,Ameli HAAGER (GER),0,1,0,1
22,Yulia INOZEMTSEVA (RUS),0,1,0,1
23,Zosia PODGORBOUNSKIKH (RUS),0,0,2,2
24,Giulia RANDI  (ITA),0,0,1,1
25,Elena REMIZOVA (RUS),0,0,1,1
26,Yuliya LEVOCHKINA (RUS),0,0,1,1
27,Natalia TITOVA (RUS),0,0,1,1
28,Kim ANTHONI (BEL),0,0,1,1
29,Mayya PIRATINSKAYA (RUS),0,0,1,1
30,Svetlana SUTKINA (RUS),0,0,1,1
31,Claudine TRECOURT (FRA),0,0,1,1
