,Athlete,NumChampGold,NumChampSilver,NumChampBronze,Total
1,Ramón JULIAN PUIGBLANQUE (ESP),3,1,1,5
2,Jan HOJER (GER),3,0,0,3
3,Adam ONDRA (CZE),2,6,1,9
4,Danyil BOLDYREV (UKR),2,3,1,6
5,Sascha LEHMANN (SUI),2,2,1,5
6,Sam AVEZOU (FRA),2,2,0,4
7,Maksym STYENKOVYY (UKR),2,1,1,4
8,Alexandre CHABOT (FRA),2,1,0,3
9,Libor HROZA (CZE),2,0,1,3
10,Romain DESGRANGES (FRA),2,0,0,2
11,Evgenii VAITSEKHOVSKII (RUS),2,0,0,2
12,David LAMA (AUT),2,0,0,2
13,Marcin DZIENSKI (POL),1,2,2,5
14,Jakob SCHUBERT (AUT),1,1,3,5
15,Kilian FISCHHUBER (AUT),1,1,1,3
16,Cédric LACHAT (SUI),1,1,1,3
17,Alexander PESHEKHONOV (RUS),1,0,1,2
18,François LEGRAND (FRA),1,0,0,1
19,Ian VICKERS (GBR),1,0,0,1
20,Kairat RAKHMETOV (KAZ),1,0,0,1
21,Arnaud PETIT (FRA),1,0,0,1
22,Andrey VEDENMEER (UKR),1,0,0,1
23,Tomasz OLEKSY (POL),1,0,0,1
24,Daniel DU LAC (FRA),1,0,0,1
25,Christian CORE (ITA),1,0,0,1
26,Patxi USOBIAGA LAKUNZA (ESP),1,0,0,1
27,Jérôme MEYER (FRA),1,0,0,1
28,Sergey ABDRAKHMANOV (RUS),1,0,0,1
29,Jernej KRUDER (SLO),1,0,0,1
30,Aleksei RUBTSOV (RUS),1,0,0,1
31,Ludovico FOSSALI (ITA),1,0,0,1
32,Mickael MAWEM (FRA),1,0,0,1
33,Vladislav DEULIN (RUS),1,0,0,1
34,Nicolai UZNIK (AUT),1,0,0,1
35,Cristian BRENNA (ITA),0,3,0,3
36,Tomás MRÁZEK (CZE),0,2,1,3
37,François PETIT (FRA),0,2,0,2
38,Sergei SINITCYN (RUS),0,2,0,2
39,Alberto GINÉS LÓPEZ (ESP),0,1,2,3
40,Dmitrii SHARAFUTDINOV (RUS),0,1,1,2
41,Stanislav KOKORIN (RUS),0,1,1,2
42,Sergei LUZHETSKII (RUS),0,1,1,2
43,Mathieu DUTRAY (FRA),0,1,0,1
44,Alexandr PAUKAEV (UKR),0,1,0,1
45,Iakov SOUBBOTINE (RUS),0,1,0,1
46,Mauro CALIBANI (ITA),0,1,0,1
47,Andrew EARL (GBR),0,1,0,1
48,Nalle HUKKATAIVAL (FIN),0,1,0,1
49,Maksym OSIPOV (UKR),0,1,0,1
50,Alexander MEGOS (GER),0,1,0,1
51,Nicolas COLLIN (BEL),0,1,0,1
52,Sergei SKORODUMOV (RUS),0,1,0,1
53,Luka POTOCAR (SLO),0,1,0,1
54,Lev RUDATSKIY (RUS),0,1,0,1
55,Maximillian MILNE (GBR),0,1,0,1
56,Matteo ZURLONI (ITA),0,1,0,1
57,Salavat RAKHMETOV (RUS),0,0,2,2
58,Alexandre CHAOULSKY (RUS),0,0,2,2
59,François LOMBARD (FRA),0,0,1,1
60,Evgeny OVCHINNIKOV (RUS),0,0,1,1
61,Pavel SAMOILINE (RUS),0,0,1,1
62,Andrzej MARCISZ (POL),0,0,1,1
63,Christian BINDHAMMER (GER),0,0,1,1
64,Vladimir ZAKHAROV (UKR),0,0,1,1
65,Alexei GADEEV (RUS),0,0,1,1
66,François AUCLAIR (FRA),0,0,1,1
67,Jorg VERHOEVEN (NED),0,0,1,1
68,Gabriele MORONI (ITA),0,0,1,1
69,Manuel ROMAIN (FRA),0,0,1,1
70,Sebastian HALENKE (GER),0,0,1,1
71,Dmitrii FAKIRIANOV (RUS),0,0,1,1
72,Dmitrii TIMOFEEV (RUS),0,0,1,1
73,Guillaume MORO (FRA),0,0,1,1
74,Stefan SCARPERI (ITA),0,0,1,1
75,Michael PICCOLRUAZ (ITA),0,0,1,1
76,Vadim TIMONOV (RUS),0,0,1,1
77,Anze PEHARC (SLO),0,0,1,1
78,Erik NOYA CARDONA (ESP),0,0,1,1
79,Nikolai IARILOVETS (RUS),0,0,1,1
80,Jonas UTELLI (SUI),0,0,1,1
81,Guillermo PEINADO FRANGANILLO (ESP),0,0,1,1
82,Dayan AKHTAR (GBR),0,0,1,1
