,Athlete,Country,NumChamps
1,Alma BESTVATER,Germany,6
2,Tatiana SHEMULINKINA,Russia,6
3,Jenny LAVARDA,Italy,6
4,Stasa GEJO,Serbia,5
5,Katrine VANDET SALLING,Denmark,5
6,Chloe CAULIER,Belgium,5
7,Yael TAUB,Israel,5
8,Petra KLINGLER,Switzerland,5
9,Anna STÖHR,Austria,5
10,Yulia ABRAMCHUK,Russia,5
11,Olga BIBIK,Russia,5
12,Barbara BACHER,Austria,5
13,Olga SHALAGINA,Ukraine,5
14,Ievgeniia KAZBEKOVA,Ukraine,4
15,Nika POTAPOVA,Ukraine,4
16,Johanna FÄRBER,Austria,4
17,Fanny GIBERT,France,4
18,Franziska STERRER,Austria,4
19,Katja DEBEVEC,Slovenia,4
20,Hannah MEUL,Germany,4
21,Giulia MEDICI,Italy,4
22,Ekaterina KIPRIIANOVA,Russia,4
23,Andrea EBNER,Italy,4
24,Leah CRANE,United Kingdom,4
25,Katharina POSCH,Austria,4
26,Mina MARKOVIC,Slovenia,4
27,Hannah MIDTBOE,Norway,4
28,Katharina SAURWEIN,Austria,4
29,Vera ZIJLSTRA,Netherlands,4
30,Anna GALLYAMOVA,Russia,4
31,Yana CHERESHNEVA,Russia,4
32,Ayala KEREM,Israel,3
33,Camilla MORONI,Italy,3
34,Sofya YOKOYAMA,Switzerland,3
35,Marketa JANOSOVA,Czechia,3
36,Giorgia TESIO,Italy,3
37,Andrea KÜMIN,Switzerland,3
38,Noa SHIRAN,Israel,3
39,Julija KRUDER,Slovenia,3
40,Molly THOMPSON-SMITH,United Kingdom,3
41,Vanda MICHALKOVA,Slovakia,3
42,Tara HAYES,United Kingdom,3
43,Sunniva eik HAAVE,Norway,3
44,Agniete BALTRUNE,Lithuania,3
45,Jessica PILZ,Austria,3
46,Nóra KIRÁLY,Hungary,3
47,Rebekka STOTZ,Switzerland,3
48,Petra RUZICKOVA,Czechia,3
49,Monika RETSCHY,Germany,3
50,Natalie BÄRTSCHI,Switzerland,3
51,Dinara FAKHRITDINOVA,Russia,3
52,Nelly KUDROVA,Czechia,3
53,Olga IAKOVLEVA,Russia,3
54,Silvie RAJFOVA,Czechia,3
55,Natalija GROS,Slovenia,3
56,Sandrine LEVET,France,3
57,Angelica LIND,Sweden,3
58,Chloé GRAFTIAUX,Belgium,3
59,Helena LIPENSKA,Czechia,3
60,Nataliya PERLOVA,Ukraine,3
61,Giulia GIAMMARCO,Italy,3
62,Emilie ABGRALL,France,3
63,Agathe CALLIET,France,2
64,Ingrid KINDLIHAGEN,Norway,2
65,Lucia DÖRFFEL,Germany,2
66,Sunniva ØVRE-EIDE,Norway,2
67,Rebeca PÉREZ DUATO,Spain,2
68,Laura LOIKAS,Finland,2
69,Irina DAZIANO,Italy,2
70,Roxana WIENAND,Germany,2
71,Naïlé MEIGNAN,France,2
72,Sandra LETTNER,Austria,2
73,Aleksandra TOTKOVA,Bulgaria,2
74,Lisa KLEM,Netherlands,2
75,Maya DREAMER,Israel,2
76,Aleksandra KALUCKA,Poland,2
77,Afra HÖNIG,Germany,2
78,Elena KRASOVSKAIA,Russia,2
79,Natalia KALUCKA,Poland,2
80,Vana PICCINI,Croatia,2
81,Yevheniia CHERNIAVSKA,Ukraine,2
82,Michaela SMETANOVA,Czechia,2
83,Eliska ADAMOVSKA,Czechia,2
84,Irina KUZMENKO,Russia,2
85,Anna ZAIKINA,Russia,2
86,Ida KUPS,Poland,2
87,Flavy COHAUT,France,2
88,Margaryta ZAKHAROVA,Ukraine,2
89,Urska REPUSIC,Slovenia,2
90,Vita LUKAN,Slovenia,2
91,Janja GARNBRET,Slovenia,2
92,Holly TOOTHILL,United Kingdom,2
93,Anastasija TERIOCHINA,Lithuania,2
94,Santa GRIGORJEVA,Latvia,2
95,Shauna COXSEY,United Kingdom,2
96,Lara ÖZAK,Turkey,2
97,Daniela KOTRBOVA,Czechia,2
98,Michelle KIM THEISEN,Denmark,2
99,Asja GOLLO,Italy,2
100,Jara SPÄTE,Switzerland,2
101,Berit SCHWAIGER,Austria,2
102,Petya GARBOVA,Bulgaria,2
103,Mélanie SANDOZ,France,2
104,Melissa LE NEVE,France,2
105,Valeri KREMER,Israel,2
106,Anna LAITINEN,Finland,2
107,Charlotte DURIF,France,2
108,Juliane WURM,Germany,2
109,Annalisa DE MARCO,Italy,2
110,Diane MERRICK,United Kingdom,2
111,Cecile AVEZOU,France,2
112,Anne-laure CHEVRIER,France,2
113,Anouk PIOLA,Switzerland,2
114,Magali HAYEN,Belgium,2
115,Agata MODRZEJEWSKA,Poland,2
116,Irati ANDA VILLANUEVA,Spain,2
117,Gurgel OZVER,Turkey,2
118,Alexandra EYER,Switzerland,2
119,Kinga OCIEPKA,Poland,2
120,Evren KARADAĞ,Turkey,2
121,Muriel SARKANY,Belgium,2
122,Maja STREMFELJ,Slovenia,2
123,Tamara ZULIM,Croatia,2
124,Maud ANSADE,France,2
125,Ludivine HARMAND,France,2
126,Roberta LONGO,Italy,2
127,Kim ANTHONI,Belgium,2
128,Esther CRUZ MONTALBAN,Spain,2
129,Olga BEZHKO,Ukraine,2
130,Isabel BOAVIDA,Portugal,2
131,Sabine BACHER,Austria,2
132,Svitlana TUZHYLINA,Ukraine,2
133,Juliette DANION,France,2
134,Edyta ROPEK,Poland,2
135,Stefania DE GRANDI,Italy,2
136,Stella MARCHISIO,Italy,2
137,Corinne THEROUX,France,2
138,Fanny ROGEAUX,France,2
139,Sara COPAR,Slovenia,1
140,Florence GRÜNEWALD,Germany,1
141,Svana BJARNASON,Iceland,1
142,Selma ELHADJ MIMOUNE,France,1
143,Laura ROGORA,Italy,1
144,Kathrine Elsig JENSEN,Denmark,1
145,Daria NESTERENKO,Ukraine,1
146,Lucija TARKUS,Slovenia,1
147,Rosa ARNOLD,Finland,1
148,Tereza SIRUCKOVA,Czechia,1
149,Zélia AVEZOU,France,1
150,Louise FLOCKHART,United Kingdom,1
151,Anu HARK,Estonia,1
152,Emilia ANDERSSON,Sweden,1
153,Sunniva Eik HAAVE,Norway,1
154,Ema GALEOVA,Czechia,1
155,Eugenie LEE,United Kingdom,1
156,Lea KEMPF,Austria,1
157,Martina BURŠÍKOVÁ,Slovakia,1
158,Adela BAJEROVA,Czechia,1
159,Eliška BULENOVÁ,Czechia,1
160,Yelyzaveta LAVRYKOVA,Ukraine,1
161,Viktoriia MESHKOVA,Russia,1
162,Patrycja CHUDZIAK,Poland,1
163,Tereza ŠIRŮČKOVÁ,Czechia,1
164,Anna BROZEK,Poland,1
165,Aleksandra MIROSLAW,Poland,1
166,Ekaterina NOVITSKAIA,Russia,1
167,Naama YOHAI,Israel,1
168,Eliska BULENOVA,Czechia,1
169,Veronika SCHEUEROVA,Czechia,1
170,Daria MALYSHEVA,Russia,1
171,Natalie BERRY,United Kingdom,1
172,Bianka JANECKA,Poland,1
173,Malgorzata RUDZINSKA,Poland,1
174,Martina ZANETTI,Italy,1
175,Eva maria HAMMELMÜLLER,Austria,1
176,Elena VERETENNIKOVA,Belarus,1
177,Mattea PÖTZI,Austria,1
178,Pia CULJAK,Croatia,1
179,Jennifer WOOD,United Kingdom,1
180,Anna BORELLA,Italy,1
181,Leonie LOCHNER,Germany,1
182,Erin MCNEICE,United Kingdom,1
183,Emily PHILLIPS,United Kingdom,1
184,Oriane BERTONE,France,1
185,Sabina VAN ESSEN,Netherlands,1
186,Andrea KUEMIN,Switzerland,1
187,Anastasia KOBETS,Ukraine,1
188,Aida TORRES ILLAMOLA,Spain,1
189,Evdoxia-aikaterini KALLIA,Greece,1
190,Kseniia ZAKHAROVA,Ukraine,1
191,Mia KRAMPL,Slovenia,1
192,Eva-maria HAMMELMÜLLER,Austria,1
193,Silvia BARRETT,Sweden,1
194,Michaela TRACY,United Kingdom,1
195,Alise ZVIGULE,Latvia,1
196,Sevda GEYIK,Turkey,1
197,Dombrovska INTA,Latvia,1
198,Lilli KIESGEN,Germany,1
199,Anna TSYGANOVA,Russia,1
200,Katarína PIVOŇKOVÁ,Slovakia,1
201,Beatriz COIMBRA,Portugal,1
202,Evgeniya LAPSHINA,Russia,1
203,Camille FAILLE,France,1
204,Primula TEILMANN AALUND,Denmark,1
205,Lana SKUSEK,Slovenia,1
206,Ana-maria ZAHARIA,Romania,1
207,Anna MARGOLINA,Russia,1
208,Maëlys AGRAPART,France,1
209,Johanna HOLFELD,Germany,1
210,Rut CASAS MUR,Spain,1
211,Patricia MEDINA,Portugal,1
212,Ayşe NARMANLI,Turkey,1
213,Veronika SIMKOVA,Czechia,1
214,Hannah SLANEY,United Kingdom,1
215,Isabell ADOLPH,Germany,1
216,Katerina ZACHRDLOVA,Czechia,1
217,Paulina KALANDYK,Poland,1
218,Janka MEYER,Germany,1
219,Karina BILKOVA,Czechia,1
220,Salome MESHVELIANI,Georgia,1
221,Itziar ZABALA ZURINAGA,Spain,1
222,Gülşah SELÇUK,Turkey,1
223,Stella PLANTIN,Sweden,1
224,Sylwia BUCZEK,Poland,1
225,Elsa PONZO,France,1
226,Karoline SINNHUBER,Austria,1
227,Katarzyna EKWINSKA,Poland,1
228,Anna VOLLENWYDER,Austria,1
229,Tina johnsen HAFSAAS,Norway,1
230,Maja PETROVSKA,The former Yugoslav Republic of Macedonia,1
231,Giulia ALTON,Italy,1
232,Bettina ASCHAUER,Germany,1
233,Karina MIROSLAW,Poland,1
234,Friederike PETRI,Germany,1
235,Therese JOHANSEN,Norway,1
236,Alexandra LADURNER,Italy,1
237,Helen HALDENBY,United Kingdom,1
238,Margaux PUCHEUX,France,1
239,Gill PEET,United Kingdom,1
240,Rianne VAN DEN BERG,Netherlands,1
241,Olga KULISH,Ukraine,1
242,Karolina NEVELIKOVA,Czechia,1
243,Manuela SIGRIST,Switzerland,1
244,Amanda ROHNER,Switzerland,1
245,Gamez CIRIK,Turkey,1
246,Sara AVOSCAN,Italy,1
247,Maja BOZICH,Croatia,1
248,Alizée DUFRAISSE,France,1
249,Evgeniia MALAMID,Russia,1
250,Galina TERENTEVA,Russia,1
251,Andrea brigitta SZEKELY,Hungary,1
252,Tina SUSTERSIC,Slovenia,1
253,Magdalena RÖCK,Austria,1
254,Helena ALEMAN SOBRINO,Spain,1
255,Angela EITER,Austria,1
256,Christine SCHRANZ,Austria,1
257,Caroline CIAVALDINI,France,1
258,Radka PETKOVA,Bulgaria,1
259,Christina STÜTZ,Austria,1
260,Nikki VAN BERGEN,Netherlands,1
261,Olena OSTAPENKO,Ukraine,1
262,Hélène JANICOT,France,1
263,Mathilde BRUMAGNE,Belgium,1
264,Katherine CHOONG,Switzerland,1
265,Johanna ERNST,Austria,1
266,Asja GOSAR,Slovenia,1
267,Natalie SAILER,Germany,1
268,Mina LESLIE-WUJASTYK,United Kingdom,1
269,Matilda SÖDERLUND,Sweden,1
270,Therese JOHANNESEN,Norway,1
271,Mariya SOSNOVSKYKH,Ukraine,1
272,Elena CHIAPPA,Italy,1
273,Franziska SAURWEIN,Austria,1
274,Alisa GEL'FER,Ukraine,1
275,Stefanie PICHLER,Austria,1
276,Katja VIDMAR,Slovenia,1
277,Katarina FICKULIAKOVA,Slovakia,1
278,Marisa CORREIA,Portugal,1
279,Filiz KARAKULAK V.D.B.KAAG,Turkey,1
280,Kseniia ALEKSEEVA,Russia,1
281,Naomi BUYS,United Kingdom,1
282,Sara MORANDI,Italy,1
283,Colette CIRET,France,1
284,Rachel SEYMOUR,United Kingdom,1
285,Christina SCHMID,Switzerland,1
286,Katy WHITTAKER,United Kingdom,1
287,Anja HODANN,Sweden,1
288,Kimie KON,Portugal,1
289,Claudia BATTAGLIA,Italy,1
290,Renata PISZCZEK,Poland,1
291,Jemma POWELL,United Kingdom,1
292,Giovanna POZZOLI,Italy,1
293,Lucinda HUGHES,United Kingdom,1
294,Ursula STÖHR,Austria,1
295,Sian OAKLEY,United Kingdom,1
296,Emilie VERDIER,France,1
297,Plamena BAKALOVA,Bulgaria,1
298,Katherine MILLS,United Kingdom,1
299,Eliza KUGLER,Poland,1
300,Petia Gueorguieva IVANOVA,Bulgaria,1
301,Elisabeth MAGNUSSON,Sweden,1
302,Elena CHOUMILOVA,Russia,1
303,Malin STÄMBERG,Sweden,1
304,Nicola HAAGER,Germany,1
305,Sadie RENWICK,United Kingdom,1
306,Vera KOTASOVA-KOSTRUHOVA,Czechia,1
307,Jenny FÖRANDER,Sweden,1
308,Venera CHERESHNEVA,Russia,1
309,Sheila JENSEN,Denmark,1
310,Katarina CINTALOVA,Slovakia,1
311,Dina ANTIPOVA,Russia,1
312,Berta MARTIN SANCHO,Spain,1
313,Myriam MOTTEAU,France,1
314,Eva NIESELT,Germany,1
