,Athlete,Country,NumChamps
1,Martin STRANIK,Czechia,7
2,Gabriele MORONI,Italy,6
3,Dmitrii SHARAFUTDINOV,Russia,6
4,Rustam GELMANOV,Russia,6
5,David BARRANS,United Kingdom,6
6,Jernej KRUDER,Slovenia,6
7,Wouter JONGENEELEN,Netherlands,5
8,Mykhaylo SHALAGIN,Ukraine,5
9,Kilian FISCHHUBER,Austria,5
10,Sergii TOPISHKO,Ukraine,5
11,Jorg VERHOEVEN,Netherlands,5
12,Aleksei RUBTSOV,Russia,5
13,Michael PICCOLRUAZ,Italy,5
14,Nathan PHILLIPS,United Kingdom,5
15,Kipras BALTRUNAS,Lithuania,5
16,Alex KHAZANOV,Israel,5
17,Christian CORE,Italy,4
18,Matthias MÜLLER,Switzerland,4
19,Remo SOMMER,Switzerland,4
20,Sergii KARPIN,Ukraine,4
21,Guillaume GLAIRON MONDET,France,4
22,Eric LOPEZ MATEOS,Spain,4
23,Jakob SCHUBERT,Austria,4
24,Rolands RUGENS,Latvia,4
25,Vadim TIMONOV,Russia,4
26,Mickael MAWEM,France,4
27,Manuel CORNU,France,4
28,Gregor VEZONIK,Slovenia,4
29,Hannes PUMAN,Sweden,4
30,Nicolas COLLIN,Belgium,4
31,Anze PEHARC,Slovenia,4
32,Ram LEVIN,Israel,4
33,Jan-Luca POSCH,Austria,4
34,Salavat RAKHMETOV,Russia,3
35,Serik KAZBEKOV,Ukraine,3
36,Daniel DU LAC,France,3
37,Tomi NYTORP,Finland,3
38,Jérôme MEYER,France,3
39,Blaz RANT,Slovenia,3
40,Andrew EARL,United Kingdom,3
41,Ben WEST,United Kingdom,3
42,Nalle HUKKATAIVAL,Finland,3
43,Tomasz OLEKSY,Poland,3
44,Andrzej MECHERZYNSKI-WIKTOR,Poland,3
45,Magnus MIDTBOE,Norway,3
46,Jonas BAUMANN,Germany,3
47,Ferdinand SCHULTE,Netherlands,3
48,Kevin HEMUND,Switzerland,3
49,Nicolas FARCY,Belgium,3
50,Klemen BECAN,Slovenia,3
51,Lukas ENNEMOSER,Austria,3
52,Mathias CONRAD,Germany,3
53,Adam ONDRA,Czechia,3
54,Stefano GHISOLFI,Italy,3
55,Anthony GULLSTEN,Finland,3
56,Jan CHVALA,Czechia,3
57,Jan HOJER,Germany,3
58,Benjamin BLASER,Switzerland,3
59,Stefan SCARPERI,Italy,3
60,Kevin HEINIGER,Switzerland,3
61,Bjørn ARNEL IISAGER,Denmark,3
62,Jeremy BONDER,France,3
63,Alfons DORNAUER,Austria,3
64,Baptiste OMETZ,Switzerland,3
65,Stepan STRANIK,Czechia,3
66,Stefan BEDNAR,Slovakia,3
67,Fredrik SERLACHIUS,Sweden,3
68,Nils FAVRE,Switzerland,3
69,Nimrod MARCUS,Israel,3
70,Sergei SKORODUMOV,Russia,3
71,Fedir SAMOILOV,Ukraine,3
72,Max KLEESATTEL,Germany,3
73,Nicolai UZNIK,Austria,3
74,Peter KURIC,Slovakia,3
75,Edvards GRUZITIS,Latvia,3
76,Geva LEVIN,Israel,3
77,Sascha LEHMANN,Switzerland,3
78,Andrej CHRASTINA,Slovakia,2
79,Kalin GARBOV,Bulgaria,2
80,Jurij GOLOB,Slovenia,2
81,Mauro CALIBANI,Italy,2
82,Riccardo SCARIAN,Italy,2
83,Urh CEHOVIN,Slovenia,2
84,Stephane JULIEN,France,2
85,Petro MARKEVYCH,Ukraine,2
86,Marian GEORGIEV,Bulgaria,2
87,Karsten BOROWKA,Germany,2
88,Marek REPCIK,Slovakia,2
89,Dmytro KONOVALOV,Ukraine,2
90,Kyrylo SHEVCHENKO,Ukraine,2
91,Stefan RASMUSSEN,Sweden,2
92,Heiko WILHELM,Austria,2
93,Yair KUPERSTEIN,Israel,2
94,Jakub HLAVACEK,Czechia,2
95,Ludovic LAURENCE,France,2
96,Gareth PARRY,United Kingdom,2
97,Loïc GAIDIOZ,France,2
98,Lucas PRETI,Italy,2
99,Evgeny BASHKIRTSEV,Russia,2
100,Peter WÜRTH,Germany,2
101,Henrik SENNELÖV,Sweden,2
102,Stanislav KLESHNOV,Ukraine,2
103,Stewart WATSON,United Kingdom,2
104,Vasily KOZLOV,Russia,2
105,Mikhail CHERNIKOV,Russia,2
106,Rok KLANCNIK,Slovenia,2
107,Casper TEN SIJTHOFF,Netherlands,2
108,Stéphan JULIEN,France,2
109,Michele CAMINATI,Italy,2
110,José ABREU,Portugal,2
111,Yury NOVITSKIY,Russia,2
112,Cédric LACHAT,Switzerland,2
113,André NERES,Portugal,2
114,Ugur YILMAZ,Turkey,2
115,Marco antonio JUBES ANGARITA,Spain,2
116,Jure BECAN,Slovenia,2
117,Stefan DANKER,Germany,2
118,Max RUDIGIER,Austria,2
119,Krešimir MORIĆ,Croatia,2
120,Luka KIVELA,Croatia,2
121,Arman TER-MINASYAN,Russia,2
122,Nicky DE LEEUW,Netherlands,2
123,Jakub GLOWKA,Poland,2
124,Jakub JODLOWSKI,Poland,2
125,Bozhidar LYUBENOV,Bulgaria,2
126,Emiliyan KOLEVSKI,Bulgaria,2
127,Kenneth ELVEGÅRD,Norway,2
128,Tim REUSER,Netherlands,2
129,Vilimantas PETRASIUNAS,Lithuania,2
130,David FIRNENBURG,Germany,2
131,Loïc TIMMERMANS,Belgium,2
132,Javier CANO BLAZQUEZ,Spain,2
133,Alban LEVIER,France,2
134,Georg PARMA,Austria,2
135,Elias WEILER,Austria,2
136,Alexander AVERDUNK,Germany,2
137,Jonatan FLOR VAZQUEZ,Spain,2
138,Matthew COUSINS,United Kingdom,2
139,Jakub JEDLICKA,Czechia,2
140,Lukas GEUKENS,Belgium,2
141,Nikola PETROV,Bulgaria,2
142,Borna CUJIC,Croatia,2
