,Athlete,Country,NumChamps
1,Ievgeniia KAZBEKOVA,Ukraine,2
2,Jessica PILZ,Austria,1
3,Chloe CAULIER,Belgium,1
4,Janja GARNBRET,Slovenia,1
5,Mia KRAMPL,Slovenia,1
6,Hannah MEUL,Germany,1
7,Camilla MORONI,Italy,1
8,Eliska ADAMOVSKA,Czechia,1
9,Marketa JANOSOVA,Czechia,1
10,Sara COPAR,Slovenia,1
11,Zélia AVEZOU,France,1
12,Ayala KEREM,Israel,1
13,Daria NESTERENKO,Ukraine,1
14,Ingrid KINDLIHAGEN,Norway,1
15,Maya DREAMER,Israel,1
16,Aleksandra TOTKOVA,Bulgaria,1
17,Sunniva ØVRE-EIDE,Norway,1
18,Sunniva Eik HAAVE,Norway,1
19,Laura ROGORA,Italy,1
20,Nika POTAPOVA,Ukraine,1
21,Lucia DÖRFFEL,Germany,1
22,Tereza SIRUCKOVA,Czechia,1
23,Lucija TARKUS,Slovenia,1
24,Svana BJARNASON,France,1
25,Svana BJARNASON,Iceland,1
26,Ema GALEOVA,Czechia,1
27,Rosa ARNOLD,Finland,1
28,Martina BURŠÍKOVÁ,Slovakia,1
29,Anu HARK,Estonia,1
