,Athlete,Country,NumChamps
1,Evgeny OVCHINNIKOV,Russia,8
2,Ramón JULIAN PUIGBLANQUE,Spain,8
3,Luca ZARDINI,Italy,7
4,Matej SOVA,Slovenia,7
5,Jorg VERHOEVEN,Netherlands,7
6,Romain DESGRANGES,France,7
7,Jakob SCHUBERT,Austria,7
8,Igor GUSAK,Ukraine,6
9,Maksym PETRENKO,Ukraine,6
10,Cédric LACHAT,Switzerland,6
11,Martin STRANIK,Czechia,6
12,Sebastian HALENKE,Germany,6
13,Hannes PUMAN,Sweden,6
14,Sascha LEHMANN,Switzerland,6
15,Salavat RAKHMETOV,Russia,5
16,François LEGRAND,France,5
17,Cristian BRENNA,Italy,5
18,Kalin GARBOV,Bulgaria,5
19,Andreas BINDHAMMER,Germany,5
20,Tomás MRÁZEK,Czechia,5
21,Casper TEN SIJTHOFF,Netherlands,5
22,Patxi USOBIAGA LAKUNZA,Spain,5
23,Magnus MIDTBOE,Norway,5
24,Mikhail CHERNIKOV,Russia,5
25,Mario LECHNER,Austria,5
26,Adam ONDRA,Czechia,5
27,Stefano GHISOLFI,Italy,5
28,Marcello BOMBARDI,Italy,5
29,Martin BERGANT,Slovenia,5
30,Fedir SAMOILOV,Ukraine,5
31,Yuval SHEMLA,Israel,5
32,François PETIT,France,4
33,Alberto GNERRO,Italy,4
34,Aljosa GROM,Slovenia,4
35,Marek HAVLIK,Czechia,4
36,Yevgen KRYVOSHEYTSEV,Ukraine,4
37,Christian BINDHAMMER,Germany,4
38,Serguei NOURMAMATOV,Russia,4
39,Serik KAZBEKOV,Ukraine,4
40,Tomaz VALJAVEC,Slovenia,4
41,Said BELHAJ,Sweden,4
42,César Ciudad MANZANEDO,Spain,4
43,Sylvain MILLET,France,4
44,Flavio CRESPI,Italy,4
45,Alexandre CHABOT,France,4
46,Marcin WSZOLEK,Poland,4
47,Klemen BECAN,Slovenia,4
48,Ivan KAUROV,Russia,4
49,Dmitrii SHARAFUTDINOV,Russia,4
50,Valeriy KRYUKOV,Ukraine,4
51,Max RUDIGIER,Austria,4
52,Domen SKOFIC,Slovenia,4
53,Francesco VETTORATA,Italy,4
54,Christoph HANKE,Germany,4
55,Thomas JOANNES,France,4
56,Javier CANO BLAZQUEZ,Spain,4
57,Dmitrii FAKIRIANOV,Russia,4
58,Nicolas COLLIN,Belgium,4
59,Simon POTUCEK,Czechia,4
60,Robert CASPERSEN,Norway,3
61,Luca GIUPPONI,Italy,3
62,Andrej CHRASTINA,Slovakia,3
63,Andrey VEDENMEER,Ukraine,3
64,Milen VIDENOVSKI,Bulgaria,3
65,Robert MATE,Germany,3
66,Tomasz OLEKSY,Poland,3
67,Simon FASNACHT WANDELER,Switzerland,3
68,Tomi NYTORP,Finland,3
69,Peter BOSMA,Sweden,3
70,Ivaylo KRASTEV,Bulgaria,3
71,Juraj REPCIK,Slovakia,3
72,Jakub HLAVACEK,Czechia,3
73,Jürgen REIS,Austria,3
74,Roman FELIX,Switzerland,3
75,Steve MC CLURE,United Kingdom,3
76,Pablo BARBERO ALFONSO,Spain,3
77,Markus HOPPE,Germany,3
78,Mykhaylo SHALAGIN,Ukraine,3
79,Sergei SHAFEROV,Belarus,3
80,Adrian BAXTER,United Kingdom,3
81,Ugur YILMAZ,Turkey,3
82,Manuel ROMAIN,France,3
83,Eric LOPEZ MATEOS,Spain,3
84,Thomas TAUPORN,Germany,3
85,Thomas BALLET,France,3
86,Sergey TERENTYEV,Russia,3
87,Marco antonio JUBES ANGARITA,Spain,3
88,Gautier SUPPER,France,3
89,Jan HOJER,Germany,3
90,Jernej KRUDER,Slovenia,3
91,Jure RAZTRESEN,Slovenia,3
92,Lukas KÖB,Austria,3
93,Loïc TIMMERMANS,Belgium,3
94,Tomas BINTER,Czechia,3
95,Martin TEKLES,Germany,3
96,Georg PARMA,Austria,3
97,Dimitri VOGT,Switzerland,3
98,Sergei LUZHETSKII,Russia,3
99,Milan PRESKAR,Slovenia,3
100,Simon LORENZI,Belgium,3
101,Sam AVEZOU,France,3
102,Filip SCHENK,Italy,3
103,Mykhayil TKACHUK,Ukraine,3
104,Stepan VOLF,Czechia,3
105,Luka POTOCAR,Slovenia,3
106,François LOMBARD,France,2
107,Elie CHEVIEUX,Switzerland,2
