,Athlete,Country,NumChamps
1,Libor HROZA,Czechia,8
2,Tomasz OLEKSY,Poland,8
3,Marcin DZIENSKI,Poland,7
4,Danyil BOLDYREV,Ukraine,6
5,Evgenii VAITSEKHOVSKII,Russia,6
6,Sergei SINITCYN,Russia,6
7,Maksym STYENKOVYY,Ukraine,6
8,Ludovico FOSSALI,Italy,5
9,Guillaume MORO,France,5
10,Jan KRIZ,Czechia,5
11,Dmitrii TIMOFEEV,Russia,5
12,Leonardo GONTERO,Italy,5
13,Stanislav KOKORIN,Russia,5
14,Oleksandr SALIMOV,Ukraine,5
15,Csaba KOMONDI,Hungary,5
16,Kostiantyn PAVLENKO,Ukraine,4
17,Yaroslav TKACH,Ukraine,4
18,Aleksandr SHIKOV,Russia,4
19,Jakob SCHUBERT,Austria,4
20,Yaroslav GONTARYK,Ukraine,4
21,Alessandro SANTONI,Italy,4
22,Jedrzej KOMOSINSKI,Poland,4
23,Alexander PESHEKHONOV,Russia,4
24,Mathieu DUTRAY,France,4
25,Alessandro BOULOS,Italy,3
26,Lukas KNAPP,Austria,3
27,William BOSI,United Kingdom,3
28,Sascha LEHMANN,Switzerland,3
29,Jernej KRUDER,Slovenia,3
30,Sergei LUZHETSKII,Russia,3
31,Vladislav DEULIN,Russia,3
32,Petr BURIAN,Czechia,3
33,Gian luca ZODDA,Italy,3
34,Bassa MAWEM,France,3
35,Alessandro CINGARI,Italy,3
36,Stefano GHISOLFI,Italy,3
37,Dmitrii SHARAFUTDINOV,Russia,3
38,Lukasz SWIRK,Poland,3
39,Cédric LACHAT,Switzerland,3
40,Ivan SHYSHKOVSKYY,Ukraine,3
41,Iakov SOUBBOTINE,Russia,3
42,Alexandre CHAOULSKY,Russia,3
43,Milen VIDENOVSKI,Bulgaria,3
44,Yevgen KRYVOSHEYTSEV,Ukraine,3
45,Vladimir ZAKHAROV,Ukraine,3
46,Kalin GARBOV,Bulgaria,3
47,Andrey VEDENMEER,Ukraine,3
48,Vladimir NETSVETAEV-DOLGALEV,Russia,3
49,Alejandro RIVAS DOMÍNGUEZ,Spain,2
50,Dorian ZEDLER,Germany,2
51,Linus BADER,Germany,2
52,Erik NOYA CARDONA,Spain,2
53,Matteo ZURLONI,Italy,2
54,Tobias PLANGGER,Austria,2
