,Athlete,Country,NumChamps
1,Jakob SCHUBERT,Austria,17
2,Hannes PUMAN,Sweden,15
3,Sascha LEHMANN,Switzerland,14
4,Martin STRANIK,Czechia,14
5,Jorg VERHOEVEN,Netherlands,14
6,Tomasz OLEKSY,Poland,14
7,Jernej KRUDER,Slovenia,13
8,Dmitrii SHARAFUTDINOV,Russia,13
9,Nicolas COLLIN,Belgium,11
10,Yuval SHEMLA,Israel,11
11,Marcin DZIENSKI,Poland,10
12,Sergei LUZHETSKII,Russia,10
13,Fedir SAMOILOV,Ukraine,10
14,Marcello BOMBARDI,Italy,10
15,Stefano GHISOLFI,Italy,10
16,Cédric LACHAT,Switzerland,10
17,Kalin GARBOV,Bulgaria,10
18,Ram LEVIN,Israel,9
19,Michael PICCOLRUAZ,Italy,9
20,Javier CANO BLAZQUEZ,Spain,9
21,Danyil BOLDYREV,Ukraine,9
22,Jan HOJER,Germany,9
23,Eric LOPEZ MATEOS,Spain,9
24,Simon POTUCEK,Czechia,8
25,Jan KRIZ,Czechia,8
26,Nimrod MARCUS,Israel,8
27,Alex KHAZANOV,Israel,8
28,Kipras BALTRUNAS,Lithuania,8
29,Adam ONDRA,Czechia,8
30,David BARRANS,United Kingdom,8
31,Libor HROZA,Czechia,8
32,Ramón JULIAN PUIGBLANQUE,Spain,8
33,Magnus MIDTBOE,Norway,8
34,Evgeny OVCHINNIKOV,Russia,8
35,Serik KAZBEKOV,Ukraine,8
36,Salavat RAKHMETOV,Russia,8
37,Sam AVEZOU,France,7
38,Luka POTOCAR,Slovenia,7
39,Anze PEHARC,Slovenia,7
40,Christoph HANKE,Germany,7
41,Aleksei RUBTSOV,Russia,7
42,William BOSI,United Kingdom,7
43,Simon LORENZI,Belgium,7
44,Peter KURIC,Slovakia,7
45,Georg PARMA,Austria,7
46,Romain DESGRANGES,France,7
47,Jonatan FLOR VAZQUEZ,Spain,7
48,Mikhail CHERNIKOV,Russia,7
49,Marco antonio JUBES ANGARITA,Spain,7
50,Klemen BECAN,Slovenia,7
51,Remo SOMMER,Switzerland,7
52,Mykhaylo SHALAGIN,Ukraine,7
53,Maksym STYENKOVYY,Ukraine,7
54,Matej SOVA,Slovenia,7
55,Igor GUSAK,Ukraine,7
56,Casper TEN SIJTHOFF,Netherlands,7
57,Luca ZARDINI,Italy,7
58,Maksym PETRENKO,Ukraine,7
59,Yevgen KRYVOSHEYTSEV,Ukraine,7
60,Geva LEVIN,Israel,6
61,Sebastian HALENKE,Germany,6
62,Filip SCHENK,Italy,6
63,Rolands RUGENS,Latvia,6
64,Mykhayil TKACHUK,Ukraine,6
65,Fredrik SERLACHIUS,Sweden,6
66,Stepan VOLF,Czechia,6
67,Sergii TOPISHKO,Ukraine,6
68,Dimitri VOGT,Switzerland,6
69,Domen SKOFIC,Slovenia,6
70,Max RUDIGIER,Austria,6
71,Evgenii VAITSEKHOVSKII,Russia,6
72,Sergei SINITCYN,Russia,6
73,Tomi NYTORP,Finland,6
74,Tomás MRÁZEK,Czechia,6
75,Cristian BRENNA,Italy,6
76,Milen VIDENOVSKI,Bulgaria,6
77,Andrey VEDENMEER,Ukraine,6
78,Nikolay RUSEV,Bulgaria,5
79,Edvards GRUZITIS,Latvia,5
80,Nicolai UZNIK,Austria,5
81,Gregor VEZONIK,Slovenia,5
82,Ludovico FOSSALI,Italy,5
83,Guillaume MORO,France,5
84,Martin BERGANT,Slovenia,5
85,Dmitrii TIMOFEEV,Russia,5
86,Matthias ERBER,Austria,5
87,Nathan PHILLIPS,United Kingdom,5
88,Mickael MAWEM,France,5
89,Alberto GINÉS LÓPEZ,Spain,5
90,Mikel Asier LINACISORO MOLINA,Spain,5
91,Leonardo GONTERO,Italy,5
92,Stanislav KOKORIN,Russia,5
93,David FIRNENBURG,Germany,5
94,Ruben FIRNENBURG,Germany,5
95,Gabriele MORONI,Italy,5
96,Loïc TIMMERMANS,Belgium,5
97,Rustam GELMANOV,Russia,5
98,Oleksandr SALIMOV,Ukraine,5
99,Mario LECHNER,Austria,5
100,Arman TER-MINASYAN,Russia,5
101,Thomas TAUPORN,Germany,5
102,Kilian FISCHHUBER,Austria,5
103,Jonas BAUMANN,Germany,5
104,Ivan KAUROV,Russia,5
105,Martin JAGGI,Switzerland,5
106,Csaba KOMONDI,Hungary,5
107,Patxi USOBIAGA LAKUNZA,Spain,5
108,Blagovest LAZAROV,Bulgaria,5
109,Jakub HLAVACEK,Czechia,5
110,Ivaylo KRASTEV,Bulgaria,5
111,Marek REPCIK,Slovakia,5
112,Andrej CHRASTINA,Slovakia,5
113,Andreas BINDHAMMER,Germany,5
114,Said BELHAJ,Sweden,5
115,Serguei NOURMAMATOV,Russia,5
116,François LEGRAND,France,5
117,Robert CASPERSEN,Norway,5
118,Jan-Luca POSCH,Austria,4
119,Manuel CORNU,France,4
120,Gian Luca ZODDA,Italy,4
121,Kostiantyn PAVLENKO,Ukraine,4
122,Yaroslav TKACH,Ukraine,4
123,Philipp MARTIN,Germany,4
124,Nikolai IARILOVETS,Russia,4
125,Stepan POTUCEK,Czechia,4
126,Jakub KONECNY,Czechia,4
127,Vadim TIMONOV,Russia,4
128,Carmel RAZ ROMEO,Israel,4
129,Nikola KRAMARIC,Croatia,4
130,Aleksandr SHIKOV,Russia,4
131,Dmitrii FAKIRIANOV,Russia,4
132,Stefan BEDNAR,Slovakia,4
133,Alfons DORNAUER,Austria,4
134,James POPE,United Kingdom,4
135,Yannick FLOHÉ,Germany,4
136,Tim REUSER,Netherlands,4
137,Alexander MEGOS,Germany,4
138,Bittor ESPARTA FRADE,Spain,4
139,Yaroslav GONTARYK,Ukraine,4
140,Alessandro SANTONI,Italy,4
141,Thomas JOANNES,France,4
142,Francesco VETTORATA,Italy,4
143,Sergii KARPIN,Ukraine,4
144,Nicky DE LEEUW,Netherlands,4
145,Andrzej MECHERZYNSKI-WIKTOR,Poland,4
146,Jedrzej KOMOSINSKI,Poland,4
147,Valeriy KRYUKOV,Ukraine,4
148,Ferdinand SCHULTE,Netherlands,4
149,Eirik birkelund OLSEN,Norway,4
150,Ugur YILMAZ,Turkey,4
151,Wouter JONGENEELEN,Netherlands,4
152,Ivaylo RADKOV,Bulgaria,4
153,Christian CORE,Italy,4
154,Matthias MÜLLER,Switzerland,4
155,Alexander PESHEKHONOV,Russia,4
156,Marcin WSZOLEK,Poland,4
157,Jürgen REIS,Austria,4
158,Pablo BARBERO ALFONSO,Spain,4
159,Markus HOPPE,Germany,4
160,Daniel DU LAC,France,4
161,Daniel WINKLER,Switzerland,4
162,Gareth PARRY,United Kingdom,4
163,Alexandre CHABOT,France,4
164,Flavio CRESPI,Italy,4
165,Sylvain MILLET,France,4
166,Sergei SHAFEROV,Belarus,4
167,Marian GEORGIEV,Bulgaria,4
168,Iakov SOUBBOTINE,Russia,4
169,Peter BOSMA,Sweden,4
170,Jurij GOLOB,Slovenia,4
171,Tomaz VALJAVEC,Slovenia,4
172,César Ciudad MANZANEDO,Spain,4
173,Juraj REPCIK,Slovakia,4
174,Alberto GNERRO,Italy,4
175,Oleg TCHERECHNEV,Russia,4
176,Luca GIUPPONI,Italy,4
177,Mathieu DUTRAY,France,4
178,Robert MATE,Germany,4
179,Christian BINDHAMMER,Germany,4
180,François PETIT,France,4
181,Lukasz MÜLLER,Poland,4
182,Aljosa GROM,Slovenia,4
183,Marek HAVLIK,Czechia,4
184,Mykyta MYRONENKO,Ukraine,3
185,Guillermo PEINADO FRANGANILLO,Spain,3
186,Nimród Sebestyén TUSNÁDY ,Hungary,3
187,Martin MÄNNISTE,Estonia,3
188,Vaidotas MONSTAVICIUS,Lithuania,3
189,Albin MEYER,Sweden,3
190,Toivo ELORANTA,Finland,3
191,Elliot ERIKSSON,Sweden,3
192,Jonas UTELLI,Switzerland,3
193,Max KLEESATTEL,Germany,3
194,Zan LOVENJAK SUDAR,Slovenia,3
195,Maximillian MILNE,United Kingdom,3
196,Alessandro BOULOS,Italy,3
197,Lukas KNAPP,Austria,3
198,Milan PRESKAR,Slovenia,3
199,Sergei SKORODUMOV,Russia,3
200,Leonid OSADCHYI,Ukraine,3
201,Bohdan BOTNAR,Ukraine,3
202,Eduardas JERIOMENKO,Lithuania,3
203,Baptiste OMETZ,Switzerland,3
204,Emil ABRAHAMSSON,Sweden,3
205,Nils FAVRE,Switzerland,3
206,Vladislav DEULIN,Russia,3
207,Jeremy BONDER,France,3
208,Stepan STRANIK,Czechia,3
209,Stefan SCARPERI,Italy,3
210,Mejdi SCHALCK,France,3
211,Hamish MCARTHUR,United Kingdom,3
212,Petr BURIAN,Czechia,3
213,Bassa MAWEM,France,3
214,Alessandro CINGARI,Italy,3
215,Martin TEKLES,Germany,3
216,Bjørn ARNEL IISAGER,Denmark,3
217,Alban LEVIER,France,3
218,Kevin HEINIGER,Switzerland,3
219,Benjamin BLASER,Switzerland,3
220,Guram DABRUNDASHVILI,Georgia,3
221,Tomas BINTER,Czechia,3
222,Stephane HANSSENS,Belgium,3
223,Luka KIVELA,Croatia,3
224,Ben WEST,United Kingdom,3
225,Guillaume GLAIRON MONDET,France,3
226,Jure BECAN,Slovenia,3
227,Lukas KÖB,Austria,3
228,Gautier SUPPER,France,3
229,Jure RAZTRESEN,Slovenia,3
230,Thomas BALLET,France,3
231,Sergey TERENTYEV,Russia,3
232,Nicolas FARCY,Belgium,3
233,Kevin HEMUND,Switzerland,3
234,Lukasz SWIRK,Poland,3
235,Manuel ROMAIN,France,3
236,David LAMA,Austria,3
237,André NERES,Portugal,3
238,Blaz RANT,Slovenia,3
239,Björn STRÖMBERG,Sweden,3
240,Bálint KUCSERA,Hungary,3
241,Ludovic LAURENCE,France,3
242,José ABREU,Portugal,3
243,Evgeny BASHKIRTSEV,Russia,3
244,Jérôme MEYER,France,3
245,Gérome POUVREAU,France,3
246,Nalle HUKKATAIVAL,Finland,3
247,Ivan SHYSHKOVSKYY,Ukraine,3
248,Adrian BAXTER,United Kingdom,3
249,Andrew EARL,United Kingdom,3
250,Eduard MARIN GARCIA,Spain,3
251,Roman VAN DER WERF,Netherlands,3
252,Dmytro KONOVALOV,Ukraine,3
253,Todor DJAMBAZOV,Bulgaria,3
254,Karsten BOROWKA,Germany,3
255,Daniel ANDRADA JIMENEZ,Spain,3
256,Heiko WILHELM,Austria,3
257,Kyrylo SHEVCHENKO,Ukraine,3
258,Alexandre CHAOULSKY,Russia,3
259,Steve MC CLURE,United Kingdom,3
260,Andreas PFANNER,Austria,3
261,Iouri DOULOUB,Russia,3
262,Roman FELIX,Switzerland,3
263,Vladimir ZAKHAROV,Ukraine,3
264,Simon FASNACHT WANDELER,Switzerland,3
265,Vladimir NETSVETAEV-DOLGALEV,Russia,3
266,Pavel KORAN,Czechia,3
267,Werner THON,Germany,3
268,Kairat RAKHMETOV,Kazakhstan,3
269,Pietro VIDI,Italy,2
270,Leo FAVOT,France,2
271,Julien CLÉMENCE,Switzerland,2
272,Alejandro RIVAS DOMÍNGUEZ,Spain,2
273,Dorian ZEDLER,Germany,2
274,Linus BADER,Germany,2
275,Erik NOYA CARDONA,Spain,2
276,Matteo ZURLONI,Italy,2
277,Tobias PLANGGER,Austria,2
278,Sebastian LUCKE,Germany,2
279,Leander CARMANNS,Germany,2
280,Lawrence BOGESCHDORFER,Austria,2
281,Matthew FALL,United Kingdom,2
282,Gergő VÁLYI,Hungary,2
283,Nino GRÜNENFELDER,Switzerland,2
284,Sergei TIUPYSHEV,Russia,2
285,Tomas PLEVKO,Slovakia,2
286,Dylan CHUAT,Switzerland,2
287,Lev RUDATSKIY,Russia,2
288,Vladislav SHEVCHENKO,Russia,2
289,Dmitrii POPOV,Russia,2
290,Tamás FARKAS,Hungary,2
291,Evgenii ZAZULIN,Russia,2
292,William RIDAL,United Kingdom,2
293,Don VAN LAERE,Netherlands,2
294,Milos NEMY,Slovakia,2
295,Matteo MANZONI,Italy,2
296,Piotr SCHAB,Poland,2
297,Maciej DOBRZANSKI,Poland,2
298,Elias IAGNEMMA,Italy,2
299,Florian KLINGLER,Austria,2
300,Toby ROBERTS,United Kingdom,2
301,Matey MITSEV,Bulgaria,2
302,Theis lindegren ELFENBEIN,Denmark,2
303,Yotam BEN REUVEN,Israel,2
304,Nimord MARCUS,Israel,2
305,Leo BØE,Norway,2
306,Hannes VAN DUYSEN,Belgium,2
307,Paul JENFT,France,2
308,Mark BRAND,Netherlands,2
309,Ioannis-Filippos NOEL-BAKER,Greece,2
310,Slav KIROV,Bulgaria,2
311,Jovan IVANOV,The former Yugoslav Republic of Macedonia,2
312,Leto CAVÉ,Netherlands,2
313,Mathias POSCH,Austria,2
314,Almaz NAGAEV,Russia,2
315,Aleksandr SHILOV,Russia,2
316,Matthaios VALSAMIDIS,Greece,2
317,Nao MONCHOIS,France,2
318,Matthias SCHIESTL,Austria,2
319,Sébastien BERTHE,Belgium,2
320,Borna CUJIC,Croatia,2
