,Athlete,Country,NumChamps
1,Molly THOMPSON-SMITH,United Kingdom,2
2,Stasa GEJO,Serbia,2
3,Elena KRASOVSKAIA,Russia,2
4,Petra KLINGLER,Switzerland,1
5,Katharina POSCH,Austria,1
6,Anna TSYGANOVA,Russia,1
7,Jessica PILZ,Austria,1
8,Ievgeniia KAZBEKOVA,Ukraine,1
9,Andrea EBNER,Italy,1
10,Ekaterina KIPRIIANOVA,Russia,1
11,Andrea KÜMIN,Switzerland,1
12,Jara SPÄTE,Switzerland,1
13,Margaryta ZAKHAROVA,Ukraine,1
14,Janja GARNBRET,Slovenia,1
15,Asja GOLLO,Italy,1
16,Franziska STERRER,Austria,1
17,Urska REPUSIC,Slovenia,1
18,Mina MARKOVIC,Slovenia,1
19,Marketa JANOSOVA,Czechia,1
20,Ayala KEREM,Israel,1
21,Chloe CAULIER,Belgium,1
22,Alma BESTVATER,Germany,1
23,Patrycja CHUDZIAK,Poland,1
24,Anna BROZEK,Poland,1
25,Vana PICCINI,Croatia,1
26,Viktoriia MESHKOVA,Russia,1
27,Hannah MEUL,Germany,1
28,Afra HÖNIG,Germany,1
29,Aleksandra KALUCKA,Poland,1
30,Natalia KALUCKA,Poland,1
31,Nika POTAPOVA,Ukraine,1
32,Lucia DÖRFFEL,Germany,1
33,Eliska ADAMOVSKA,Czechia,1
34,Michaela SMETANOVA,Czechia,1
35,Noa SHIRAN,Israel,1
