,Athlete,Country,NumChamps
1,Sergei LUZHETSKII,Russia,2
2,Yuval SHEMLA,Israel,2
3,Jernej KRUDER,Slovenia,2
4,Hannes PUMAN,Sweden,2
5,William BOSI,United Kingdom,1
6,Nikolai IARILOVETS,Russia,1
7,Aleksey RUBTSOV,Russia,1
8,Ram LEVIN,Israel,1
9,Simon LORENZI,Belgium,1
10,Martin STRANIK,Czechia,1
11,Sascha LEHMANN,Switzerland,1
12,Jan KRIZ,Czechia,1
13,Danyil BOLDYREV,Ukraine,1
14,Marcin DZIENSKI,Poland,1
15,Peter KURIC,Slovakia,1
16,Nimrod MARCUS,Israel,1
17,Geva LEVIN,Israel,1
18,Anze PEHARC,Slovenia,1
19,Nicolas COLLIN,Belgium,1
20,Alex KHAZANOV,Israel,1
21,Mikel Asier LINACISORO MOLINA,Spain,1
22,Michael PICCOLRUAZ,Italy,1
23,David FIRNENBURG,Germany,1
24,Jakob SCHUBERT,Austria,1
25,Jan HOJER,Germany,1
26,Jonatan FLOR VAZQUEZ,Spain,1
27,Christoph HANKE,Germany,1
28,Javier CANO BLAZQUEZ,Spain,1
29,Eric LOPEZ MATEOS,Spain,1
30,Georg PARMA,Austria,1
31,Matthias ERBER,Austria,1
32,Marcello BOMBARDI,Italy,1
33,Ruben FIRNENBURG,Germany,1
34,Dimitri VOGT,Switzerland,1
