,Event,TotalTeam
0,WChamp 2016 All,RUS - 35
1,WChamp 2018 All,RUS - 33
2,WChamp 2012 All,RUS - 33
3,WChamp 2011 All,RUS - 32
4,Wchamp 2025,JPN - 31
5,WChamp 2009 All,RUS - 30
6,Wchamp 2025,USA - 29
7,WChamp 2018 All,AUT - 28
8,Wchamp 2021,RUS - 27
9,WChamp 2005 All,RUS - 27
10,WChamp 2014 Lead Speed Combined,RUS - 26
11,WChamp 2016 All,FRA - 26
12,WChamp 2007 All,RUS - 25
13,WChamp 2016 All,ITA - 24
14,WChamp 2016 All,USA - 24
15,WChamp 2003 All,RUS - 24
16,Wchamp 2023,USA - 24
17,WChamp 2019 All,RUS - 24
18,WChamp 2018 All,USA - 23
19,WChamp 2001 All,RUS - 23
