,Event,NumCountries,Boulder,Boulder-Lead,Combined,Lead,Speed
0,WChamp 1991 All,22,0,0,0,22,13
1,WChamp 1993 All,23,0,0,0,23,11
2,WChamp 1995 All,24,0,0,0,23,14
3,WChamp 1997 All,26,0,0,0,26,16
4,WChamp 1999 All,30,0,0,0,29,20
5,WChamp 2001 All,25,21,0,0,24,7
6,WChamp 2003 All,34,32,0,0,28,9
7,WChamp 2005 All,51,47,0,0,47,21
8,WChamp 2007 All,50,44,0,0,43,35
9,WChamp 2009 All,44,34,0,0,38,16
10,WChamp 2011 All,55,48,0,0,51,31
11,WChamp 2012 All,55,51,0,16,48,29
12,WChamp 2014 Boulder,43,43,0,0,0,0
13,WChamp 2014 Lead Speed Combined,37,0,0,10,35,24
14,WChamp 2016 All,49,47,0,17,40,23
15,WChamp 2018 All,48,47,0,36,39,38
16,WChamp 2019 All,39,38,0,35,38,36
17,Wchamp 2021,41,39,0,11,37,23
18,Wchamp 2023,54,52,48,0,48,28
