Country,Gender,Boulder,Lead,Speed
AND,Male,121,111,0
ARG,Female,33,47,49
ARG,Male,45,35,65
AUS,Female,7,35,22
AUS,Male,13,11,7
AUT,Female,1,1,11
AUT,Male,2,1,5
AZE,Female,57,59,45
AZE,Male,105,95,48
BEL,Female,8,1,1
BEL,Male,21,10,5
BIH,Male,105,0,0
BLR,Female,55,63,0
BLR,Male,59,49,0
BOL,Male,110,115,0
BOT,Male,83,0,0
BRA,Female,47,32,63
BRA,Male,27,27,43
BUL,Female,23,12,12
BUL,Male,23,23,7
CAN,Female,7,36,29
CAN,Male,4,2,22
CHI,Female,21,17,35
CHI,Male,59,35,59
CHN,Female,11,17,1
CHN,Male,33,21,1
COL,Female,57,40,30
COL,Male,84,53,33
CRC,Male,80,90,30
CRO,Female,47,33,0
CRO,Male,60,61,57
CYP,Male,0,78,34
CZE,Female,3,9,5
CZE,Male,1,1,2
DEN,Female,27,48,0
DEN,Male,29,50,0
ECU,Female,45,22,13
ECU,Male,45,51,15
ESA,Male,110,114,36
ESP,Female,8,5,7
ESP,Male,6,1,1
EST,Female,92,97,0
EST,Male,92,0,0
FIN,Female,27,28,0
FIN,Male,5,32,0
FRA,Female,1,1,1
FRA,Male,1,1,2
GBR,Female,3,9,5
GBR,Male,3,3,5
GEO,Female,53,48,54
GEO,Male,47,75,28
GER,Female,1,3,5
GER,Male,3,2,5
GRE,Female,59,64,18
GRE,Male,52,85,33
GUA,Female,50,41,12
GUA,Male,109,101,34
HKG,Female,46,42,4
HKG,Male,37,43,14
HON,Female,65,69,0
HON,Male,112,109,53
HUN,Female,25,21,8
HUN,Male,61,39,9
INA,Female,26,32,1
INA,Male,57,53,3
IND,Female,68,52,13
IND,Male,31,61,17
IRI,Female,17,23,18
IRI,Male,21,21,1
IRL,Male,27,0,0
ISL,Female,97,79,0
ISL,Male,88,117,0
ISR,Female,10,27,44
ISR,Male,5,30,53
ITA,Female,2,3,7
ITA,Male,1,1,1
JOR,Male,0,130,0
JPN,Female,2,1,9
JPN,Male,1,2,12
KAZ,Female,19,37,3
KAZ,Male,33,19,3
KGZ,Female,0,0,19
KGZ,Male,69,0,28
KOR,Female,5,1,9
KOR,Male,2,4,9
LAT,Female,43,0,0
LAT,Male,17,54,30
LTU,Female,47,49,0
LTU,Male,37,63,0
LUX,Female,0,29,0
LUX,Male,43,65,0
MAC,Male,91,0,0
MAS,Male,43,53,35
MEX,Female,68,62,35
MEX,Male,10,35,80
MGL,Male,127,111,50
MKD,Female,77,97,0
MKD,Male,64,77,33
NED,Female,19,13,5
NED,Male,7,3,46
NEP,Male,0,74,0
NOR,Female,12,13,46
NOR,Male,29,4,22
NZL,Female,25,38,27
NZL,Male,51,60,31
PAK,Male,85,0,96
PER,Female,95,96,0
PER,Male,108,70,37
PHI,Male,70,75,0
POL,Female,4,8,1
POL,Male,3,21,1
POR,Female,51,50,0
POR,Male,30,43,47
PUR,Female,97,89,0
ROU,Female,62,33,5
ROU,Male,67,43,19
RSA,Female,57,72,75
RSA,Male,69,72,45
RUS,Female,1,4,1
RUS,Male,1,4,1
SGP,Male,96,65,0
SLO,Female,1,1,5
SLO,Male,2,2,10
SRB,Female,3,24,35
SRB,Male,64,0,0
SUI,Female,1,1,20
SUI,Male,3,3,5
SVK,Female,12,25,34
SVK,Male,14,19,9
SWE,Female,21,6,18
SWE,Male,25,8,30
THA,Female,37,39,26
THA,Male,65,66,23
TPE,Female,23,38,13
TPE,Male,47,57,16
TUR,Female,35,47,0
TUR,Male,67,73,44
UKR,Female,1,4,1
UKR,Male,4,3,1
USA,Female,1,1,2
USA,Male,8,2,1
UZB,Female,79,75,0
UZB,Male,85,98,14
VEN,Female,43,37,8
VEN,Male,34,35,2
