,Athlete,Country,NumWChamps
1,Sean MCCOLL,Canada,9
2,Martin STRANIK,Czechia,8
3,Kilian FISCHHUBER,Austria,8
4,Mykhaylo SHALAGIN,Ukraine,8
5,Gabriele MORONI,Italy,8
6,Artyom DEVYATERIKOV,Kazakhstan,8
7,Jan HOJER,Germany,8
8,Jernej KRUDER,Slovenia,8
9,Dmitrii SHARAFUTDINOV,Russia,7
10,Tomoa NARASAKI,Japan,7
11,Jabee KIM,Republic of Korea,7
12,Rustam GELMANOV,Russia,7
13,Christian CORE,Italy,6
14,Wouter JONGENEELEN,Netherlands,6
15,Bruno MACIAS MATUTANO,Spain,6
16,Tsukuru HORI,Japan,6
17,David BARRANS,United Kingdom,6
18,Rolands RUGENS,Latvia,6
19,Nicky DE LEEUW,Netherlands,6
20,Rei SUGIMOTO,Japan,6
21,Aleksei RUBTSOV,Russia,6
22,Adam ONDRA,Czechia,6
23,Kipras BALTRUNAS,Lithuania,6
24,Kokoro FUJII,Japan,6
25,Jongwon CHON,Republic of Korea,6
26,Michael PICCOLRUAZ,Italy,6
27,Alex KHAZANOV,Israel,6
28,Sergii TOPISHKO,Ukraine,5
29,Vadim TIMONOV,Russia,5
30,Nathan PHILLIPS,United Kingdom,5
31,Mickael MAWEM,France,5
32,Yoshiyuki OGATA,Japan,5
33,Manuel CORNU,France,5
34,Campbell HARRISON,Australia,5
35,Yufei PAN,China,5
36,Cédric LACHAT,Switzerland,5
37,Klemen BECAN,Slovenia,5
38,Lucas PRETI,Italy,5
39,Jorg VERHOEVEN,Netherlands,5
40,Guillaume GLAIRON MONDET,France,5
41,Salavat RAKHMETOV,Russia,5
42,Gareth PARRY,United Kingdom,5
43,Mauricio HUERTA,Mexico,5
44,Nicolas COLLIN,Belgium,5
45,Anze PEHARC,Slovenia,5
46,Vilimantas PETRASIUNAS,Lithuania,5
47,Gholamali BARATZADEH,Iran (Islamic Republic of),4
48,Arman TER-MINASYAN,Russia,4
49,Carlo TRAVERSI,United States of America,4
50,Yury NOVITSKIY,Russia,4
51,Stefano GHISOLFI,Italy,4
52,Benjamin BLASER,Switzerland,4
53,Stefan SCARPERI,Italy,4
54,Pedro ferreira NICOLOSO,Brazil,4
55,Sungbo SEO,Republic of Korea,4
56,Sebastien LAZURE,Canada,4
57,Daniel DU LAC,France,4
58,Tomasz OLEKSY,Poland,4
59,Matthias MÜLLER,Switzerland,4
60,André NERES,Portugal,4
61,Nikola PETROV,Bulgaria,4
62,Ka-Chun YAU,"China, Hong Kong Special Administrative Region",4
63,Hannes PUMAN,Sweden,4
64,Gregor VEZONIK,Slovenia,4
65,Simon LORENZI,Belgium,4
66,Benjamin HANNA,United States of America,4
67,Viktor TRPOVSKI,The former Yugoslav Republic of Macedonia,4
68,Sangwon SON,Republic of Korea,4
69,Jaha KIM,Republic of Korea,4
70,Andrzej MECHERZYNSKI-WIKTOR,Poland,4
71,Marco antonio JUBES ANGARITA,Spain,4
72,Magnus MIDTBOE,Norway,4
73,Jonas BAUMANN,Germany,4
74,Matej SVUB,Slovakia,4
75,Eric LOPEZ MATEOS,Spain,4
76,Cesar GROSSO,Brazil,4
77,Sergii KARPIN,Ukraine,4
78,Jan-Luca POSCH,Austria,4
79,Jakob SCHUBERT,Austria,4
80,Sascha LEHMANN,Switzerland,4
81,Meichi NARASAKI,Japan,4
82,Yannick FLOHÉ,Germany,4
83,Nimrod MARCUS,Israel,4
84,Ram LEVIN,Israel,4
85,Felipe HO FOGANHOLO,Brazil,4
86,Mikel Asier LINACISORO MOLINA,Spain,4
87,Ciarán SCANLON,Ireland,3
88,Thilo jeldrik SCHRÖTER,Norway,3
89,Cheung-Chi Shoji CHAN,"China, Hong Kong Special Administrative Region",3
90,Alexander MEGOS,Germany,3
91,Marcello BOMBARDI,Italy,3
92,Gaurav KUMAR,India,3
93,Sean BAILEY,United States of America,3
94,Yuval SHEMLA,Israel,3
95,Sam AVEZOU,France,3
96,Mykhayil TKACHUK,Ukraine,3
97,William RIDAL,United Kingdom,3
98,Carlos GRANJA,Ecuador,3
99,Nils FAVRE,Switzerland,3
100,Chingkheinganba MAIBAM,India,3
101,Dohyun LEE,Republic of Korea,3
102,Hritik MARNE,India,3
103,Bjørn ARNEL IISAGER,Denmark,3
104,Domen SKOFIC,Slovenia,3
105,Jason HOLOWACH,Canada,3
106,Alfons DORNAUER,Austria,3
107,Stepan STRANIK,Czechia,3
108,Riccardo PIAZZA,Italy,3
109,Tomoaki TAKATA,Japan,3
110,Nathaniel COLEMAN,United States of America,3
111,Benjamin AYALA,Chile,3
112,Ben ABEL,Australia,3
