Athlete,Country,NumWChamps
Marcin DZIENSKI,Poland,8
Danyil BOLDYREV,Ukraine,8
Tomasz OLEKSY,Poland,8
Csaba KOMONDI,Hungary,8
Qixin ZHONG,China,8
Amir MAIMURATOV,Kazakhstan,7
Maksym STYENKOVYY,Ukraine,7
Libor HROZA,Czechia,7
Stanislav KOKORIN,Russia,7
Artyom DEVYATERIKOV,Kazakhstan,7
Isaac ESTEVEZ,Ecuador,6
John BROSLER,United States of America,6
Bassa MAWEM,France,6
Reza ALIPOUR SHENAZANDIFARD,Iran (Islamic Republic of),6
Dmitrii TIMOFEEV,Russia,6
Yevgen KRYVOSHEYTSEV,Ukraine,6
Sergei SINITCYN,Russia,6
Evgenii VAITSEKHOVSKII,Russia,6
Sean MCCOLL,Canada,6
Kostiantyn PAVLENKO,Ukraine,5
Ludovico FOSSALI,Italy,5
Gian luca ZODDA,Italy,5
Rishat KHAIBULLIN,Kazakhstan,5
Jan KRIZ,Czechia,5
Aleksandr SHIKOV,Russia,5
Andrey VEDENMEER,Ukraine,5
Vladimir NETSVETAEV-DOLGALEV,Russia,5
Leonardo GONTERO,Italy,5
Lukasz SWIRK,Poland,5
Carlos GRANJA,Ecuador,4
Petr BURIAN,Czechia,4
Guillaume MORO,France,4
Jan HOJER,Germany,4
Iakov SOUBBOTINE,Russia,4
Kalin GARBOV,Bulgaria,4
Cédric LACHAT,Switzerland,4
Marco antonio JUBES ANGARITA,Spain,4
Rolands RUGENS,Latvia,4
Manuel ESCOBAR,Venezuela (Bolivarian Republic of),4
Alexandr NIGMATULIN,Kazakhstan,4
Yaroslav TKACH,Ukraine,3
Tobias PLANGGER,Austria,3
Sirapob JIRAJATURAPAK,Thailand,3
Gaurav KUMAR,India,3
Phanuphong BUNPRAKOP,Thailand,3
Yannick FLOHÉ,Germany,3
Vladislav DEULIN,Russia,3
Milen VIDENOVSKI,Bulgaria,3
Neil CARSON,United Kingdom,3
Alexander PESHEKHONOV,Russia,3
Salah BOULBAHAIEM,Belgium,3
Ivan SHYSHKOVSKYY,Ukraine,3
Alexei GADEEV,Russia,3
Mathieu DUTRAY,France,3
Alexandre CHAOULSKY,Russia,3
Johan MUS,Belgium,3
Ionel ENE,Romania,3
Hans FLORINE,United States of America,3
Oleg TCHERECHNEV,Russia,3
Kairat RAKHMETOV,Kazakhstan,3
Vladimir ZAKHAROV,Ukraine,3
Gareth PARRY,United Kingdom,3
Daniel ANDRADA JIMENEZ,Spain,3
Jedrzej KOMOSINSKI,Poland,3
Yaroslav GONTARYK,Ukraine,3
Stefano GHISOLFI,Italy,3
Hanwool KIM,Republic of Korea,3
Thomas TAUPORN,Germany,3
Sergey ABDRAKHMANOV,Russia,3
Alexey MOLCHANOV,Kazakhstan,3
Adam ONDRA,Czechia,3
Nikita DEVYATERIKOV,Kazakhstan,3
Yufei PAN,China,3
Penghui LIN,China,3
Manuel CORNU,France,3
Hannes PUMAN,Sweden,3
Alessandro SANTONI,Italy,3
Chi-wai LAI,"China, Hong Kong Special Administrative Region",3
Jernej KRUDER,Slovenia,3
Domen SKOFIC,Slovenia,3
Beknur ALTYNBEKOV,Kazakhstan,2
Yongjun JUNG,Republic of Korea,2
Pierre REBREYEND,France,2
Erik NOYA CARDONA,Spain,2
Sebastian LUCKE,Germany,2
Mehdi ALIPOUR SHENAZANDIFARD,Iran (Islamic Republic of),2
Joshua BRUYNS,South Africa,2
Linus BADER,Germany,2
Merritt ERNSBERGER,United States of America,2
Chia hsiang LIN,Taiwan,2
Michael FINN-HENRY,Canada,2
Michael FINN-HENRY,United States of America,2
Ethan PITCHER,Canada,2
Noah BRATSCHI,United States of America,2
Lukas KNAPP,Austria,2
Peter KURIC,Slovakia,2
Arsenii BOGOMOLOV,Russia,2
Nickolaie RIVADENEIRA,Ecuador,2
Fedir SAMOILOV,Ukraine,2
Christian SCHLESENER,Germany,2
Milan BENIAN,Czechia,2
Alexei KOZLOV,Russia,2
Michael LEA,United Kingdom,2
Pavel KORAN,Czechia,2
C. m. PRAVEEN,India,2
Kyrylo SHEVCHENKO,Ukraine,2
Andrzej MECHERZYNSKI-WIKTOR,Poland,2
Oleksandr SALIMOV,Ukraine,2
Nicolas JANUEL,France,2
Serik KAZBEKOV,Ukraine,2
Stephan HILGERS,Germany,2
Gregor JAEGER,Germany,2
Andrzej MARCISZ,Poland,2
Salavat RAKHMETOV,Russia,2
Vladislav BARANOV,Russia,2
César ciudad MANZANEDO,Spain,2
Alexandr PAUKAEV,Ukraine,2
Lukasz MÜLLER,Poland,2
Dmitrii BYCHKOV,Russia,2
Andreas PFANNER,Austria,2
Andrii KYTAIKO,Ukraine,2
Arsenii SHEVCHENKO,Russia,2
Andres QUINTEROS,Ecuador,2
Volodymyr ZINCHENKO,Ukraine,2
Sayat BOKANOV,Kazakhstan,2
Robert STEWART-PATTERSON,Canada,2
Lincai ZHONG,China,2
Giga JANKHOTELI,Georgia,2
Klemen BECAN,Slovenia,2
Aspar JAELOLO,Indonesia,2
Seungwoon CHO,Republic of Korea,2
Shane PUCCIO,United States of America,2
Yuhang ZHANG,China,2
Soso KATSITADZE,Georgia,2
Josh LEVIN,United States of America,2
Ivan NOVIKOV,Russia,2
Tonny MAMIRI,Indonesia,2
Maksym OSIPOV,Ukraine,2
Magnus MIDTBOE,Norway,2
Bence GÁL,Hungary,2
Zhiyong OU,China,2
Aleksandr SHILOV,Russia,2
Javier CANO BLAZQUEZ,Spain,2
Olexiy ZAYCHENKO,Ukraine,2
Matej BURIAN,Czechia,2
Quentin NAMBOT,France,2
Eric LOPEZ MATEOS,Spain,2
Anghelo BERNAL,Colombia,2
Lester JUÁREZ,Guatemala,2
Bálint KUCSERA,Hungary,2
Johannes LAU,Germany,2
Nestor CARVAJAL,Venezuela (Bolivarian Republic of),2
Xiaojie CHEN,China,2
Leonel DE LAS SALAS,Venezuela (Bolivarian Republic of),2
David ULLOA,Costa Rica,2
Mikel Asier LINACISORO MOLINA,Spain,2
Cheung-Chi Shoji CHAN,"China, Hong Kong Special Administrative Region",2
Danny VALENCIA,Ecuador,2
Jakob SCHUBERT,Austria,2
Alexander MEGOS,Germany,2
Michael PICCOLRUAZ,Italy,2
Or MINIELY,Israel,2
Alex KHAZANOV,Israel,2
Santiago GARCIA,Argentina,2
William RIDAL,United Kingdom,2
Nicolas COLLIN,Belgium,2
Ram LEVIN,Israel,2
Meichi NARASAKI,Japan,2
Nathaniel COLEMAN,United States of America,2
Yarden PILPEL,Israel,2
Sascha LEHMANN,Switzerland,2
Jongwon CHON,Republic of Korea,2
Tomoa NARASAKI,Japan,2
Kokoro FUJII,Japan,2
Kai HARADA,Japan,2
Kritsadakorn THONGMUNG,Thailand,2
Loïc TIMMERMANS,Belgium,2
Jason HOLOWACH,Canada,2
Chingkheinganba MAIBAM,India,2
Calrin CURTIS,South Africa,2
Joe GOODACRE,United States of America,2
Cesar GROSSO,Brazil,2
George SANDERS,New Zealand,2
Felipe HO FOGANHOLO,Brazil,2
Rudolph RUANA,United States of America,2
Mickael MAWEM,France,2
Nimrod MARCUS,Israel,2
William BOSI,United Kingdom,2
Yuval SHEMLA,Israel,2
Marcello BOMBARDI,Italy,2
Ka-chun YAU,"China, Hong Kong Special Administrative Region",2
Martin STRANIK,Czechia,2
Alexander KOSTERIN,Russia,2
Mikhail YEKIMENKO,Uzbekistan,2
Mikhail YEKIMENKO,Kazakhstan,2
Shivalinga M MAHADEVA K,India,2
Rahmad ADI MULYONO,Indonesia,1
Veddriq LEONARDO,Indonesia,1
Jose tomas LEDESMA,Chile,1
Alisher MURAT,Kazakhstan,1
Euncheol SHIN,Republic of Korea,1
Jianguo LONG,China,1
Liang ZHANG,China,1
Aaron MATTES,Australia,1
Motonori TABUCHI,Japan,1
Dylan LE,Canada,1
Gustavo jose PEREZ,Venezuela (Bolivarian Republic of),1
Valentin STERNIK,Argentina,1
Aphiwit LIMPANICHPAKDEE,Thailand,1
Samuel WATSON,United States of America,1
Rafe STOKES,United States of America,1
Rafe STOKES,United Kingdom,1
Hayden BARTON,Australia,1
Kiromal KATIBIN,Indonesia,1
Leander CARMANNS,Germany,1
Alessandro BOULOS,Italy,1
Zainal ARIPIN,Indonesia,1
Kevin AMON,Austria,1
Paolo RIVADENEIRA,Ecuador,1
Julian DAVID,New Zealand,1
Joaquin TAPIA,Chile,1
Jinbao LONG,China,1
Denys MOZOLEVYCH,Ukraine,1
Jun YASUKAWA,Japan,1
Hubert PRZYTULA,Poland,1
Gabriel CANCEL,Ecuador,1
Ryo OMASA,Japan,1
Xinshang WANG,China,1
Peng WU,China,1
