,Athlete,Country,NumWChamps
1,Petra KLINGLER,Switzerland,4
2,Tamara ULZHABAYEVA,Kazakhstan,3
3,Jain KIM,Republic of Korea,3
4,Alannah YIP,Canada,3
5,Kyra CONDIE,United States of America,3
6,Jessica PILZ,Austria,3
7,Ievgeniia KAZBEKOVA,Ukraine,3
8,Mia KRAMPL,Slovenia,3
9,Delaney MILLER,United States of America,2
10,Valeri KREMER,Israel,2
11,Barbara BACHER,Austria,2
12,Charlotte DURIF,France,2
13,Andrea EBNER,Italy,2
14,Claire BUHRFEIND,United States of America,2
15,Elena KRASOVSKAIA,Russia,2
16,Akiyo NOGUCHI,Japan,2
17,Sol SA,Republic of Korea,2
18,Aleksandra MIROSLAW,Poland,2
19,Anouck JAUBERT,France,2
20,Miho NONAKA,Japan,2
21,Andrea KÜMIN,Switzerland,2
22,Tiffany MELIUS,Australia,2
23,Patrycja CHUDZIAK,Poland,2
24,Anna BROZEK,Poland,2
25,Di NIU,China,2
26,Mei KOTAKE,Japan,2
27,Margaryta ZAKHAROVA,Ukraine,2
28,Janja GARNBRET,Slovenia,2
29,Vita LUKAN,Slovenia,2
30,Ashima SHIRAISHI,United States of America,2
31,Brooke RABOUTOU,United States of America,2
32,Oceania MACKENZIE,Australia,2
33,Rebecca FRANGOS,Canada,2
34,Sandra LETTNER,Austria,2
35,Aleksandra KALUCKA,Poland,2
36,Natalia KALUCKA,Poland,2
37,Alejandra CONTRERAS,Chile,2
38,Margarita AGAMBAYEVA,Kazakhstan,2
39,Anne-sophie KOLLER,Switzerland,2
40,Thais makino SHIRAIWA,Brazil,2
41,Elnaz REKABI,Iran (Islamic Republic of),2
42,Rebekka STOTZ,Switzerland,1
43,Konul HUSEYNOVA,Azerbaijan,1
44,Aysel SULTANOVA,Azerbaijan,1
45,Sima SEFEROVA,Azerbaijan,1
46,Reyhan MAMMADOVA,Azerbaijan,1
47,Carolina ROSERO,Ecuador,1
48,Cecile AVEZOU,France,1
49,Jenny LAVARDA,Italy,1
50,Yelena GRUNYASHINA,Kazakhstan,1
51,Lee HUNG YING,Taiwan,1
52,Dinara FAKHRITDINOVA,Russia,1
53,Flor de Luna PAZAN,Colombia,1
54,Mina MARKOVIC,Slovenia,1
55,Alison STEWART-PATTERSON,Canada,1
56,Grace MCKEEHAN,United States of America,1
57,Asja GOLLO,Italy,1
58,Tamara KUZNETSOVA,Kazakhstan,1
59,Levgeniia KAZBEKOVA,Ukraine,1
60,Tina johnsen HAFSAAS,Norway,1
61,Alex PUCCIO,United States of America,1
62,Katja KADIC,Slovenia,1
63,Anna TSYGANOVA,Russia,1
64,Chloe CAULIER,Belgium,1
65,Ekaterina KIPRIIANOVA,Russia,1
66,Manon HILY,France,1
67,Alma BESTVATER,Germany,1
68,Martina ZANETTI,Italy,1
69,Celine CUYPERS,Belgium,1
70,Heloïse DOUMONT,Belgium,1
71,Margo HAYES,United States of America,1
72,Jennifer WOOD,United Kingdom,1
73,Stasa GEJO,Serbia,1
74,Urska REPUSIC,Slovenia,1
75,Laura STÖCKLER,Austria,1
76,Iuliia PANTELEEVA,Russia,1
77,Ida KUPS,Poland,1
78,Francis GUILLEN,Venezuela (Bolivarian Republic of),1
79,Leslie ROMERO,Venezuela (Bolivarian Republic of),1
80,Naama YOHAI,Israel,1
81,Babette ROY,Canada,1
82,Muykuay SILVA,Chile,1
83,Jeongran KO,Republic of Korea,1
84,Luana RISCADO,Brazil,1
85,Erica GATLAND,New Zealand,1
86,Camila MACEDO,Brazil,1
87,Alejandra INZUNZA,Chile,1
88,Youjin CHA,Republic of Korea,1
89,Patrícia ANTUNES,Brazil,1
90,Lucy WHITEHEAD,New Zealand,1
91,Antonia VALENZUELA,Chile,1
92,Yiling SONG,China,1
93,Alex JOHNSON,United States of America,1
94,Shauna COXSEY,United Kingdom,1
95,Rong JIANG,China,1
96,Puntarika TUNYAVANICH,Thailand,1
97,Fanny GIBERT,France,1
98,Julia CHANOURDIE,France,1
99,Andrea ROJAS,Ecuador,1
100,Yuetong ZHANG,China,1
101,Assel MARLENOVA,Kazakhstan,1
102,Elena KRASOVSKAYA,Russia,1
103,Laura ROGORA,Italy,1
104,Viktoriia MESHKOVA,Russia,1
105,Lucka RAKOVEC,Slovenia,1
106,Joanna NEAME,United Kingdom,1
107,Sofya YOKOYAMA,Switzerland,1
108,Futaba ITO,Japan,1
109,Lan KIM,Republic of Korea,1
110,Nanako KURA,Japan,1
111,Afra HÖNIG,Germany,1
112,Valentina AGUADO,Argentina,1
113,Chaehyun SEO,Republic of Korea,1
114,Ai MORI,Japan,1
115,Natalia GROSSMAN,United States of America,1
116,Sienna KOPF,United States of America,1
117,Prateeksha ARUN,India,1
118,Bianca DE MAGALHAES DE CASTRO,Brazil,1
119,Arantza FERNÁNDEZ GUTIERREZ,Mexico,1
120,RACHELLE DE CHARMOY,South Africa,1
121,Wai-ping YU,"China, Hong Kong Special Administrative Region",1
122,Arantza LUNA VELASCO,Mexico,1
123,Jayati GADAMSHETTY,India,1
124,María Fernanda GONZÁLEZ RÁMIREZ,Mexico,1
125,Valeria MACIAS FERREIRA,Mexico,1
126,Jennifer Marie DE LA TORRE,Mexico,1
127,Dhanshri LEKURWALA,India,1
128,Sarah TETZLAFF,New Zealand,1
129,Hung Ying LEE,Taiwan,1
130,Lucinda ann STIRLING,Australia,1
131,Siddhi shekhar MANERIKAR,India,1
132,Tetiana KOLKOTINA,Ukraine,1
133,Hannah MEUL,Germany,1
134,Nika POTAPOVA,Ukraine,1
135,Mahya DARABIAN,Iran (Islamic Republic of),1
136,Roxana WIENAND,Germany,1
