Athlete,Country,NumWChamps
Sean MCCOLL,Canada,5
Jan HOJER,Germany,4
Gaurav KUMAR,India,3
Yannick FLOHÉ,Germany,3
Carlos GRANJA,Ecuador,3
Hanwool KIM,Republic of Korea,3
Artyom DEVYATERIKOV,Kazakhstan,3
Hannes PUMAN,Sweden,3
Manuel CORNU,France,3
Domen SKOFIC,Slovenia,3
Fedir SAMOILOV,Ukraine,2
Nickolaie RIVADENEIRA,Ecuador,2
Marco antonio JUBES ANGARITA,Spain,2
Seungwoon CHO,Republic of Korea,2
Stefano GHISOLFI,Italy,2
Thomas TAUPORN,Germany,2
Javier CANO BLAZQUEZ,Spain,2
Mikel Asier LINACISORO MOLINA,Spain,2
Cheung-Chi Shoji CHAN,"China, Hong Kong Special Administrative Region",2
Or MINIELY,Israel,2
Yufei PAN,China,2
Nicolas COLLIN,Belgium,2
Cesar GROSSO,Brazil,2
Calrin CURTIS,South Africa,2
Rishat KHAIBULLIN,Kazakhstan,2
Alexander MEGOS,Germany,2
Meichi NARASAKI,Japan,2
Loïc TIMMERMANS,Belgium,2
Kokoro FUJII,Japan,2
Ram LEVIN,Israel,2
John BROSLER,United States of America,2
Michael PICCOLRUAZ,Italy,2
Adam ONDRA,Czechia,2
Sascha LEHMANN,Switzerland,2
Mickael MAWEM,France,2
Rudolph RUANA,United States of America,2
Nathaniel COLEMAN,United States of America,2
Marcin DZIENSKI,Poland,2
Chingkheinganba MAIBAM,India,2
Jernej KRUDER,Slovenia,2
Yuval SHEMLA,Israel,2
Jason HOLOWACH,Canada,2
Yarden PILPEL,Israel,2
Alex KHAZANOV,Israel,2
Danny VALENCIA,Ecuador,2
William RIDAL,United Kingdom,2
Jongwon CHON,Republic of Korea,2
Kai HARADA,Japan,2
Felipe HO FOGANHOLO,Brazil,2
Marcello BOMBARDI,Italy,2
Nimrod MARCUS,Israel,2
George SANDERS,New Zealand,2
Bassa MAWEM,France,2
Ludovico FOSSALI,Italy,2
Tomoa NARASAKI,Japan,2
Jakob SCHUBERT,Austria,2
William BOSI,United Kingdom,2
Santiago GARCIA,Argentina,2
Chia Hsiang LIN,Taiwan,1
Philipp MARTIN,Germany,1
Joshua BRUYNS,South Africa,1
Kostiantyn PAVLENKO,Ukraine,1
Sergii TOPISHKO,Ukraine,1
Ferhat BEKMEZ,Turkey,1
Ti̇mur TAŞ,Turkey,1
Yaroslav TKACH,Ukraine,1
Aaron PEÑARANDA,Ecuador,1
Ilham ISRAFILOV,Azerbaijan,1
Klemen BECAN,Slovenia,1
Babek IBADOV,Azerbaijan,1
Cingiz TAGIZADE,Azerbaijan,1
Andres QUINTEROS,Ecuador,1
Shane PUCCIO,United States of America,1
Cédric LACHAT,Switzerland,1
Aspar JAELOLO,Indonesia,1
Stephane HANSSENS,Belgium,1
David FIRNENBURG,Germany,1
Elan JONASMCRAE,Canada,1
Roland RUGENS,Latvia,1
Eric LOPEZ MATEOS,Spain,1
David BARRANS,United Kingdom,1
James POPE,United Kingdom,1
Pan YUFEI,China,1
Or WECHSLER,Israel,1
Pedro ferreira NICOLOSO,Brazil,1
Ka-chun YAU,"China, Hong Kong Special Administrative Region",1
Dimitri VOGT,Switzerland,1
Gholamali BARATZADEH,Iran (Islamic Republic of),1
Yongsu LEE,Republic of Korea,1
Jean OURIQUES,Brazil,1
Ronny ESCOBAR,Chile,1
Isaac ESTEVEZ,Ecuador,1
Hualong SONG,China,1
Matthaios VALSAMIDIS,Greece,1
Donghyun JANG,Republic of Korea,1
Minyoung LEE,Republic of Korea,1
Benjamin AYALA,Chile,1
Maciej DOBRZANSKI,Poland,1
Georg PARMA,Austria,1
Simon LORENZI,Belgium,1
Luka POTOCAR,Slovenia,1
Galo HERNANDEZ,Ecuador,1
Sungbo SEO,Republic of Korea,1
Bharath PEREIRA,India,1
Orfeas TSIAOUSIS,Greece,1
Peter KURIC,Slovakia,1
Lucas UCHIDA,Canada,1
Jonatan FLOR VAZQUEZ,Spain,1
Yoshiyuki OGATA,Japan,1
Semen OVCHINNIKOV,Russia,1
Borja FARAH,Chile,1
Oleksii KRYNETSKYI,Ukraine,1
Aleksei RUBTSOV,Russia,1
Tomoaki TAKATA,Japan,1
Giga JANKHOTELI,Georgia,1
Rei SUGIMOTO,Japan,1
Pedro BELLO,Chile,1
Qixin ZHONG,China,1
Joe GOODACRE,United States of America,1
Dohyun LEE,Republic of Korea,1
Nikolai IARILOVETS,Russia,1
Emmanuel ESTRADA DE ARTOLA,Mexico,1
Sean BAILEY,United States of America,1
Ben ABEL,Australia,1
Winai RUANGRIT,Thailand,1
Tim REUSER,Netherlands,1
Anze PEHARC,Slovenia,1
Jan KRIZ,Czechia,1
Chi-fung AU,"China, Hong Kong Special Administrative Region",1
Thomas WALDIN,New Zealand,1
Sahil KHAN,India,1
Emilio VALDEZ GARDUÑO,Mexico,1
Keita DOHI,Japan,1
Martin STRANIK,Czechia,1
Singh ADARSH,India,1
Davoud REKABI,Iran (Islamic Republic of),1
Romain DESGRANGES,France,1
Sam LAVENDER,Australia,1
Long CAO,China,1
Jabee KIM,Republic of Korea,1
Javier Iván MOLINA FRANCO,Mexico,1
Zach GALLA,United States of America,1
Jakub KONECNY,Czechia,1
Hritik MARNE,India,1
Aleksandr SHIKOV,Russia,1
Campbell HARRISON,Australia,1
Alberto GINÉS LÓPEZ,Spain,1
Sirapob JIRAJATURAPAK,Thailand,1
Danyil BOLDYREV,Ukraine,1
Magnus MIDTBOE,Norway,1
Anghelo BERNAL,Colombia,1
Alban LEVIER,France,1
