,Athlete,Country,NumWChamps
1,Jain KIM,Republic of Korea,11
2,Muriel SARKANY,Belgium,9
3,Venera CHERESHNEVA,Russia,8
4,Barbara BACHER,Austria,8
5,Jenny LAVARDA,Italy,8
6,Mina MARKOVIC,Slovenia,8
7,Hélène JANICOT,France,7
8,Tina johnsen HAFSAAS,Norway,7
9,Ievgeniia KAZBEKOVA,Ukraine,7
10,Marietta UHDEN,Germany,7
11,Alexandra EYER,Switzerland,7
12,Maja VIDMAR,Slovenia,7
13,Yuka KOBAYASHI,Japan,7
14,Janine CARDOSO,Brazil,7
15,Christine SCHRANZ,Austria,7
16,Jessica PILZ,Austria,6
17,Puntarika TUNYAVANICH,Thailand,6
18,Elnaz REKABI,Iran (Islamic Republic of),6
19,Andrea ROJAS,Ecuador,6
20,Dinara FAKHRITDINOVA,Russia,6
21,Luisa IOVANE,Italy,6
22,Martina CUFAR,Slovenia,6
23,Angela EITER,Austria,6
24,Olena KRYVONIS,Ukraine,6
25,Katharina POSCH,Austria,6
26,Katherine CHOONG,Switzerland,6
27,Yana CHERESHNEVA,Russia,6
28,Evgeniia MALAMID,Russia,6
29,Charlotte DURIF,France,6
30,Akiyo NOGUCHI,Japan,6
31,Mia KRAMPL,Slovenia,5
32,Margarita AGAMBAYEVA,Kazakhstan,5
33,Laura ROGORA,Italy,5
34,Alejandra CONTRERAS,Chile,5
35,Janja GARNBRET,Slovenia,5
36,Molly THOMPSON-SMITH,United Kingdom,5
37,Valeri KREMER,Israel,5
38,Elena OVTCHINNIKOVA,United States of America,5
39,Bettina SCHÖPF,Austria,5
40,Olena OSTAPENKO,Ukraine,5
41,Olga SHALAGINA,Ukraine,5
42,Caroline CIAVALDINI,France,5
43,Natalija GROS,Slovenia,5
44,Tamara KUZNETSOVA,Kazakhstan,5
45,Delaney MILLER,United States of America,5
46,Anak VERHOEVEN,Belgium,5
47,Nikki VAN BERGEN,Netherlands,5
48,Chaehyun SEO,Republic of Korea,4
49,Valentina AGUADO,Argentina,4
50,Lucka RAKOVEC,Slovenia,4
51,Alannah YIP,Canada,4
52,Brooke RABOUTOU,United States of America,4
53,Anne-sophie KOLLER,Switzerland,4
54,Kyra CONDIE,United States of America,4
55,Hung Ying LEE,Taiwan,4
56,Eliska ADAMOVSKA,Czechia,4
57,Vita LUKAN,Slovenia,4
58,Mi-sun GO,Republic of Korea,4
59,Kim ANTHONI,Belgium,4
60,Mirjam VERBEEK,Netherlands,4
61,Barbara STRANSKA,Czechia,4
62,Renata PISZCZEK,Poland,4
63,Liv SANSOZ,France,4
64,Metka LUKANCIC,Slovenia,4
65,Linn karin STENDAL,Norway,4
66,Damaris KNORR,Germany,4
67,Emily HARRINGTON,United States of America,4
68,Chloé MINORET,France,4
69,Sandrine LEVET,France,4
70,Gerda RAFFETSEDER,Austria,4
71,Emma HAWKE,New Zealand,4
72,Ingela NILSSON,Sweden,4
73,Iwona GRONKIEWICZ-MARCISZ,Poland,4
74,Galina TERENTEVA,Russia,4
75,Seuran HAN,Republic of Korea,4
76,Petra KLINGLER,Switzerland,4
77,Magdalena RÖCK,Austria,4
78,Lamu RENQING,China,4
79,Aliya ISKAKOVA,Kazakhstan,4
80,Mei KOTAKE,Japan,3
81,Ryu NAKAGAWA,Japan,3
82,Manon HILY,France,3
83,Lynn VAN DER MEER,Netherlands,3
84,Julia FISER,Austria,3
85,Aleksandra TOTKOVA,Bulgaria,3
86,Prateeksha ARUN,India,3
87,Ayala KEREM,Israel,3
88,Heloïse DOUMONT,Belgium,3
89,Michaela SMETANOVA,Czechia,3
90,Oceania MACKENZIE,Australia,3
91,Chloe CAULIER,Belgium,3
92,Natalia GROSSMAN,United States of America,3
93,Michelle HULLIGER,Switzerland,3
94,Rebecca FRANGOS,Canada,3
95,Miho NONAKA,Japan,3
96,Bianca DE MAGALHAES DE CASTRO,Brazil,3
97,Tamara ULZHABAYEVA,Kazakhstan,3
98,Salomé ROMAIN,France,3
99,Andrea KÜMIN,Switzerland,3
100,Viktoriia MESHKOVA,Russia,3
101,Stéphanie BODET,France,3
102,Cecile AVEZOU,France,3
103,Olga BIBIK,Russia,3
104,Mihaela CRACIUN-PANTIS,Romania,3
105,Natalie RICHER,France,3
106,Karin KAVOUSSI,Austria,3
107,Felicity BUTLER,United Kingdom,3
108,Josune BERECIARTU URRUZOLA,Spain,3
109,Robyn ERBESFIELD,United States of America,3
110,Annatina SCHULTZ,Switzerland,3
111,Yulia INOZEMTSEVA,Russia,3
112,Nataliya PERLOVA,Ukraine,3
113,Laurence GUYON,France,3
114,Natalia NOVIKOVA,Russia,3
115,Rie KIMURA,Japan,3
116,Monica ZEILEMAKER,Netherlands,3
117,Lucka FRANKO,Slovenia,3
118,Stéphanie LOUIS,Switzerland,3
119,Yuko SAKAKIBARA,Japan,3
120,Lisa BENETTI,Italy,3
121,Andrea brigitta SZEKELY,Hungary,3
122,Xuhua PAN,China,3
123,Johanna ERNST,Austria,3
124,Hannah MIDTBOE,Norway,3
125,Julia SERRIÈRE,France,3
126,Carolina ROSERO,Ecuador,3
127,Rebekka STOTZ,Switzerland,3
128,Julia CHANOURDIE,France,3
129,Hiu ying LIU,"China, Hong Kong Special Administrative Region",3
130,Thais makino SHIRAIWA,Brazil,3
131,Christina SCHMID,Switzerland,3
132,Kimie KON,Portugal,3
133,Sol SA,Republic of Korea,3
134,Lucinda ann STIRLING,Australia,3
135,Tjasa KALAN,Slovenia,3
136,Elena KRASOVSKAYA,Russia,3
137,Roxy PERRY,Australia,3
138,Iuliia PANTELEEVA,Russia,3
139,Chloé GRAFTIAUX,Belgium,3
140,Sarah MATTHEWS,Australia,3
141,Iva VEJMOLOVA,Czechia,3
142,Irati ANDA VILLANUEVA,Spain,3
143,Tereza SIRUCKOVA,Czechia,2
144,Yuetong ZHANG,China,2
145,Mattea PÖTZI,Austria,2
146,Elizabeth SEPULVEDA,Puerto Rico,2
147,Elizabeth SEPULVEDA,United States of America,2
148,Sarina GHAFFARI,Iran (Islamic Republic of),2
149,Erin MCNEICE,United Kingdom,2
150,Sukma LINTANG CAHYANI,Indonesia,2
151,Ema GALEOVA,Czechia,2
152,Annie SANDERS,United States of America,2
153,Anastasiia KOBETS,Ukraine,2
154,Zhilu LUO,China,2
155,Natsuki TANII,Japan,2
156,Melissa Esther CHEN CHEN,Peru,2
157,Zélia AVEZOU,France,2
158,Chaeyeong KIM,Republic of Korea,2
159,Lucija TARKUS,Slovenia,2
160,Ilaria SCOLARIS,Italy,2
161,Iziar MARTÍNEZ ALMENDROS,Spain,2
162,Marketa JANOSOVA,Czechia,2
163,Nika POTAPOVA,Ukraine,2
164,Stasa GEJO,Serbia,2
165,Hannah MEUL,Germany,2
166,Arantza LUNA VELASCO,Mexico,2
167,Ignacia MELLADO QUINTEROS,Chile,2
168,Maya DREAMER,Israel,2
169,Muykuay SILVA,Chile,2
170,Babette ROY,Canada,2
171,Arantza FERNÁNDEZ GUTIERREZ,Mexico,2
172,Martina DEMMEL,Germany,2
173,Claudia GHISOLFI,Italy,2
174,Ai MORI,Japan,2
175,Camilla MORONI,Italy,2
176,Noa SHIRAN,Israel,2
177,Kylie CULLEN,United States of America,2
178,Olesya PROSEKOVA,Russia,2
179,Eva Maria HAMMELMÜLLER,Austria,2
180,Margaryta ZAKHAROVA,Ukraine,2
181,Yael TAUB,Israel,2
182,Hsiu-ju LIN,Taiwan,2
183,Patrícia ANTUNES,Brazil,2
184,Nolwenn ARC,France,2
185,Rika FURUTA,Japan,2
186,Urszula WROBEL,Poland,2
187,Raffaella VALSECCHI,Italy,2
188,Marie GUILLET,France,2
189,Tamara SCHLEMMER,Germany,2
190,Ruth JENKINS,United Kingdom,2
191,Elena CHOUMILOVA,Russia,2
192,Mia AXON,United States of America,2
193,Anne ARRAN,United Kingdom,2
194,Irene STEINDL,Austria,2
195,Zuzana CINTALOVA,Slovakia,2
196,Rottem JACOBS,Israel,2
197,Tomoko MADATE,Japan,2
198,Sona HNIZDILOVA,Czechia,2
199,Elizabeth ASHER,United States of America,2
200,Olga IAKOVLEVA,Russia,2
201,Janina KÄYHKÖ,Finland,2
202,Katarina CINTALOVA,Slovakia,2
203,Susi GOOD,Switzerland,2
204,Nanette RAYBAUD,France,2
205,Andrea EISENHUT,Germany,2
206,Isabelle DORSIMOND,Belgium,2
207,Gunda FRÜHWALD,Germany,2
208,Isabelle PATISSIER,France,2
209,Helene belle LASZLO,Norway,2
210,Jenny FÖRANDER,Sweden,2
211,Abigail MAY,United Kingdom,2
212,Katrin SEDLMAYER,Germany,2
213,Hoshiko NAGAKAI,Japan,2
214,Isabelle BIHR,France,2
215,Lenka TRNKOVA,Czechia,2
216,Susanne ETTER,Switzerland,2
217,Berta MARTIN SANCHO,Spain,2
218,Nastja GUZZI,Slovenia,2
219,Eva TUSAR,Slovenia,2
220,Akiko WATAHIKI,Japan,2
221,Irina ROUIGA,Russia,2
222,Jitka KUHNGABEROVA,Czechia,2
223,Katarina STREMFELJ,Slovenia,2
224,Michaela KIERSCH,United States of America,2
225,Matilda SÖDERLUND,Sweden,2
226,Tereza SVOBODOVA,Czechia,2
227,Momoka ODA,Japan,2
228,Marcela AVELLANEDA,Colombia,2
229,Tamara ZULIM,Croatia,2
