Athlete,Country,NumWChamps
Evgeny OVCHINNIKOV,Russia,10
Ramón JULIAN PUIGBLANQUE,Spain,10
Jakob SCHUBERT,Austria,9
Sean MCCOLL,Canada,9
Stefano GHISOLFI,Italy,8
Adam ONDRA,Czechia,8
Jorg VERHOEVEN,Netherlands,8
Evgenii ZAZULIN,Russia,8
Igor GUSAK,Ukraine,8
Marcello BOMBARDI,Italy,7
Artyom DEVYATERIKOV,Kazakhstan,7
Domen SKOFIC,Slovenia,7
Luca ZARDINI,Italy,7
François LEGRAND,France,7
Serik KAZBEKOV,Ukraine,7
Yuji HIRAYAMA,Japan,7
Cédric LACHAT,Switzerland,7
Christian BINDHAMMER,Germany,7
Romain DESGRANGES,France,7
Mikhail CHERNIKOV,Russia,7
Valeriy KRYUKOV,Ukraine,7
François PETIT,France,6
Kalin GARBOV,Bulgaria,6
Luca GIUPPONI,Italy,6
Yevgen KRYVOSHEYTSEV,Ukraine,6
Magnus HÖGSTRÖM,Sweden,6
Patxi USOBIAGA LAKUNZA,Spain,6
Maksym PETRENKO,Ukraine,6
Matej SOVA,Slovenia,6
Jabee KIM,Republic of Korea,6
Klemen BECAN,Slovenia,6
Andreas BINDHAMMER,Germany,6
Sangwon SON,Republic of Korea,6
Magnus MIDTBOE,Norway,6
Sascha LEHMANN,Switzerland,5
Campbell HARRISON,Australia,5
Nicolas COLLIN,Belgium,5
Martin STRANIK,Czechia,5
Yuval SHEMLA,Israel,5
Jan HOJER,Germany,5
Hyunbin MIN,Republic of Korea,5
Marek HAVLIK,Czechia,5
Salavat RAKHMETOV,Russia,5
Aljosa GROM,Slovenia,5
Tomás MRÁZEK,Czechia,5
David CAUDE,France,5
Flavio CRESPI,Italy,5
Mykhaylo SHALAGIN,Ukraine,5
Hidekazu ITO,Japan,5
Alexandre CHABOT,France,5
Jürgen REIS,Austria,5
David BARRANS,United Kingdom,5
Tomas BINTER,Czechia,5
Manuel ROMAIN,France,5
Kazuma WATANABE,Japan,5
Sachi AMMA,Japan,5
Max RUDIGIER,Austria,5
Jihwan PARK,Republic of Korea,5
Cesar GROSSO,Brazil,5
Meichi NARASAKI,Japan,4
Mickael MAWEM,France,4
Alex KHAZANOV,Israel,4
Yannick FLOHÉ,Germany,4
Hannes PUMAN,Sweden,4
Jongwon CHON,Republic of Korea,4
Manuel CORNU,France,4
Felipe HO FOGANHOLO,Brazil,4
James POPE,United Kingdom,4
Santiago DE ALBA FLORES,Mexico,4
Luka POTOCAR,Slovenia,4
Mikel Asier LINACISORO MOLINA,Spain,4
