,Athlete,Country,NumWChamps
1,Marcin DZIENSKI,Poland,9
2,Qixin ZHONG,China,8
3,Danyil BOLDYREV,Ukraine,8
4,Amir MAIMURATOV,Kazakhstan,8
5,Tomasz OLEKSY,Poland,8
6,Csaba KOMONDI,Hungary,8
7,Maksym STYENKOVYY,Ukraine,7
8,Artyom DEVYATERIKOV,Kazakhstan,7
9,Libor HROZA,Czechia,7
10,Stanislav KOKORIN,Russia,7
11,Reza ALIPOUR SHENAZANDIFARD,Iran (Islamic Republic of),7
12,Sean MCCOLL,Canada,6
13,Bassa MAWEM,France,6
14,Dmitrii TIMOFEEV,Russia,6
15,Rishat KHAIBULLIN,Kazakhstan,6
16,John BROSLER,United States of America,6
17,Gian Luca ZODDA,Italy,6
18,Ludovico FOSSALI,Italy,6
19,Yevgen KRYVOSHEYTSEV,Ukraine,6
20,Sergei SINITCYN,Russia,6
21,Evgenii VAITSEKHOVSKII,Russia,6
22,Isaac ESTEVEZ,Ecuador,6
23,Leonardo GONTERO,Italy,5
24,Guillaume MORO,France,5
25,Aleksandr SHIKOV,Russia,5
26,Jan KRIZ,Czechia,5
27,Kostiantyn PAVLENKO,Ukraine,5
28,Vladimir NETSVETAEV-DOLGALEV,Russia,5
29,Andrey VEDENMEER,Ukraine,5
30,Lukasz SWIRK,Poland,5
31,Kalin GARBOV,Bulgaria,4
32,Iakov SOUBBOTINE,Russia,4
33,Cédric LACHAT,Switzerland,4
34,Manuel ESCOBAR,Venezuela (Bolivarian Republic of),4
35,Alexandr NIGMATULIN,Kazakhstan,4
36,Marco antonio JUBES ANGARITA,Spain,4
37,Rolands RUGENS,Latvia,4
38,Carlos GRANJA,Ecuador,4
39,Yaroslav TKACH,Ukraine,4
40,Sirapob JIRAJATURAPAK,Thailand,4
41,Jan HOJER,Germany,4
42,Petr BURIAN,Czechia,4
43,Hanwool KIM,Republic of Korea,3
44,Domen SKOFIC,Slovenia,3
45,Alessandro SANTONI,Italy,3
46,Hannes PUMAN,Sweden,3
47,Penghui LIN,China,3
48,Manuel CORNU,France,3
49,Yufei PAN,China,3
50,Gaurav KUMAR,India,3
51,Vladislav DEULIN,Russia,3
52,Phanuphong BUNPRAKOP,Thailand,3
53,Chi-wai LAI,"China, Hong Kong Special Administrative Region",3
54,Nikita DEVYATERIKOV,Kazakhstan,3
55,Alexey MOLCHANOV,Kazakhstan,3
56,Jernej KRUDER,Slovenia,3
57,Jedrzej KOMOSINSKI,Poland,3
58,Sergey ABDRAKHMANOV,Russia,3
59,Thomas TAUPORN,Germany,3
60,Adam ONDRA,Czechia,3
61,Stefano GHISOLFI,Italy,3
62,Yaroslav GONTARYK,Ukraine,3
63,Kairat RAKHMETOV,Kazakhstan,3
64,Hans FLORINE,United States of America,3
65,Oleg TCHERECHNEV,Russia,3
66,Johan MUS,Belgium,3
67,Ionel ENE,Romania,3
68,Milen VIDENOVSKI,Bulgaria,3
69,Neil CARSON,United Kingdom,3
70,Daniel ANDRADA JIMENEZ,Spain,3
71,Vladimir ZAKHAROV,Ukraine,3
72,Mathieu DUTRAY,France,3
73,Gareth PARRY,United Kingdom,3
74,Alexei GADEEV,Russia,3
75,Alexandre CHAOULSKY,Russia,3
76,Alexander PESHEKHONOV,Russia,3
77,Ivan SHYSHKOVSKYY,Ukraine,3
