,Athlete,Country,NumWChamps
1,Jain KIM,Republic of Korea,26
2,Ievgeniia KAZBEKOVA,Ukraine,22
3,Petra KLINGLER,Switzerland,21
4,Barbara BACHER,Austria,20
5,Akiyo NOGUCHI,Japan,19
6,Jenny LAVARDA,Italy,18
7,Andrea ROJAS,Ecuador,18
8,Jessica PILZ,Austria,17
9,Kyra CONDIE,United States of America,16
10,Hung Ying LEE,Taiwan,16
11,Mia KRAMPL,Slovenia,16
12,Alejandra CONTRERAS,Chile,15
13,Margarita AGAMBAYEVA,Kazakhstan,15
14,Valeri KREMER,Israel,15
15,Elnaz REKABI,Iran (Islamic Republic of),15
16,Tina johnsen HAFSAAS,Norway,15
17,Mina MARKOVIC,Slovenia,15
18,Tamara KUZNETSOVA,Kazakhstan,15
19,Alannah YIP,Canada,15
20,Janja GARNBRET,Slovenia,14
21,Puntarika TUNYAVANICH,Thailand,14
22,Tamara ULZHABAYEVA,Kazakhstan,14
23,Aleksandra MIROSLAW,Poland,14
24,Miho NONAKA,Japan,14
25,Chloe CAULIER,Belgium,13
26,Vita LUKAN,Slovenia,13
27,Brooke RABOUTOU,United States of America,13
28,Olga BIBIK,Russia,13
29,Alexandra EYER,Switzerland,13
30,Patrycja CHUDZIAK,Poland,13
31,Anna BROZEK,Poland,13
32,Andrea KÜMIN,Switzerland,12
33,Venera CHERESHNEVA,Russia,12
34,Nataliya PERLOVA,Ukraine,12
35,Delaney MILLER,United States of America,12
36,Thais makino SHIRAIWA,Brazil,12
37,Anouck JAUBERT,France,12
38,Oceania MACKENZIE,Australia,12
39,Olga SHALAGINA,Ukraine,12
40,Edyta ROPEK,Poland,12
41,Yana CHERESHNEVA,Russia,12
42,Charlotte DURIF,France,12
43,Sol SA,Republic of Korea,11
44,Margaryta ZAKHAROVA,Ukraine,11
45,Renata PISZCZEK,Poland,11
46,Aliya ISKAKOVA,Kazakhstan,11
47,Rebecca FRANGOS,Canada,11
48,Natalia KALUCKA,Poland,11
49,Valentina AGUADO,Argentina,11
50,Chaehyun SEO,Republic of Korea,11
51,Aleksandra KALUCKA,Poland,10
52,Laura ROGORA,Italy,10
53,Elena KRASOVSKAYA,Russia,10
54,Anne-sophie KOLLER,Switzerland,10
55,Stasa GEJO,Serbia,10
56,Dinara FAKHRITDINOVA,Russia,10
57,Natalija GROS,Slovenia,10
58,Vera ZIJLSTRA,Netherlands,10
59,Katharina SAURWEIN,Austria,10
60,Maja VIDMAR,Slovenia,9
61,Janine CARDOSO,Brazil,9
62,Rebekka STOTZ,Switzerland,9
63,Anna TSYGANOVA,Russia,9
64,Di NIU,China,9
65,Mei KOTAKE,Japan,9
66,Sandra LETTNER,Austria,9
67,Assel MARLENOVA,Kazakhstan,9
68,Natalia GROSSMAN,United States of America,9
69,Hélène JANICOT,France,9
70,Muriel SARKANY,Belgium,9
71,Cecile AVEZOU,France,9
72,Marietta UHDEN,Germany,8
73,Tatiana RUYGA,Russia,8
74,Kim ANTHONI,Belgium,8
75,Olena RYEPKO,Ukraine,8
76,Sandrine LEVET,France,8
77,Carolina ROSERO,Ecuador,8
78,Fanny GIBERT,France,8
79,Alma BESTVATER,Germany,8
80,Yulia ABRAMCHUK,Russia,8
81,Emma HAWKE,New Zealand,8
82,Olena OSTAPENKO,Ukraine,8
83,Andrea EBNER,Italy,8
84,Claire BUHRFEIND,United States of America,8
85,Molly THOMPSON-SMITH,United Kingdom,8
86,Lucinda ann STIRLING,Australia,8
87,Sofya YOKOYAMA,Switzerland,8
88,Anna STÖHR,Austria,8
89,Hannah MIDTBOE,Norway,8
90,Xuhua PAN,China,8
91,Lamu RENQING,China,8
92,Alex JOHNSON,United States of America,8
93,Manon HILY,France,8
94,Tiffany MELIUS,Australia,8
95,Ashima SHIRAISHI,United States of America,8
96,Lucka RAKOVEC,Slovenia,8
97,Eliska ADAMOVSKA,Czechia,8
98,Bianca DE MAGALHAES DE CASTRO,Brazil,8
99,Arantza FERNÁNDEZ GUTIERREZ,Mexico,8
100,Tetiana KOLKOTINA,Ukraine,7
101,Babette ROY,Canada,7
102,Muykuay SILVA,Chile,7
103,Prateeksha ARUN,India,7
104,Afra HÖNIG,Germany,7
105,Ai MORI,Japan,7
106,Arantza LUNA VELASCO,Mexico,7
107,Hannah MEUL,Germany,7
108,Nika POTAPOVA,Ukraine,7
109,Angela EITER,Austria,7
110,Kseniia ALEKSEEVA,Russia,7
111,Yuka KOBAYASHI,Japan,7
112,Olena KRYVONIS,Ukraine,7
113,Martina CUFAR,Slovenia,7
114,Alex PUCCIO,United States of America,7
115,Ekaterina KIPRIIANOVA,Russia,7
116,Lucelia BLANCO,Venezuela (Bolivarian Republic of),7
117,Juliane WURM,Germany,7
118,Christine SCHRANZ,Austria,7
119,Viktoriia MESHKOVA,Russia,7
120,Iuliia PANTELEEVA,Russia,7
121,Yael TAUB,Israel,7
122,Ayala KEREM,Israel,7
123,Ryu NAKAGAWA,Japan,6
124,Maya DREAMER,Israel,6
125,Camilla MORONI,Italy,6
126,Luisa IOVANE,Italy,6
127,Iwona GRONKIEWICZ-MARCISZ,Poland,6
128,Hiu ying LIU,"China, Hong Kong Special Administrative Region",6
129,Patrícia ANTUNES,Brazil,6
130,Yuetong ZHANG,China,6
131,Futaba ITO,Japan,6
132,Sarah TETZLAFF,New Zealand,6
133,Mahya DARABIAN,Iran (Islamic Republic of),6
134,Olga IAKOVLEVA,Russia,6
135,Olga BEZHKO,Ukraine,6
136,Emily HARRINGTON,United States of America,6
137,Sarah MATTHEWS,Australia,6
138,Kimie KON,Portugal,6
139,Chunhua LI,China,6
140,Evgeniia MALAMID,Russia,6
141,Paula MENDEZ,Guatemala,6
