,Athlete,Country,NumWChamps
1,Sean MCCOLL,Canada,30
2,Artyom DEVYATERIKOV,Kazakhstan,26
3,Jan HOJER,Germany,21
4,Adam ONDRA,Czechia,21
5,Jakob SCHUBERT,Austria,19
6,Martin STRANIK,Czechia,18
7,Stefano GHISOLFI,Italy,18
8,Cédric LACHAT,Switzerland,17
9,Domen SKOFIC,Slovenia,16
10,Hannes PUMAN,Sweden,16
11,Manuel CORNU,France,16
12,Nicolas COLLIN,Belgium,16
13,Yufei PAN,China,16
14,Yannick FLOHÉ,Germany,16
15,Tomoa NARASAKI,Japan,16
16,Marcin DZIENSKI,Poland,15
17,Jongwon CHON,Republic of Korea,15
18,Alex KHAZANOV,Israel,15
19,Sascha LEHMANN,Switzerland,15
20,Jernej KRUDER,Slovenia,15
21,Marcello BOMBARDI,Italy,15
22,Jabee KIM,Republic of Korea,15
23,Klemen BECAN,Slovenia,14
24,Jorg VERHOEVEN,Netherlands,14
25,John BROSLER,United States of America,14
26,Campbell HARRISON,Australia,14
27,Mickael MAWEM,France,14
28,Tomasz OLEKSY,Poland,14
29,Mykhaylo SHALAGIN,Ukraine,13
30,Yevgen KRYVOSHEYTSEV,Ukraine,13
31,Hanwool KIM,Republic of Korea,13
32,Kokoro FUJII,Japan,13
33,Michael PICCOLRUAZ,Italy,13
34,Magnus MIDTBOE,Norway,13
35,Cesar GROSSO,Brazil,13
36,Rishat KHAIBULLIN,Kazakhstan,13
37,Meichi NARASAKI,Japan,13
38,Yuval SHEMLA,Israel,13
39,Carlos GRANJA,Ecuador,13
40,Ram LEVIN,Israel,13
41,Felipe HO FOGANHOLO,Brazil,13
42,Mikel Asier LINACISORO MOLINA,Spain,13
43,Marco antonio JUBES ANGARITA,Spain,13
44,David BARRANS,United Kingdom,13
45,Rolands RUGENS,Latvia,13
46,Qixin ZHONG,China,12
47,Thomas TAUPORN,Germany,12
48,Bassa MAWEM,France,12
49,Isaac ESTEVEZ,Ecuador,12
50,Salavat RAKHMETOV,Russia,12
51,Serik KAZBEKOV,Ukraine,12
52,Kalin GARBOV,Bulgaria,12
53,Ludovico FOSSALI,Italy,12
54,Gaurav KUMAR,India,12
55,Nimrod MARCUS,Israel,12
56,Alexander MEGOS,Germany,11
57,Chingkheinganba MAIBAM,India,11
58,Anze PEHARC,Slovenia,11
59,Eric LOPEZ MATEOS,Spain,11
60,Gareth PARRY,United Kingdom,11
61,Sangwon SON,Republic of Korea,11
62,Danyil BOLDYREV,Ukraine,11
63,Gabriele MORONI,Italy,11
64,Yoshiyuki OGATA,Japan,11
65,Fedir SAMOILOV,Ukraine,10
66,Ka-Chun YAU,"China, Hong Kong Special Administrative Region",10
67,William BOSI,United Kingdom,10
68,Sean BAILEY,United States of America,10
69,Cheung-Chi Shoji CHAN,"China, Hong Kong Special Administrative Region",10
70,William RIDAL,United Kingdom,10
71,Luka POTOCAR,Slovenia,10
72,Ramón JULIAN PUIGBLANQUE,Spain,10
73,Kilian FISCHHUBER,Austria,10
74,Romain DESGRANGES,France,10
75,Valeriy KRYUKOV,Ukraine,10
76,Dmitrii SHARAFUTDINOV,Russia,10
77,Evgeny OVCHINNIKOV,Russia,10
78,Andrey VEDENMEER,Ukraine,10
79,Loïc TIMMERMANS,Belgium,10
80,Seungwoon CHO,Republic of Korea,9
81,Jason HOLOWACH,Canada,9
82,Javier CANO BLAZQUEZ,Spain,9
83,James POPE,United Kingdom,9
84,Benjamin AYALA,Chile,9
