Athlete,Country,NumWChamps
Sean MCCOLL,Canada,30
Artyom DEVYATERIKOV,Kazakhstan,26
Jan HOJER,Germany,21
Adam ONDRA,Czechia,20
Stefano GHISOLFI,Italy,18
Jakob SCHUBERT,Austria,18
Martin STRANIK,Czechia,17
Cédric LACHAT,Switzerland,17
Manuel CORNU,France,16
Domen SKOFIC,Slovenia,16
Jongwon CHON,Republic of Korea,15
Alex KHAZANOV,Israel,15
Yannick FLOHÉ,Germany,15
Hannes PUMAN,Sweden,15
Marcello BOMBARDI,Italy,15
Tomoa NARASAKI,Japan,15
Jernej KRUDER,Slovenia,15
Jabee KIM,Republic of Korea,15
Nicolas COLLIN,Belgium,14
Yufei PAN,China,14
Sascha LEHMANN,Switzerland,14
Mickael MAWEM,France,14
Marcin DZIENSKI,Poland,14
John BROSLER,United States of America,14
Jorg VERHOEVEN,Netherlands,14
Tomasz OLEKSY,Poland,14
Klemen BECAN,Slovenia,14
Mikel Asier LINACISORO MOLINA,Spain,13
Campbell HARRISON,Australia,13
Ram LEVIN,Israel,13
Yuval SHEMLA,Israel,13
Felipe HO FOGANHOLO,Brazil,13
Carlos GRANJA,Ecuador,13
Kokoro FUJII,Japan,13
Yevgen KRYVOSHEYTSEV,Ukraine,13
Mykhaylo SHALAGIN,Ukraine,13
Marco antonio JUBES ANGARITA,Spain,13
Magnus MIDTBOE,Norway,13
Rolands RUGENS,Latvia,13
David BARRANS,United Kingdom,13
Hanwool KIM,Republic of Korea,13
Cesar GROSSO,Brazil,13
Nimrod MARCUS,Israel,12
Meichi NARASAKI,Japan,12
Isaac ESTEVEZ,Ecuador,12
Bassa MAWEM,France,12
Rishat KHAIBULLIN,Kazakhstan,12
Gaurav KUMAR,India,12
Michael PICCOLRUAZ,Italy,12
Kalin GARBOV,Bulgaria,12
Salavat RAKHMETOV,Russia,12
Serik KAZBEKOV,Ukraine,12
Thomas TAUPORN,Germany,12
Qixin ZHONG,China,12
Yoshiyuki OGATA,Japan,11
Chingkheinganba MAIBAM,India,11
Alexander MEGOS,Germany,11
Gabriele MORONI,Italy,11
Ludovico FOSSALI,Italy,11
Danyil BOLDYREV,Ukraine,11
Sangwon SON,Republic of Korea,11
Gareth PARRY,United Kingdom,11
Eric LOPEZ MATEOS,Spain,11
Cheung-Chi Shoji CHAN,"China, Hong Kong Special Administrative Region",10
Anze PEHARC,Slovenia,10
Sean BAILEY,United States of America,10
Fedir SAMOILOV,Ukraine,10
William BOSI,United Kingdom,10
William RIDAL,United Kingdom,10
Andrey VEDENMEER,Ukraine,10
Evgeny OVCHINNIKOV,Russia,10
Ramón JULIAN PUIGBLANQUE,Spain,10
Kilian FISCHHUBER,Austria,10
Valeriy KRYUKOV,Ukraine,10
Dmitrii SHARAFUTDINOV,Russia,10
Romain DESGRANGES,France,10
Loïc TIMMERMANS,Belgium,10
Hritik MARNE,India,9
James POPE,United Kingdom,9
Simon LORENZI,Belgium,9
Luka POTOCAR,Slovenia,9
Benjamin AYALA,Chile,9
Evgenii ZAZULIN,Russia,9
Milen VIDENOVSKI,Bulgaria,9
Jason HOLOWACH,Canada,9
Mauricio HUERTA,Mexico,9
Manuel ESCOBAR,Venezuela (Bolivarian Republic of),9
Mikhail CHERNIKOV,Russia,9
Javier CANO BLAZQUEZ,Spain,9
Ka-chun YAU,"China, Hong Kong Special Administrative Region",9
Nathaniel COLEMAN,United States of America,9
Or MINIELY,Israel,8
George SANDERS,New Zealand,8
Kai HARADA,Japan,8
Danny VALENCIA,Ecuador,8
Calrin CURTIS,South Africa,8
Rudolph RUANA,United States of America,8
Santiago GARCIA,Argentina,8
Yarden PILPEL,Israel,8
Peter KURIC,Slovakia,8
Santiago DE ALBA FLORES,Mexico,8
Kostiantyn PAVLENKO,Ukraine,8
Jan KRIZ,Czechia,8
Sergii TOPISHKO,Ukraine,8
Nickolaie RIVADENEIRA,Ecuador,8
Aleksandr SHIKOV,Russia,8
Luca GIUPPONI,Italy,8
Igor GUSAK,Ukraine,8
Yuji HIRAYAMA,Japan,8
Wouter JONGENEELEN,Netherlands,8
André NERES,Portugal,8
Tomás MRÁZEK,Czechia,8
Magnus HÖGSTRÖM,Sweden,8
Christian BINDHAMMER,Germany,8
Csaba KOMONDI,Hungary,8
Gholamali BARATZADEH,Iran (Islamic Republic of),8
Rei SUGIMOTO,Japan,8
Sungbo SEO,Republic of Korea,8
Nicky DE LEEUW,Netherlands,8
Lucas PRETI,Italy,8
Jihwan PARK,Republic of Korea,8
Aleksei RUBTSOV,Russia,8
Seungwoon CHO,Republic of Korea,8
David ULLOA,Costa Rica,8
Jaha KIM,Republic of Korea,8
Alberto GINÉS LÓPEZ,Spain,7
Zach GALLA,United States of America,7
Dohyun LEE,Republic of Korea,7
Mykhayil TKACHUK,Ukraine,7
Amir MAIMURATOV,Kazakhstan,7
Tomoaki TAKATA,Japan,7
Ben ABEL,Australia,7
Kipras BALTRUNAS,Lithuania,7
Minyoung LEE,Republic of Korea,7
Luca ZARDINI,Italy,7
François LEGRAND,France,7
Kairat RAKHMETOV,Kazakhstan,7
Aljosa GROM,Slovenia,7
Andrzej MECHERZYNSKI-WIKTOR,Poland,7
Casper TEN SIJTHOFF,Netherlands,7
Patxi USOBIAGA LAKUNZA,Spain,7
Maksym PETRENKO,Ukraine,7
Ondrej SVUB,Slovakia,7
Matej SOVA,Slovenia,7
Christian CORE,Italy,7
Akito MATSUSHIMA,Japan,7
Maksym STYENKOVYY,Ukraine,7
Daniel ANDRADA JIMENEZ,Spain,7
Tsukuru HORI,Japan,7
Rustam GELMANOV,Russia,7
Pedro ferreira NICOLOSO,Brazil,7
Giorgi GABULDANI,Georgia,7
Andres QUINTEROS,Ecuador,7
Libor HROZA,Czechia,7
Stanislav KOKORIN,Russia,7
Kazuma WATANABE,Japan,7
Max RUDIGIER,Austria,7
Blagovest LAZAROV,Bulgaria,7
Stephane HANSSENS,Belgium,6
Ronny ESCOBAR,Chile,6
Chi-fung AU,"China, Hong Kong Special Administrative Region",6
Jakub KONECNY,Czechia,6
Tim REUSER,Netherlands,6
Chi-wai LAI,"China, Hong Kong Special Administrative Region",6
Lester JUÁREZ,Guatemala,6
Bálint KUCSERA,Hungary,6
Lucas UCHIDA,Canada,6
Viktor TRPOVSKI,The former Yugoslav Republic of Macedonia,6
Yaroslav TKACH,Ukraine,6
Sirapob JIRAJATURAPAK,Thailand,6
Reza ALIPOUR SHENAZANDIFARD,Iran (Islamic Republic of),6
Dmitrii TIMOFEEV,Russia,6
Galo HERNANDEZ,Ecuador,6
Winai RUANGRIT,Thailand,6
François PETIT,France,6
Pavel KORAN,Czechia,6
Neil CARSON,United Kingdom,6
Tomi NYTORP,Finland,6
Martin JAGGI,Switzerland,6
Gérome POUVREAU,France,6
Flavio CRESPI,Italy,6
Frederico SILVA,Portugal,6
Daniel WINKLER,Switzerland,6
Andreas BINDHAMMER,Germany,6
Eduard MARIN GARCIA,Spain,6
Jürgen REIS,Austria,6
Soso KATSITADZE,Georgia,6
Bruno MACIAS MATUTANO,Spain,6
Andrej CHRASTINA,Slovakia,6
Sergei SINITCYN,Russia,6
Hans FLORINE,United States of America,6
Johan MUS,Belgium,6
Ionel ENE,Romania,6
Ivaylo KRASTEV,Bulgaria,6
Vilimantas PETRASIUNAS,Lithuania,6
Tomas RAVANAL,Chile,6
Tomas GREKSAK,Slovakia,6
Boyko LALOV,Bulgaria,6
Carlo TRAVERSI,United States of America,6
Callum HYLAND,Australia,6
Vanco NAUNOV,The former Yugoslav Republic of Macedonia,6
Matej SVUB,Slovakia,6
Shane PUCCIO,United States of America,6
Evgenii VAITSEKHOVSKII,Russia,6
Alexey MOLCHANOV,Kazakhstan,6
Sergei SHAFEROV,Belarus,6
Ivan KAUROV,Russia,6
Davoud REKABI,Iran (Islamic Republic of),6
Or WECHSLER,Israel,6
Alexandr NIGMATULIN,Kazakhstan,6
Reza KOLASANGIAN,Iran (Islamic Republic of),5
Benjamin VARGAS,Chile,5
Geva LEVIN,Israel,5
Fredrik SERLACHIUS,Sweden,5
Guy MCNAMEE,Canada,5
Maximillian MILNE,United Kingdom,5
Edvards GRUZITIS,Latvia,5
Teeraphon BOONDECH,Thailand,5
Hamish MCARTHUR,United Kingdom,5
Alexey PANFILOV,Kazakhstan,5
Joshua BRUYNS,South Africa,5
Gian luca ZODDA,Italy,5
Philipp MARTIN,Germany,5
