,Country,NumAthleteswithWChampWins,NumAthleteswithWChampPodiums
1,Russia,13,31
2,France,10,30
3,Ukraine,7,12
4,Austria,5,8
5,Italy,5,7
6,Japan,4,9
7,United States of America,3,13
8,Poland,3,8
9,Spain,3,4
10,Germany,2,10
11,Slovenia,2,8
12,Czechia,2,7
13,China,2,7
14,Republic of Korea,2,5
15,Switzerland,2,4
16,Belgium,2,3
17,Indonesia,1,2
18,Iran (Islamic Republic of),1,2
19,Canada,1,1
20,United Kingdom,0,3
21,Kazakhstan,0,3
22,Serbia,0,1
23,Venezuela (Bolivarian Republic of),0,1
24,Netherlands,0,1
