Gender,Female,Female,Female,Male,Male,Male
Position,1,2,3,1,2,3
Year,,,,,,
2023,Janja GARNBRET,Oriane BERTONE,Brooke RABOUTOU,Mickael MAWEM,Mejdi SCHALCK,Dohyun LEE
2021,Natalia GROSSMAN,Camilla MORONI,Stasa GEJO,Kokoro FUJII,Tomoa NARASAKI,Manuel CORNU
2019,Janja GARNBRET,Akiyo NOGUCHI,Shauna COXSEY,Tomoa NARASAKI,Jakob SCHUBERT,Yannick FLOHÉ
2018,Janja GARNBRET,Akiyo NOGUCHI,Stasa GEJO,Kai HARADA,Jongwon CHON,Gregor VEZONIK
2016,Petra KLINGLER,Miho NONAKA,Akiyo NOGUCHI,Tomoa NARASAKI,Adam ONDRA,Manuel CORNU
2014,Juliane WURM,Alex PUCCIO,Akiyo NOGUCHI,Adam ONDRA,Jernej KRUDER,Jan HOJER
2012,Mélanie SANDOZ,Olga IAKOVLEVA,Anna STÖHR,Dmitrii SHARAFUTDINOV,Kilian FISCHHUBER,Rustam GELMANOV
2011,Anna STÖHR,Sasha DIGIULIAN,Juliane WURM,Dmitrii SHARAFUTDINOV,Adam ONDRA,Rustam GELMANOV
2009,Yulia ABRAMCHUK,Olga SHALAGINA,Anna STÖHR,Aleksei RUBTSOV,Rustam GELMANOV,David BARRANS
2007,Anna STÖHR,Akiyo NOGUCHI,Olga BIBIK,Dmitrii SHARAFUTDINOV,Martin STRANIK,Cédric LACHAT
2005,Olga SHALAGINA,Yulia ABRAMCHUK,Vera KOTASOVA-KOSTRUHOVA,Salavat RAKHMETOV,Kilian FISCHHUBER,Gérome POUVREAU
2003,Sandrine LEVET,Nataliya PERLOVA,Fanny ROGEAUX,Christian CORE,Jérôme MEYER,Tomasz OLEKSY
2001,Myriam MOTTEAU,Sandrine LEVET,Nataliya PERLOVA,Mauro CALIBANI,Frédéric TUSCAN,Christian CORE
