,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Jakob SCHUBERT (AUT),4,2,1,7
2,Adam ONDRA (CZE),3,2,2,7
3,François LEGRAND (FRA),3,0,1,4
4,Tomás MRÁZEK (CZE),2,1,1,4
5,Ramón JULIAN PUIGBLANQUE (ESP),2,1,0,3
6,Patxi USOBIAGA LAKUNZA (ESP),1,3,0,4
7,François PETIT (FRA),1,0,1,2
8,Dohyun LEE (KOR),1,0,0,1
9,Bernardino LAGNI (ITA),1,0,0,1
10,Gérome POUVREAU (FRA),1,0,0,1
11,Yuji HIRAYAMA (JPN),0,2,1,3
12,Alexander MEGOS (GER),0,1,2,3
13,Arnaud PETIT (FRA),0,1,0,1
14,Chris SHARMA (USA),0,1,0,1
15,Luka POTOCAR (SLO),0,1,0,1
16,Satone YOSHIDA (JPN),0,1,0,1
17,Stefan GLOWACZ (GER),0,1,0,1
18,Sorato ANRAKU (JPN),0,1,0,1
19,Sean MCCOLL (CAN),0,1,0,1
20,Guido KÖSTERMEYER (GER),0,0,1,1
21,Elie CHEVIEUX (SUI),0,0,1,1
22,David CAUDE (FRA),0,0,1,1
23,Maksym PETRENKO (UKR),0,0,1,1
24,Hamish MCARTHUR (GBR),0,0,1,1
25,Jorg VERHOEVEN (NED),0,0,1,1
26,Taisei HOMMA (JPN),0,0,1,1
27,Gautier SUPPER (FRA),0,0,1,1
28,Sachi AMMA (JPN),0,0,1,1
29,David LAMA (AUT),0,0,1,1
30,Alexandre CHABOT (FRA),0,0,1,1
31,Cédric LACHAT (SUI),0,0,1,1
