Gender,Female,Female,Female,Male,Male,Male
Position,1,2,3,1,2,3
Year,,,,,,
2023,Desak MADE RITA KUSUMA DEWI,Emma HUNT,Aleksandra MIROSLAW,Matteo ZURLONI,Jinbao LONG,Rahmad ADI MULYONO
2021,Natalia KALUCKA,Iuliia KAPLINA,Aleksandra MIROSLAW,Danyil BOLDYREV,Erik NOYA CARDONA,Noah BRATSCHI
2019,Aleksandra MIROSLAW,Di NIU,Anouck JAUBERT,Ludovico FOSSALI,Jan KRIZ,Stanislav KOKORIN
2018,Aleksandra MIROSLAW,Anna BROZEK,Mariia KRASAVINA,Reza ALIPOUR SHENAZANDIFARD,Bassa MAWEM,Stanislav KOKORIN
2016,Anna TSYGANOVA,Anouck JAUBERT,Iuliia KAPLINA,Marcin DZIENSKI,Reza ALIPOUR SHENAZANDIFARD,Aleksandr SHIKOV
2014,Alina GAIDAMAKINA,Klaudia BUCZEK,Aleksandra MIROSLAW,Danyil BOLDYREV,Stanislav KOKORIN,Reza ALIPOUR SHENAZANDIFARD
2012,Yuliya LEVOCHKINA,Iuliia KAPLINA,Natalia TITOVA,Qixin ZHONG,Libor HROZA,Dmitrii TIMOFEEV
2011,Mariia KRASAVINA,Anna TSYGANOVA,Tamara KUZNETSOVA,Qixin ZHONG,Stanislav KOKORIN,Danyil BOLDYREV
2009,Cuilian HE,Cuifang HE,Chunhua LI,Qixin ZHONG,Sergey ABDRAKHMANOV,Ning ZHANG
2007,Tatiana RUYGA,Edyta ROPEK,Valentina YURINA,Qixin ZHONG,Manuel ESCOBAR,Sergei SINITCYN
2005,Olena RYEPKO,Valentina YURINA,Edyta ROPEK,Evgenii VAITSEKHOVSKII,Maksym STYENKOVYY,Sergei SINITCYN
2003,Olena RYEPKO,Tatiana RUYGA,Valentina YURINA,Maksym STYENKOVYY,Tomasz OLEKSY,Alexander PESHEKHONOV
2001,Olena RYEPKO,Mayya PIRATINSKAYA,Svetlana SUTKINA,Maksym STYENKOVYY,Vladimir ZAKHAROV,Tomasz OLEKSY
1999,Olga ZAKHAROVA,Olena RYEPKO,Natalia NOVIKOVA,Vladimir ZAKHAROV,Vladimir NETSVETAEV-DOLGALEV,Alexei GADEEV
1997,Tatiana RUYGA,Irina ZAYTSEVA,Olga BIBIK,Daniel ANDRADA JIMENEZ,Yevgen KRYVOSHEYTSEV,Dmitrii BYCHKOV
1995,Natalie RICHER,Cecile AVEZOU,Renata PISZCZEK,Andrey VEDENMEER,Milan BENIAN,Vladimir NETSVETAEV-DOLGALEV
1993,Olga BIBIK,Isabelle DORSIMOND,Renata PISZCZEK,Vladimir NETSVETAEV-DOLGALEV,Serik KAZBEKOV,Yevgen KRYVOSHEYTSEV
1991,Isabelle DORSIMOND,Agnès BRARD,Venera CHERESHNEVA,Hans FLORINE,Jacky GODOFFE,Kairat RAKHMETOV
