,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Qixin ZHONG (CHN),4,0,0,4
2,Maksym STYENKOVYY (UKR),2,1,0,3
3,Danyil BOLDYREV (UKR),2,0,1,3
4,Vladimir NETSVETAEV-DOLGALEV (RUS),1,1,1,3
5,Reza ALIPOUR SHENAZANDIFARD (IRI),1,1,1,3
6,Vladimir ZAKHAROV (UKR),1,1,0,2
7,Hans FLORINE (USA),1,0,0,1
8,Jianguo LONG (CHN),1,0,0,1
9,Matteo ZURLONI (ITA),1,0,0,1
10,Daniel ANDRADA JIMENEZ (ESP),1,0,0,1
11,Marcin DZIENSKI (POL),1,0,0,1
12,Evgenii VAITSEKHOVSKII (RUS),1,0,0,1
13,Ludovico FOSSALI (ITA),1,0,0,1
14,Andrey VEDENMEER (UKR),1,0,0,1
15,Stanislav KOKORIN (RUS),0,2,2,4
16,Yevgen KRYVOSHEYTSEV (UKR),0,1,1,2
17,Tomasz OLEKSY (POL),0,1,1,2
18,Serik KAZBEKOV (UKR),0,1,0,1
19,Milan BENIAN (CZE),0,1,0,1
20,Jan KRIZ (CZE),0,1,0,1
21,Erik NOYA CARDONA (ESP),0,1,0,1
22,Jacky GODOFFE (FRA),0,1,0,1
23,Leander CARMANNS (GER),0,1,0,1
24,Jinbao LONG (CHN),0,1,0,1
25,Sergey ABDRAKHMANOV (RUS),0,1,0,1
26,Bassa MAWEM (FRA),0,1,0,1
27,Manuel ESCOBAR (VEN),0,1,0,1
28,Libor HROZA (CZE),0,1,0,1
29,Sergei SINITCYN (RUS),0,0,2,2
30,Alexander PESHEKHONOV (RUS),0,0,1,1
31,Kairat RAKHMETOV (KAZ),0,0,1,1
32,Noah BRATSCHI (USA),0,0,1,1
33,Dmitrii TIMOFEEV (RUS),0,0,1,1
34,Zach HAMMER (USA),0,0,1,1
35,Rahmad ADI MULYONO (INA),0,0,1,1
36,Ning ZHANG (CHN),0,0,1,1
37,Aleksandr SHIKOV (RUS),0,0,1,1
38,Dmitrii BYCHKOV (RUS),0,0,1,1
39,Alexei GADEEV (RUS),0,0,1,1
