,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Janja GARNBRET (SLO),10,2,0,12
2,Angela EITER (AUT),4,0,0,4
3,Olena RYEPKO (UKR),3,1,0,4
4,Aleksandra MIROSLAW (POL),3,0,3,6
5,Jain KIM (KOR),2,3,1,6
6,Jessica PILZ (AUT),2,1,1,4
7,Tatiana RUYGA (RUS),2,1,0,3
8,Anna STÖHR (AUT),2,0,2,4
9,Liv SANSOZ (FRA),2,0,1,3
10,Susi GOOD (SUI),2,0,0,2
11,Muriel SARKANY (BEL),1,4,0,5
12,Robyn ERBESFIELD (USA),1,1,1,3
13,Sandrine LEVET (FRA),1,1,1,3
14,Petra KLINGLER (SUI),1,1,1,3
15,Isabelle DORSIMOND (BEL),1,1,0,2
16,Yulia ABRAMCHUK (RUS),1,1,0,2
17,Olga SHALAGINA (UKR),1,1,0,2
18,Anna TSYGANOVA (RUS),1,1,0,2
19,Natalia GROSSMAN (USA),1,1,0,2
20,Chaehyun SEO (KOR),1,0,2,3
21,Ai MORI (JPN),1,0,2,3
22,Olga BIBIK (RUS),1,0,2,3
23,Charlotte DURIF (FRA),1,0,1,2
24,Juliane WURM (GER),1,0,1,2
25,Johanna ERNST (AUT),1,0,1,2
26,Mariia KRASAVINA (RUS),1,0,1,2
27,Mélanie SANDOZ (FRA),1,0,0,1
28,Alina GAIDAMAKINA (RUS),1,0,0,1
29,Natalie RICHER (FRA),1,0,0,1
30,Martina CUFAR (SLO),1,0,0,1
31,Olga ZAKHAROVA (UKR),1,0,0,1
32,Natalia KALUCKA (POL),1,0,0,1
33,Elena KRASOVSKAIA (RUS),1,0,0,1
34,Yuliya LEVOCHKINA (RUS),1,0,0,1
35,Cuilian HE (CHN),1,0,0,1
36,Myriam MOTTEAU (FRA),1,0,0,1
37,Desak MADE RITA KUSUMA DEWI (INA),1,0,0,1
38,Akiyo NOGUCHI (JPN),0,4,3,7
39,Iuliia KAPLINA (RUS),0,2,1,3
40,Mia KRAMPL (SLO),0,2,0,2
41,Oriane BERTONE (FRA),0,2,0,2
42,Cecile AVEZOU (FRA),0,2,0,2
43,Valentina YURINA (RUS),0,1,2,3
44,Mina MARKOVIC (SLO),0,1,2,3
45,Isabelle PATISSIER (FRA),0,1,1,2
46,Nataliya PERLOVA (UKR),0,1,1,2
47,Anouck JAUBERT (FRA),0,1,1,2
48,Edyta ROPEK (POL),0,1,1,2
49,Olga IAKOVLEVA (RUS),0,1,0,1
50,Emilie POUGET (FRA),0,1,0,1
51,Emily HARRINGTON (USA),0,1,0,1
52,Cuifang HE (CHN),0,1,0,1
53,Agnès BRARD (FRA),0,1,0,1
54,Laurence GUYON (FRA),0,1,0,1
55,Irina ZAYTSEVA (RUS),0,1,0,1
56,Mayya PIRATINSKAYA (RUS),0,1,0,1
57,Di NIU (CHN),0,1,0,1
58,Rosa REKAR (SLO),0,1,0,1
59,Sasha DIGIULIAN (USA),0,1,0,1
60,Sol SA (KOR),0,1,0,1
61,Alex PUCCIO (USA),0,1,0,1
62,Klaudia BUCZEK (POL),0,1,0,1
63,Anak VERHOEVEN (BEL),0,1,0,1
64,Miho NONAKA (JPN),0,1,0,1
65,Anna BROZEK (POL),0,1,0,1
66,Claire BUHRFEIND (USA),0,1,0,1
67,Camilla MORONI (ITA),0,1,0,1
68,Emma HUNT (USA),0,1,0,1
69,Lijuan DENG (CHN),0,1,0,1
70,Renata PISZCZEK (POL),0,0,2,2
71,Maja VIDMAR (SLO),0,0,2,2
72,Magdalena RÖCK (AUT),0,0,2,2
73,Shauna COXSEY (GBR),0,0,2,2
74,Stasa GEJO (SRB),0,0,2,2
75,Elnaz REKABI (IRI),0,0,1,1
76,Venera CHERESHNEVA (RUS),0,0,1,1
77,Marietta UHDEN (GER),0,0,1,1
78,Elena OVTCHINNIKOVA (USA),0,0,1,1
79,Svetlana SUTKINA (RUS),0,0,1,1
80,Chloé MINORET (FRA),0,0,1,1
81,Vera KOTASOVA-KOSTRUHOVA (CZE),0,0,1,1
82,Natalia NOVIKOVA (RUS),0,0,1,1
83,Yafei ZHOU (CHN),0,0,1,1
84,Melina COSTANZA (USA),0,0,1,1
85,Brooke RABOUTOU (USA),0,0,1,1
86,Laura ROGORA (ITA),0,0,1,1
87,Tamara KUZNETSOVA (KAZ),0,0,1,1
88,Natalia TITOVA (RUS),0,0,1,1
89,Fanny ROGEAUX (FRA),0,0,1,1
90,Chunhua LI (CHN),0,0,1,1
