,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Jakob SCHUBERT (AUT),6,4,1,11
2,Adam ONDRA (CZE),4,5,2,11
3,Qixin ZHONG (CHN),4,0,0,4
4,Tomoa NARASAKI (JPN),3,1,1,5
5,Sean MCCOLL (CAN),3,1,0,4
6,François LEGRAND (FRA),3,0,1,4
7,Dmitrii SHARAFUTDINOV (RUS),3,0,0,3
8,Tomás MRÁZEK (CZE),2,1,1,4
9,Maksym STYENKOVYY (UKR),2,1,0,3
10,Ramón JULIAN PUIGBLANQUE (ESP),2,1,0,3
11,Danyil BOLDYREV (UKR),2,0,1,3
12,Patxi USOBIAGA LAKUNZA (ESP),1,3,0,4
13,Vladimir NETSVETAEV-DOLGALEV (RUS),1,1,1,3
14,Reza ALIPOUR SHENAZANDIFARD (IRI),1,1,1,3
15,Vladimir ZAKHAROV (UKR),1,1,0,2
16,Sorato ANRAKU (JPN),1,1,0,2
17,Dohyun LEE (KOR),1,0,2,3
18,Christian CORE (ITA),1,0,1,2
19,Yannick FLOHÉ (GER),1,0,1,2
20,François PETIT (FRA),1,0,1,2
21,Gérome POUVREAU (FRA),1,0,1,2
22,Ludovico FOSSALI (ITA),1,0,0,1
23,Kai HARADA (JPN),1,0,0,1
24,Marcin DZIENSKI (POL),1,0,0,1
25,Kokoro FUJII (JPN),1,0,0,1
26,Jianguo LONG (CHN),1,0,0,1
27,Matteo ZURLONI (ITA),1,0,0,1
28,Mauro CALIBANI (ITA),1,0,0,1
29,Daniel ANDRADA JIMENEZ (ESP),1,0,0,1
30,Bernardino LAGNI (ITA),1,0,0,1
31,Mickael MAWEM (FRA),1,0,0,1
32,Evgenii VAITSEKHOVSKII (RUS),1,0,0,1
33,Salavat RAKHMETOV (RUS),1,0,0,1
34,Hans FLORINE (USA),1,0,0,1
35,Andrey VEDENMEER (UKR),1,0,0,1
36,Aleksei RUBTSOV (RUS),1,0,0,1
37,Stanislav KOKORIN (RUS),0,2,2,4
38,Yuji HIRAYAMA (JPN),0,2,1,3
39,Mejdi SCHALCK (FRA),0,2,0,2
40,Kilian FISCHHUBER (AUT),0,2,0,2
41,Alexander MEGOS (GER),0,1,2,3
42,Manuel CORNU (FRA),0,1,2,3
43,Tomasz OLEKSY (POL),0,1,2,3
44,Jan HOJER (GER),0,1,2,3
45,Rustam GELMANOV (RUS),0,1,2,3
46,Yevgen KRYVOSHEYTSEV (UKR),0,1,1,2
47,Jacky GODOFFE (FRA),0,1,0,1
48,Stefan GLOWACZ (GER),0,1,0,1
49,Serik KAZBEKOV (UKR),0,1,0,1
50,Arnaud PETIT (FRA),0,1,0,1
51,Manuel ESCOBAR (VEN),0,1,0,1
52,Jérôme MEYER (FRA),0,1,0,1
53,Frédéric TUSCAN (FRA),0,1,0,1
54,Philipp MARTIN (GER),0,1,0,1
55,Satone YOSHIDA (JPN),0,1,0,1
56,Erik NOYA CARDONA (ESP),0,1,0,1
57,Colin DUFFY (USA),0,1,0,1
58,Jan KRIZ (CZE),0,1,0,1
59,Luka POTOCAR (SLO),0,1,0,1
60,Bassa MAWEM (FRA),0,1,0,1
61,Jongwon CHON (KOR),0,1,0,1
62,Leander CARMANNS (GER),0,1,0,1
63,Jinbao LONG (CHN),0,1,0,1
64,Libor HROZA (CZE),0,1,0,1
65,Martin STRANIK (CZE),0,1,0,1
66,Thomas TAUPORN (GER),0,1,0,1
67,Jernej KRUDER (SLO),0,1,0,1
68,Sergey ABDRAKHMANOV (RUS),0,1,0,1
69,Milan BENIAN (CZE),0,1,0,1
70,Chris SHARMA (USA),0,1,0,1
71,Cédric LACHAT (SUI),0,0,3,3
72,Sergei SINITCYN (RUS),0,0,2,2
73,Alexander PESHEKHONOV (RUS),0,0,1,1
74,Alexei GADEEV (RUS),0,0,1,1
75,Jorg VERHOEVEN (NED),0,0,1,1
76,David CAUDE (FRA),0,0,1,1
77,Maksym PETRENKO (UKR),0,0,1,1
78,Dmitrii BYCHKOV (RUS),0,0,1,1
79,Alexandre CHABOT (FRA),0,0,1,1
80,Fedir SAMOILOV (UKR),0,0,1,1
81,Rishat KHAIBULLIN (KAZ),0,0,1,1
82,Aleksandr SHIKOV (RUS),0,0,1,1
83,Gregor VEZONIK (SLO),0,0,1,1
84,Guido KÖSTERMEYER (GER),0,0,1,1
85,Elie CHEVIEUX (SUI),0,0,1,1
86,Kairat RAKHMETOV (KAZ),0,0,1,1
87,Dmitrii TIMOFEEV (RUS),0,0,1,1
88,David FIRNENBURG (GER),0,0,1,1
89,Alban LEVIER (FRA),0,0,1,1
90,Hamish MCARTHUR (GBR),0,0,1,1
91,Noah BRATSCHI (USA),0,0,1,1
92,Ning ZHANG (CHN),0,0,1,1
93,Gautier SUPPER (FRA),0,0,1,1
94,Zach HAMMER (USA),0,0,1,1
95,Rahmad ADI MULYONO (INA),0,0,1,1
96,Taisei HOMMA (JPN),0,0,1,1
97,Sachi AMMA (JPN),0,0,1,1
98,David LAMA (AUT),0,0,1,1
99,David BARRANS (GBR),0,0,1,1
