,Country,Gold,Silver,Bronze,Total
1,Russia,16,14,22,52
2,France,13,18,16,47
3,Austria,15,7,8,30
4,Japan,7,10,9,26
5,Slovenia,11,8,5,24
6,Ukraine,11,7,5,23
7,Czechia,6,10,4,20
8,United States of America,3,9,6,18
9,Poland,5,4,8,17
10,Germany,2,6,9,17
11,Republic of Korea,4,5,5,14
12,China,6,4,3,13
13,Spain,4,5,0,9
14,Switzerland,3,1,5,9
15,Italy,5,1,2,8
16,Belgium,2,6,0,8
17,Canada,3,1,0,4
18,Iran (Islamic Republic of),1,1,2,4
19,United Kingdom,0,0,4,4
20,Kazakhstan,0,0,3,3
21,Indonesia,1,0,1,2
22,Serbia,0,0,2,2
23,Venezuela (Bolivarian Republic of),0,1,0,1
24,Netherlands,0,0,1,1
