,Country,EventName,Start,Finish,Venue,NumComps
0,Germany,WChamp 1991 All,1991-10-02,1991-10-02,Frankfurt,4
1,Austria,WChamp 1993 All,1993-04-30,1993-04-30,Innsbruck,4
2,Switzerland,WChamp 1995 All,1995-05-06,1995-05-06,Geneva,4
3,France,WChamp 1997 All,1997-02-01,1997-02-01,Paris,4
4,United Kingdom,WChamp 1999 All,1999-12-03,1999-12-03,Birmingham,4
5,Switzerland,WChamp 2001 All,2001-09-05,2001-09-08,Winterthur,6
6,France,WChamp 2003 All,2003-07-09,2003-07-13,Chamonix,6
7,Germany,WChamp 2005 All,2005-07-01,2005-07-05,Munich,6
8,Spain,WChamp 2007 All,2007-09-17,2007-09-23,Aviles,6
9,China,WChamp 2009 All,2009-06-30,2009-07-05,Xining,6
10,Italy,WChamp 2011 All,2011-07-15,2011-07-24,Arco,8
11,France,WChamp 2012 All,2012-09-12,2012-09-16,Paris,8
12,Germany,WChamp 2014 Boulder,2014-08-21,2014-08-23,Munich,2
13,Spain,WChamp 2014 Lead Speed Combined,2014-09-08,2014-09-14,Gijon,6
14,France,WChamp 2016 All,2016-09-14,2016-09-18,Paris,8
15,Austria,WChamp 2018 All,2018-09-06,2018-09-16,Innsbruck,8
16,Japan,WChamp 2019 All,2019-08-11,2019-08-22,Hachioji,8
17,Russia,Wchamp 2021,2021-09-15,2021-09-22,Moscow,8
18,Switzerland,Wchamp 2023,2023-08-01,2023-08-12,Bern,8
19,Republic of Korea,Wchamp 2025,2025-09-21,2025-09-28,Seoul,6
