,Country,CompType,WCupComp,Athletes
4,France,Lead,WC Lyon 1990 Lead Senior Male,"['François LEGRAND', 'Didier RABOUTOU', 'Robert CORTIJO']"
5,France,Lead,WC Barcelona 1990 Lead Senior Male,"['Jacky GODOFFE', 'François LEGRAND', 'François LOMBARD']"
6,France,Lead,WC Black See 1993 Lead Senior Male,"['François LOMBARD', 'François PETIT', 'Fabien MAZUER']"
7,France,Lead,WC Laval 1993 Lead Senior Male,"['François LEGRAND', 'François LOMBARD', 'François PETIT']"
8,France,Lead,WC Villach 1994 Lead Senior Male,"['François LEGRAND', 'François LOMBARD', 'Arnaud PETIT']"
9,France,Lead,WC Birmingham 1994 Lead Senior Male,"['François LEGRAND', 'François LOMBARD', 'François PETIT']"
10,France,Lead,WC Frankfurt 1995 Lead Senior Male,"['François LEGRAND', 'François PETIT', 'Arnaud PETIT']"
11,France,Lead,WC Birmingham 1995 Lead Senior Male,"['François LEGRAND', 'François LOMBARD', 'François PETIT']"
12,France,Lead,WC Aix les Bains 1995 Lead Senior Male,"['François LEGRAND', 'François LOMBARD', 'Arnaud PETIT']"
13,France,Lead,WC Kranj 1996 Lead Senior Male,"['François PETIT', 'Arnaud PETIT', 'David CAUDE']"
14,France,Lead,WC Lecco 2001 Lead Senior Male,"['Alexandre CHABOT', 'François AUCLAIR', 'Gérome POUVREAU']"
15,Spain,Lead,WC Singapore 2006 Lead Senior Male,"['Ramón JULIAN PUIGBLANQUE', 'Eduard MARIN GARCIA', 'Patxi USOBIAGA LAKUNZA']"
16,Japan,Lead,WC Briancon 2019 Lead Senior Male,"['Hiroto SHIMIZU', 'Hidemasa NISHIDA', 'Shuta TANAKA']"
17,France,Lead,WC Graz 1996 Lead Senior Female,"['Laurence GUYON', 'Liv SANSOZ', 'Stéphanie BODET']"
18,France,Lead,EuroChamp Paris 1996 Lead Senior Male,"['François LOMBARD', 'François PETIT', 'Arnaud PETIT']"
19,Slovenia,Lead,EuroChamp Chamonix 2015 Lead Senior Female,"['Janja GARNBRET', 'Mina MARKOVIC']"
20,Japan,Lead,WC Briancon 2023 Lead Senior Male,"['Satone YOSHIDA', 'Taisei HOMMA', 'Sorato ANRAKU']"
21,Japan,Lead,WC Wujiang 2023 Lead Senior Male,"['Taisei HOMMA', 'Sorato ANRAKU', 'Shion OMATA']"
22,Japan,Lead,WC Briancon 2024 Lead Senior Male,"['Zento MURASHITA', 'Satone YOSHIDA', 'Shion OMATA']"
