,Year,CompDate,Comp,FastestQual,SlowestQual
0,2026,2026-09-11,WC Guiyang 2026 Speed Senior Male,4.64,5.283
1,2026,2026-09-18,WC Chongqing 2026 Speed Senior Male,4.66,5.135
2,2026,2026-05-08,WC Wujiang 2026 Speed Senior Male,4.71,4.94
3,2026,2026-07-10,WC Chamonix 2026 Speed Senior Male,4.71,4.966
4,2025,2025-04-25,WC Wujiang 2025 Speed Senior Male,4.76,5.162
5,2025,2025-07-11,WC Chamonix 2025 Speed Senior Male,4.78,5.094
6,2024,2024-04-12,WC Wujiang 2024 Speed Senior Male,4.79,5.249
7,2026,2026-07-03,WC Krakow 2026 Speed Senior Male,4.804,5.283
8,2025,2025-05-31,WC Denver 2025 Speed Senior Male,4.83,5.245
9,2025,2025-09-12,WC Guiyang 2025 Speed Senior Male,4.862,5.14
10,2025,2025-05-02,WC Bali 2025 Speed Senior Male,4.87,5.268
11,2026,2026-05-28,WC Madrid 2026 Speed Senior Male,4.89,5.13
12,2025,2025-07-05,WC Krakow 2025 Speed Senior Male,4.91,5.182
13,2024,2024-07-17,WC Briancon 2024 Speed Senior Male,4.96,5.33
14,2023,2023-06-30,WC Villars 2023 Speed Senior Male,4.97,5.3
15,2024,2024-07-12,WC Chamonix 2024 Speed Senior Male,4.979,5.36
16,2023,2023-04-28,WC Seoul 2023 Speed Senior Male,4.98,5.43
17,2023,2023-07-07,WC Chamonix 2023 Speed Senior Male,4.98,5.27
18,2024,2024-05-03,WC Salt Lake City 2024 Speed Senior Male,4.99,5.557
19,2024,2024-10-02,WC Seoul 2024 Speed Senior Male,5.01,5.295
20,2023,2023-09-22,WC Wujiang 2023 Speed Senior Male,5.02,5.355
21,2023,2023-05-06,WC Jakarta 2023 Speed Senior Male,5.03,5.35
22,2022,2022-09-24,WC Jakarta 2022 Speed Senior Male,5.06,5.625
23,2023,2023-05-19,WC Salt Lake City 2023 Speed Senior Male,5.08,5.48
24,2022,2022-07-08,WC Chamonix 2022 Speed Senior Male,5.15,5.611
25,2022,2022-05-20,WC Salt Lake City 2022-1 Speed Senior Male,5.2,6.09
26,2022,2022-06-30,WC Villars 2022 Speed Senior Male,5.21,5.58
27,2022,2022-05-27,WC Salt Lake City 2022-2 Speed Senior Male,5.28,5.87
28,2021,2021-05-28,WC Salt Lake City 2021 Speed Senior Male,5.37,6.36
