,Year,Discipline,NumEvents
0,1989,Lead,7
1,1990,Lead,6
2,1991,Lead,6
3,1992,Lead,6
4,1993,Lead,6
5,1993,Speed,3
6,1994,Lead,4
7,1995,Lead,4
8,1996,Lead,3
9,1997,Lead,5
10,1998,Lead,3
11,1998,Speed,1
12,1999,Lead,4
13,1999,Speed,3
14,1999,Boulder,6
15,2000,Boulder,6
16,2000,Speed,3
17,2000,Lead,5
18,2001,Boulder,5
19,2001,Lead,5
20,2001,Speed,1
21,2002,Lead,7
22,2002,Boulder,3
23,2002,Speed,5
24,2003,Lead,10
25,2003,Speed,6
26,2003,Boulder,6
27,2004,Boulder,6
28,2004,Lead,9
29,2004,Speed,3
30,2005,Lead,9
31,2005,Boulder,4
32,2005,Speed,5
33,2006,Boulder,7
34,2006,Speed,8
35,2006,Lead,10
36,2007,Lead,8
37,2007,Boulder,7
38,2007,Speed,6
39,2008,Boulder,7
40,2008,Speed,6
41,2008,Lead,6
42,2009,Boulder,5
43,2009,Speed,4
44,2009,Lead,6
45,2010,Lead,6
46,2010,Speed,7
47,2010,Boulder,7
48,2011,Boulder,9
49,2011,Lead,10
50,2011,Speed,5
51,2012,Boulder,6
52,2012,Lead,9
53,2012,Speed,6
54,2013,Lead,8
55,2013,Boulder,8
56,2013,Speed,7
57,2014,Speed,7
58,2014,Lead,8
59,2014,Boulder,8
60,2015,Speed,5
61,2015,Boulder,5
62,2015,Lead,7
63,2016,Lead,7
64,2016,Speed,7
65,2016,Boulder,7
66,2017,Boulder,7
67,2017,Lead,8
68,2017,Speed,7
69,2018,Lead,7
70,2018,Speed,8
71,2018,Boulder,7
72,2019,Lead,6
73,2019,Speed,6
74,2019,Boulder,6
75,2020,Lead,1
76,2021,Lead,5
77,2021,Speed,2
78,2021,Boulder,4
79,2022,Boulder-Lead,1
80,2022,Speed,7
81,2022,Lead,7
82,2022,Boulder,6
83,2023,Speed,6
84,2023,Lead,6
85,2023,Boulder,6
86,2024,Speed,5
87,2024,Lead,6
88,2024,Boulder,5
89,2025,Lead,6
90,2025,Speed,6
91,2025,Boulder,6
