,Athlete,Country,NumWCups
1,Akiyo NOGUCHI,Japan,86
2,Vera ZIJLSTRA,Netherlands,77
3,Anna STÖHR,Austria,75
4,Katharina SAURWEIN,Austria,69
5,Petra KLINGLER (Current),Switzerland,66
6,Chloe CAULIER (Current),Belgium,59
7,Miho NONAKA (Current),Japan,59
8,Fanny GIBERT (Current),France,57
9,Olga BIBIK,Russia,55
10,Yulia ABRAMCHUK,Russia,53
11,Shauna COXSEY,United Kingdom,50
12,Mélanie SANDOZ,France,50
13,Melissa LE NEVE,France,50
14,Sol SA (Current),Republic of Korea,49
15,Monika RETSCHY,Germany,45
16,Barbara BACHER,Austria,44
17,Juliane WURM,Germany,44
18,Jenny LAVARDA,Italy,43
19,Afra HÖNIG (Current),Germany,43
20,Diane MERRICK,United Kingdom,43
21,Anne-laure CHEVRIER,France,42
22,Alma BESTVATER (Current),Germany,39
23,Sabine BACHER,Austria,39
24,Mina MARKOVIC,Slovenia,38
25,Sandrine LEVET,France,37
26,Sofya YOKOYAMA (Current),Switzerland,37
27,Alex PUCCIO,United States of America,37
28,Kyra CONDIE (Current),United States of America,36
29,Jain KIM (Current),Republic of Korea,36
30,Aya ONOE,Japan,36
31,Juliette DANION,France,35
32,Cecile AVEZOU,France,35
33,Alannah YIP (Current),Canada,35
34,Franziska STERRER (Current),Austria,34
35,Johanna FÄRBER (Current),Austria,34
36,Futaba ITO (Current),Japan,34
37,Nataliya PERLOVA,Ukraine,33
38,Stasa GEJO (Current),Serbia,33
39,Julija KRUDER (Current),Slovenia,33
40,Maud ANSADE,France,33
41,Chloé GRAFTIAUX,Belgium,33
42,Leah CRANE,United Kingdom,32
43,Giorgia TESIO (Current),Italy,31
44,Silvie RAJFOVA,Czechia,31
45,Jessica PILZ (Current),Austria,30
46,Mao NAKAMURA (Current),Japan,30
47,Berit SCHWAIGER,Austria,30
48,Mélanie SON,France,29
49,Angelica LIND,Sweden,29
50,Natalija GROS,Slovenia,29
51,Sierra BLAIR-COYLE,United States of America,29
52,Andrea KÜMIN (Current),Switzerland,28
53,Hannah MEUL (Current),Germany,28
54,Hung Ying LEE (Current),Taiwan,28
55,Corinne THEROUX,France,27
56,Janja GARNBRET (Current),Slovenia,27
57,Camilla MORONI (Current),Italy,27
58,Alex JOHNSON,United States of America,27
59,Anna GALLYAMOVA,Russia,26
60,Mina LESLIE-WUJASTYK,United Kingdom,26
61,Oceania MACKENZIE (Current),Australia,26
62,Olga SHALAGINA,Ukraine,25
63,Katja KADIC,Slovenia,25
64,Emilie ABGRALL,France,24
65,Oriane BERTONE (Current),France,24
66,Natalie BÄRTSCHI,Switzerland,24
67,Brooke RABOUTOU (Current),United States of America,24
68,Jennifer WOOD,United Kingdom,24
69,Nanako KURA (Current),Japan,24
70,Valentina AGUADO (Current),Argentina,24
71,Mei KOTAKE (Current),Japan,24
72,Yuetong ZHANG (Current),China,24
73,Stella MARCHISIO,Italy,23
74,Laura ROGORA (Current),Italy,23
75,Sandra LETTNER (Current),Austria,23
76,Katrine VANDET SALLING,Denmark,23
77,Katja VIDMAR,Slovenia,23
78,Ievgeniia KAZBEKOVA,Ukraine,23
79,Anon MATSUFUJI (Current),Japan,23
80,Katja DEBEVEC (Current),Slovenia,22
81,Natalia GROSSMAN (Current),United States of America,22
82,Celine COMBAZ,France,22
83,Samantha BERRY,Australia,22
84,Anja HODANN,Sweden,22
85,Alexandra BALAKIREVA,Russia,22
86,Momoka ODA,Japan,22
87,Rong JIANG,China,22
88,Olga IAKOVLEVA,Russia,21
89,Giulia MEDICI (Current),Italy,21
90,Michaela TRACY,United Kingdom,21
91,Cloe COSCOY (Current),United States of America,21
92,Vera KOTASOVA-KOSTRUHOVA,Czechia,20
93,Leire AGUIRRE,Spain,20
94,Helena LIPENSKA,Czechia,20
95,Ayala KEREM (Current),Israel,20
96,Roxana WIENAND (Current),Germany,20
97,Valeri KREMER (Current),Israel,20
98,Clementine KAISER,France,20
99,Lilli KIESGEN,Germany,20
100,Chaehyun SEO (Current),Republic of Korea,20
101,Myriam MOTTEAU,France,19
102,Ekaterina KIPRIIANOVA,Russia,19
103,Yael TAUB (Current),Israel,19
104,Tatiana SHEMULINKINA,Russia,19
105,Hannah MIDTBOE,Norway,19
106,Melody SEKIKAWA (Current),Japan,19
107,Emilie VERDIER,France,18
108,Margaryta ZAKHAROVA,Ukraine,18
109,Lucia DÖRFFEL (Current),Germany,18
110,Alizée DUFRAISSE,France,18
111,Audrey SEGUY,United Kingdom,18
112,Petra RUZICKOVA,Czechia,18
113,Karoline SINNHUBER,Austria,18
114,Flavy COHAUT (Current),France,18
115,Giulia GIAMMARCO,Italy,17
116,Kylie CULLEN (Current),United States of America,17
117,Ingrid KINDLIHAGEN (Current),Norway,17
118,Yana CHERESHNEVA,Russia,17
119,Andrea EBNER,Italy,17
120,Lisa CHULICH,United States of America,17
121,Julia PINGGERA,Austria,17
122,Maya MADERE (Current),United States of America,16
123,Elise SETHNA,Canada,16
124,Agathe CALLIET (Current),France,16
125,Kim ANTHONI,Belgium,15
126,Alexandra EYER,Switzerland,15
127,Allison VEST,Canada,15
128,Holly TOOTHILL,United Kingdom,15
129,Katherine MILLS,United Kingdom,15
130,Ludivine HARMAND,France,15
131,Morgane AVELINE,France,15
132,Magali HAYEN,Belgium,15
133,Rebekka STOTZ,Switzerland,15
134,Anna TSYGANOVA,Russia,15
135,Elnaz REKABI (Current),Iran (Islamic Republic of),15
136,Heeyeon PARK,Republic of Korea,15
137,Zélia AVEZOU (Current),France,15
138,Gayeong OH (Current),Republic of Korea,15
139,Selma ELHADJ MIMOUNE (Current),France,15
140,Annie SANDERS (Current),United States of America,15
141,Elena CHOUMILOVA,Russia,14
142,Stefania DE GRANDI,Italy,14
143,Maya DREAMER (Current),Israel,14
144,Lucija TARKUS (Current),Slovenia,14
145,Elizabeth SEPULVEDA,Puerto Rico,14
146,Elizabeth SEPULVEDA,United States of America,14
147,Leonie LOCHNER,Germany,14
148,Tabea SCHWAB,Switzerland,14
149,Lamu RENQING,China,14
150,Thomasina PIDGEON,Canada,14
151,Margo HAYES,United States of America,14
152,Madison FISCHER,Canada,14
153,Babette ROY (Current),Canada,14
154,Adriene Akiko CLARK (Current),United States of America,14
155,Zhilu LUO (Current),China,14
156,Erin MCNEICE (Current),United Kingdom,14
157,Mia KRAMPL (Current),Slovenia,13
158,Alejandra CONTRERAS (Current),Chile,13
159,Marine THÉVENET,France,13
160,Asaki HAGIWARA,Japan,13
161,Manon CHAPET,France,13
162,Katharina POSCH,Austria,13
163,Megan MASCARENAS,United States of America,13
164,Mária ČELKOVÁ,Slovakia,13
165,Mia AOYAGI (Current),Japan,13
166,Madison RICHARDSON (Current),Canada,13
167,Nicola HAAGER,Germany,12
168,Delphine MARTIN,France,12
169,Laura LOIKAS (Current),Finland,12
170,Julia CHANOURDIE (Current),France,12
171,Vita LUKAN (Current),Slovenia,12
172,Emily PHILLIPS,United Kingdom,12
173,Lea KEMPF (Current),Austria,12
174,Elizabeth ASHER,United States of America,12
175,Yuka KOBAYASHI,Japan,12
176,Katarzyna EKWINSKA,Poland,12
177,Meagan MARTIN,United States of America,12
178,Claire KASSAY,Australia,12
179,Kaori HOSONO,Japan,12
180,Rebecca FRANGOS (Current),Canada,12
181,Tara HAYES,United Kingdom,12
182,Irina DAZIANO (Current),Italy,12
183,Berta MARTIN SANCHO,Spain,11
184,Isabella RITSCH,Austria,11
185,Emma HAWKE,New Zealand,11
186,Fanny ROGEAUX,France,11
187,Aida TORRES ILLAMOLA (Current),Spain,11
188,Anne-sophie KOLLER,Switzerland,11
189,Molly THOMPSON-SMITH (Current),United Kingdom,11
190,Roberta LONGO,Italy,11
191,Kseniia ALEKSEEVA,Russia,11
192,Angela PAYNE,United States of America,11
193,Manon HILY (Current),France,11
194,Miwa OBA,Japan,11
195,Iuliia PANTELEEVA,Russia,11
196,Helen GILLETT (Current),United States of America,11
197,Nekaia SANDERS (Current),United States of America,11
198,Chloé MINORET,France,10
