,Athlete,Country,NumWCups
1,Jernej KRUDER,Slovenia,87
2,Kilian FISCHHUBER,Austria,83
3,Sean MCCOLL (Current),Canada,73
4,Rustam GELMANOV,Russia,71
5,Guillaume GLAIRON MONDET,France,65
6,Tsukuru HORI,Japan,65
7,Dmitrii SHARAFUTDINOV,Russia,64
8,Tomoa NARASAKI (Current),Japan,60
9,Christian CORE,Italy,59
10,David BARRANS,United Kingdom,59
11,Gabriele MORONI,Italy,58
12,Jonas BAUMANN,Germany,58
13,Wouter JONGENEELEN,Netherlands,57
14,Jan HOJER,Germany,57
15,Jakob SCHUBERT (Current),Austria,56
16,Loïc GAIDIOZ,France,55
17,Kokoro FUJII,Japan,55
18,Jongwon CHON (Current),Republic of Korea,55
19,Aleksei RUBTSOV,Russia,53
20,Rei SUGIMOTO (Current),Japan,51
21,Yoshiyuki OGATA (Current),Japan,51
22,Jorg VERHOEVEN,Netherlands,51
23,Michael PICCOLRUAZ (Current),Italy,50
24,Jérôme MEYER,France,49
25,Alex KHAZANOV,Israel,45
26,Peter WÜRTH,Germany,45
27,Matthias MÜLLER,Switzerland,44
28,Gareth PARRY,United Kingdom,44
29,Thomas CALEYRON,France,44
30,Martin STRANIK (Current),Czechia,44
31,Manuel CORNU (Current),France,43
32,Anze PEHARC (Current),Slovenia,42
33,Klemen BECAN,Slovenia,42
34,Stephane JULIEN,France,41
35,Tomasz OLEKSY,Poland,41
36,Benjamin BLASER,Switzerland,41
37,Gregor VEZONIK (Current),Slovenia,41
38,Lukas ENNEMOSER,Austria,41
39,Rolands RUGENS (Current),Latvia,40
40,Mathieu DUTRAY,France,39
41,Mykhaylo SHALAGIN,Ukraine,39
42,Mickael MAWEM (Current),France,39
43,Daniel DU LAC,France,38
44,Lucas PRETI,Italy,38
45,Jeremy BONDER,France,38
46,Yuji FUJIWAKI (Current),Japan,38
47,Ludovic LAURENCE,France,37
48,Jan-Luca POSCH (Current),Austria,37
49,Kevin HEMUND,Switzerland,37
50,Julien MERAL,France,35
51,Nathan PHILLIPS,United Kingdom,35
52,Nicky DE LEEUW,Netherlands,35
53,Remo SOMMER,Switzerland,34
54,Stéphan JULIEN,France,34
55,Stefan SCARPERI,Italy,34
56,Salavat RAKHMETOV,Russia,33
57,Tomoaki TAKATA,Japan,33
58,Stewart WATSON,United Kingdom,32
59,Meichi NARASAKI (Current),Japan,32
60,Urh CEHOVIN,Slovenia,31
61,Andrzej MECHERZYNSKI-WIKTOR,Poland,31
62,Stefan DANKER,Germany,31
63,Alban LEVIER,France,31
64,Riccardo SCARIAN,Italy,30
65,Karsten BOROWKA,Germany,30
66,Sergii TOPISHKO,Ukraine,30
67,Yufei PAN (Current),China,30
68,Serik KAZBEKOV,Ukraine,29
69,Mark CROXALL,United Kingdom,29
70,Keita WATABE,Japan,29
71,Nicolas COLLIN (Current),Belgium,29
72,Mathias CONRAD,Germany,29
73,Kevin HEINIGER,Switzerland,28
74,Jurij GOLOB,Slovenia,27
75,Sean BAILEY,United States of America,27
76,Nils FAVRE,Switzerland,27
77,Ram LEVIN (Current),Israel,27
78,Jonathan PARTRIDGE,United Kingdom,27
79,Yannick FLOHÉ (Current),Germany,26
80,Max KLEESATTEL (Current),Germany,26
81,Nimrod MARCUS (Current),Israel,26
82,Sebastien LAZURE,Canada,26
83,Alfons DORNAUER,Austria,26
84,Andrew EARL,United Kingdom,25
85,Adam ONDRA (Current),Czechia,25
86,Colin DUFFY (Current),United States of America,25
87,Simon LORENZI (Current),Belgium,25
88,Andre BOROWKA,Germany,25
89,Gérome POUVREAU,France,25
90,Nicolai UZNIK (Current),Austria,24
91,Benjamin HANNA (Current),United States of America,24
92,Elias ARRIAGADA KRÜGER (Current),Germany,24
93,Michele CAMINATI,Italy,24
94,Aric MERZ,Germany,24
95,Oscar BAUDRAND (Current),Canada,23
96,Nicolas BADIA,France,23
97,Gholamali BARATZADEH,Iran (Islamic Republic of),23
98,Thilo jeldrik SCHRÖTER,Norway,23
99,Radovah SOUCEK,Czechia,22
100,Mejdi SCHALCK (Current),France,22
101,Nathaniel COLEMAN,United States of America,22
102,Sascha LEHMANN (Current),Switzerland,22
103,Julien CLÉMENCE (Current),Switzerland,22
104,Maximillian MILNE (Current),United Kingdom,22
105,Keita MOGAKI,Japan,22
106,Edward FEEHALLY,United Kingdom,22
107,Tyler LANDMAN,United Kingdom,22
108,Ignacio SANCHEZ GONZÁLEZ,Spain,22
109,James KASSAY,Australia,22
110,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",22
111,William RIDAL,United Kingdom,21
112,Hannes PUMAN (Current),Sweden,21
113,Marcello BOMBARDI (Current),Italy,21
114,Elias WEILER,Austria,21
115,Bjørn ARNEL IISAGER,Denmark,21
116,Ka-Chun YAU (Current),"China, Hong Kong Special Administrative Region",21
117,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",21
118,Dohyun LEE (Current),Republic of Korea,21
119,Thorsten NEUHAUS,Germany,20
120,Stefano GHIDINI,Italy,20
121,Alexander MEGOS (Current),Germany,20
122,Kai HARADA,Japan,20
123,Cédric LACHAT,Switzerland,20
124,Jabee KIM,Republic of Korea,20
125,Casper TEN SIJTHOFF,Netherlands,20
126,Georg PARMA,Austria,20
127,Keita DOHI (Current),Japan,20
128,Domen SKOFIC,Slovenia,19
129,Vadim TIMONOV,Russia,19
130,Zach GALLA (Current),United States of America,19
131,Mauricio HUERTA,Mexico,19
132,Christopher WEBB-PARSONS,Australia,19
133,Jason HOLOWACH,Canada,19
134,Nikolay RUSEV (Current),Bulgaria,19
135,Sorato ANRAKU (Current),Japan,19
136,Christian BENK,Germany,18
137,Hannes VAN DUYSEN (Current),Belgium,18
138,Sebastien JALMAIN,France,18
139,Markus HOPPE,Germany,18
