,Athlete,Country,NumWCups
2,Diego martín MARSELLA,Argentina,12
3,Lautaro nicolás SORIA SANCHEZ (Current),Argentina,4
4,Bautista GREGORINI (Current),Argentina,4
5,Campbell HARRISON (Current),Australia,30
6,Mark BAKER,Australia,6
7,Garth MILLER,Australia,5
8,Jakob SCHUBERT (Current),Austria,86
9,Jürgen REIS,Austria,63
10,Mario LECHNER,Austria,61
14,Loïc TIMMERMANS,Belgium,52
15,Nicolas COLLIN (Current),Belgium,42
16,Simon LORENZI (Current),Belgium,26
17,Cesar GROSSO,Brazil,19
18,Felipe HO FOGANHOLO (Current),Brazil,16
19,Felipe CAMARGO,Brazil,13
23,Pheaktra SAMBATH (Current),Cambodia,2
24,Sean MCCOLL (Current),Canada,67
25,Elan JONASMCRAE,Canada,37
26,Victor BAUDRAND (Current),Canada,20
27,Tomas RAVANAL,Chile,19
28,Benjamin VARGAS (Current),Chile,11
29,Benjamin AYALA (Current),Chile,10
30,Yufei PAN (Current),China,21
31,Haibin QU,China,17
32,Qinghua WANG,China,13
33,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",20
34,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",19
35,Ka-wai CHU,"China, Hong Kong Special Administrative Region",11
36,Wan Tong LOK (Current),"China, Macao Special Administrative Region",2
37,Chon Hou LEI (Current),"China, Macao Special Administrative Region",1
46,Christos SOFOKLEOUS (Current),Cyprus,1
47,Tomás MRÁZEK,Czechia,66
48,Adam ONDRA (Current),Czechia,41
49,Martin STRANIK (Current),Czechia,35
53,Carlos GRANJA (Current),Ecuador,8
54,Danny VALENCIA,Ecuador,5
55,Galo HERNANDEZ,Ecuador,4
56,Marcelo ignacio VARGAS CLAROS (Current),El Salvador,2
66,Christian BINDHAMMER,Germany,68
67,Andreas BINDHAMMER,Germany,65
68,Sebastian HALENKE (Current),Germany,62
69,Aristomenes THANOPOULOS,Greece,5
70,Matthaios VALSAMIDIS (Current),Greece,4
71,Michail VOLYRAKIS (Current),Greece,4
72,Stanley AU (Current),Guam,1
73,Allen LACTAOEN (Current),Guam,1
