,Athlete,Country,NumWCups
1,Barbara BACHER,Austria,116
2,Jenny LAVARDA,Italy,112
3,Mina MARKOVIC,Slovenia,108
4,Jain KIM (Current),Republic of Korea,105
5,Muriel SARKANY,Belgium,93
6,Maja VIDMAR,Slovenia,82
7,Alexandra EYER,Switzerland,77
8,Yuka KOBAYASHI,Japan,77
9,Hélène JANICOT (Current),France,76
10,Angela EITER,Austria,71
11,Christine SCHRANZ,Austria,71
12,Caroline CIAVALDINI,France,70
13,Martina CUFAR,Slovenia,69
14,Katharina POSCH,Austria,66
15,Charlotte DURIF,France,65
16,Natalija GROS,Slovenia,62
17,Luisa IOVANE,Italy,61
18,Gerda RAFFETSEDER,Austria,60
19,Jessica PILZ (Current),Austria,58
20,Claudia GHISOLFI (Current),Italy,53
21,Bettina SCHÖPF,Austria,53
22,Magdalena RÖCK,Austria,53
23,Evgeniia MALAMID,Russia,53
24,Julia CHANOURDIE (Current),France,52
25,Akiyo NOGUCHI,Japan,51
26,Olena OSTAPENKO,Ukraine,51
27,Janja GARNBRET (Current),Slovenia,50
28,Sandrine LEVET,France,49
29,Dinara FAKHRITDINOVA,Russia,49
30,Yana CHERESHNEVA,Russia,48
31,Risa OTA,Japan,47
32,Julia FISER (Current),Austria,47
33,Salomé ROMAIN,France,46
34,Tina johnsen HAFSAAS,Norway,46
35,Ingela NILSSON,Sweden,45
36,Mia KRAMPL (Current),Slovenia,44
37,Katharina SAURWEIN,Austria,44
38,Nikki VAN BERGEN,Netherlands,44
39,Marietta UHDEN,Germany,43
40,Anak VERHOEVEN,Belgium,42
41,Lucka FRANKO,Slovenia,42
42,Katherine CHOONG,Switzerland,42
43,Laura ROGORA (Current),Italy,41
44,Chloé MINORET,France,41
45,Linn karin STENDAL,Norway,40
46,Anne-sophie KOLLER,Switzerland,39
47,Mathilde BECERRA,France,38
48,Molly THOMPSON-SMITH (Current),United Kingdom,37
49,Vita LUKAN (Current),Slovenia,37
50,Manon HILY (Current),France,36
51,Natalie RICHER,France,35
52,Damaris KNORR,Germany,35
53,Heloïse DOUMONT (Current),Belgium,34
54,Robyn ERBESFIELD,United States of America,34
55,Ievgeniia KAZBEKOVA,Ukraine,34
56,Seuran HAN (Current),Republic of Korea,33
57,Mi-sun GO,Republic of Korea,32
58,Liv SANSOZ,France,32
59,Natsuki TANII (Current),Japan,32
60,Mei KOTAKE (Current),Japan,31
61,Nanette RAYBAUD,France,31
62,Nolwenn ARC (Current),France,30
63,Elena OVTCHINNIKOVA,United States of America,30
64,Cecile AVEZOU,France,30
65,Annatina SCHULTZ,Switzerland,29
66,Momoka ODA,Japan,29
67,Tjasa KALAN,Slovenia,29
68,Iwona GRONKIEWICZ-MARCISZ,Poland,29
69,Tamara SCHLEMMER,Germany,29
70,Anne ARRAN,United Kingdom,29
71,Hannah SCHUBERT,Austria,29
72,Lucka RAKOVEC (Current),Slovenia,29
73,Lynn VAN DER MEER (Current),Netherlands,29
74,Chaehyun SEO (Current),Republic of Korea,29
75,Alizée DUFRAISSE,France,29
76,Mathilde BRUMAGNE,Belgium,29
77,Johanna ERNST,Austria,27
78,Stéphanie BODET,France,27
79,Michelle HULLIGER,Switzerland,27
80,Valentina AGUADO (Current),Argentina,27
81,Ilaria SCOLARIS (Current),Italy,27
82,Felicity BUTLER,United Kingdom,27
83,Venera CHERESHNEVA,Russia,27
84,Martina DEMMEL (Current),Germany,26
85,Lana SKUSEK (Current),Slovenia,26
86,Mattea PÖTZI (Current),Austria,26
87,Michaela SMETANOVA (Current),Czechia,26
88,Metka LUKANCIC,Slovenia,26
89,Sol SA (Current),Republic of Korea,26
90,Elena CHOUMILOVA,Russia,26
91,Lisa BENETTI,Italy,26
92,Renata PISZCZEK,Poland,26
93,Rebecca FRANGOS (Current),Canada,26
94,Florence PINET,France,26
95,Noa SHIRAN (Current),Israel,25
96,Isabelle PATISSIER,France,25
97,Delphine MARTIN,France,25
98,Valeri KREMER (Current),Israel,24
99,Catherine VALLET,France,24
100,Netta FREDMAN,Israel,24
101,Alannah YIP (Current),Canada,23
102,Olga BIBIK,Russia,23
103,Olena KRYVONIS,Ukraine,23
104,Olga SHALAGINA,Ukraine,23
105,Futaba ITO (Current),Japan,23
106,Aya ONOE,Japan,23
107,Irati ANDA VILLANUEVA,Spain,23
108,Eva Maria HAMMELMÜLLER (Current),Austria,23
109,Camille POUGET (Current),France,23
110,Yulia INOZEMTSEVA,Russia,23
111,Käthe ATKINS (Current),Germany,22
112,Chloe CAULIER (Current),Belgium,22
113,Sara COPAR (Current),Slovenia,22
114,Celine CUYPERS,Belgium,21
115,Ryu NAKAGAWA (Current),Japan,21
116,Asja GOSAR,Slovenia,21
117,Lucija TARKUS (Current),Slovenia,21
118,Marie-annick PIAT,France,21
119,Katja VIDMAR,Slovenia,21
120,Nolwen BERTHIER,France,21
121,Marie GUILLET,France,21
122,Nataliya PERLOVA,Ukraine,21
123,Hung Ying LEE (Current),Taiwan,21
124,Rebekka STOTZ,Switzerland,21
125,Laurence GUYON,France,20
126,Kyra CONDIE (Current),United States of America,20
127,Miho NONAKA (Current),Japan,20
128,Eliska ADAMOVSKA (Current),Czechia,20
129,Susi GOOD,Switzerland,19
130,Aleksandra TOTKOVA (Current),Bulgaria,19
131,Josune BERECIARTU URRUZOLA,Spain,19
132,Rie KIMURA,Japan,18
133,Tjasa SLEMENSEK,Slovenia,18
134,Stéphanie LOUIS,Switzerland,18
135,Oceania MACKENZIE (Current),Australia,18
136,Yuetong ZHANG (Current),China,18
137,Liv EGLI (Current),Switzerland,18
138,Alejandra CONTRERAS (Current),Chile,18
139,Roxy PERRY (Current),Australia,18
140,Carole PETRIGNET,France,17
141,Janine CARDOSO,Brazil,17
142,Hyun-jung KIM,Republic of Korea,17
143,Isabelle BIHR,France,17
144,Karin KAVOUSSI,Austria,17
145,Andrea brigitta SZEKELY,Hungary,17
146,Christina STÜTZ,Austria,17
147,Delaney MILLER,United States of America,17
148,Lynn HILL,United States of America,17
149,Ruth JENKINS,United Kingdom,17
150,Minseon KIM,Republic of Korea,17
151,Lucinda ann STIRLING,Australia,17
152,Brooke RABOUTOU (Current),United States of America,17
153,Chloé GRAFTIAUX,Belgium,17
154,Juliane WURM,Germany,17
155,Kinga OCIEPKA,Poland,16
156,Fanny GIBERT (Current),France,16
157,Giorgia TESIO (Current),Italy,16
158,Hannah MEUL (Current),Germany,16
159,Silvia CASSOL,Italy,16
160,Corinne LABRUNE,France,16
161,Isabelle LAFFONT,France,16
162,Margaux HILLY,France,16
163,Sasa TRUDEN,Slovenia,16
164,Lenka TRNKOVA,Czechia,16
165,Chunhua LI,China,16
166,Andrea KÜMIN (Current),Switzerland,16
167,Zhilu LUO (Current),China,16
168,Yuki HIROSHIGE,Japan,16
169,Stasa GEJO (Current),Serbia,15
170,Isabelle DORSIMOND,Belgium,15
171,Shelly PRESSON,United States of America,15
172,Anna IBANEZ-TUDORAS,Spain,15
173,Marine THÉVENET,France,15
174,Vera ZIJLSTRA,Netherlands,15
175,Lamu RENQING,China,15
176,Angela STRIECKS,Germany,15
177,Barbara STRANSKA,Czechia,15
178,Lucy CREAMER,United Kingdom,15
179,Tereza SIRUCKOVA (Current),Czechia,15
180,Katrin SEDLMAYER,Germany,15
181,Monica ZEILEMAKER,Netherlands,15
182,Tereza KYSILKOVA,Czechia,15
183,Natalia GROSSMAN (Current),United States of America,14
184,Ashima SHIRAISHI,United States of America,14
185,Manuela SIGRIST,Switzerland,14
186,Gabriela VRABLIKOVA,Czechia,14
187,Natsumi HIRANO (Current),Japan,14
188,Katarina STREMFELJ,Slovenia,14
189,Sarah MATTHEWS,Australia,14
190,Nina CAPREZ,Switzerland,14
191,Ai MORI (Current),Japan,14
192,Erin MCNEICE (Current),United Kingdom,14
193,Eva NIESELT,Germany,13
194,Jitka KUHNGABEROVA,Czechia,13
195,Eva TUSAR,Slovenia,13
196,Andrea EBNER,Italy,13
197,Moe YOSHIMURA,Japan,13
198,Katrin AMANN,Sweden,13
199,Galina TERENTEVA,Russia,13
200,Hannarai SONG,Republic of Korea,13
201,Tina SUSTERSIC,Slovenia,13
202,Jennifer WOOD,United Kingdom,13
203,Joanna NEAME (Current),United Kingdom,13
204,Bianca DE MAGALHAES DE CASTRO,Brazil,13
205,Roxana WIENAND (Current),Germany,13
206,Bai-le HUANG,Taiwan,13
207,Lisa LAGE,United States of America,13
208,Susanne ETTER,Switzerland,13
209,Emilie POUGET,France,13
210,Sona HNIZDILOVA,Czechia,13
211,Emma HAWKE,New Zealand,12
212,Zuzana CINTALOVA,Slovakia,12
213,Elodie GIROUX,France,12
214,Hiu ying LIU,"China, Hong Kong Special Administrative Region",12
215,Li-ping HUANG,China,12
216,Sabine BACHER,Austria,12
217,Kajsa ROSEN,Sweden,12
218,Sandra LETTNER (Current),Austria,12
219,Katja KADIC,Slovenia,12
220,Iva VEJMOLOVA,Czechia,12
221,Rong JIANG,China,12
222,Tereza SVOBODOVA,Czechia,12
223,Miu KAKIZAKI,Japan,12
224,Sukma LINTANG CAHYANI (Current),Indonesia,12
225,Quinn MASON (Current),United States of America,12
226,Natsumi ODA (Current),Japan,12
227,Ina PLASSOUX DJIGA (Current),France,12
228,Mirjam VERBEEK,Netherlands,12
229,Raffaella VALSECCHI,Italy,12
230,Anouk PIOLA,Switzerland,12
231,Agata MODRZEJEWSKA,Poland,12
232,Manuela VALSECCHI,Italy,12
233,Christina SCHMID,Switzerland,11
234,Sunniva ØVRE-EIDE (Current),Norway,11
235,Martina HARNISCH,Austria,11
236,Vera KOTASOVA-KOSTRUHOVA,Czechia,11
237,Abigail MAY,United Kingdom,11
238,Miriam MOOSBURGER,Austria,11
239,Nika POTAPOVA (Current),Ukraine,11
240,Emily SCOTT (Current),Australia,11
241,Annie SANDERS (Current),United States of America,11
242,Svana BJARNASON (Current),France,11
