,Athlete,Country,NumWCups
1,Ramón JULIAN PUIGBLANQUE,Spain,129
2,Romain DESGRANGES,France,117
3,Jakob SCHUBERT (Current),Austria,90
4,Luca ZARDINI,Italy,86
5,Stefano GHISOLFI (Current),Italy,85
6,Domen SKOFIC,Slovenia,75
7,Matej SOVA,Slovenia,73
8,Marcello BOMBARDI (Current),Italy,71
9,Sylvain MILLET,France,70
10,Jorg VERHOEVEN,Netherlands,70
11,Sean MCCOLL (Current),Canada,70
12,Sebastian HALENKE (Current),Germany,69
13,Christian BINDHAMMER,Germany,68
14,Flavio CRESPI,Italy,68
15,Klemen BECAN,Slovenia,68
16,Tomás MRÁZEK,Czechia,66
17,Andreas BINDHAMMER,Germany,65
18,Patxi USOBIAGA LAKUNZA,Spain,65
19,Christoph HANKE (Current),Germany,63
20,Jürgen REIS,Austria,63
21,Mikhail CHERNIKOV,Russia,61
22,Mario LECHNER,Austria,61
23,Cristian BRENNA,Italy,59
24,Gautier SUPPER,France,59
25,Masahiro HIGUCHI (Current),Japan,58
26,Magnus MIDTBOE,Norway,58
27,Evgeny OVCHINNIKOV,Russia,57
28,François LEGRAND,France,57
29,David CAUDE,France,57
30,Sachi AMMA,Japan,57
31,Sascha LEHMANN (Current),Switzerland,54
32,Manuel ROMAIN,France,54
33,François PETIT,France,53
34,Luca GIUPPONI,Italy,53
35,Hyunbin MIN (Current),Republic of Korea,53
36,Loïc TIMMERMANS,Belgium,52
37,Martin BERGANT (Current),Slovenia,52
38,Cédric LACHAT,Switzerland,52
39,Max RUDIGIER,Austria,51
40,Francesco VETTORATA,Italy,49
41,Yuji HIRAYAMA,Japan,49
42,Michaël FUSELIER,France,49
43,Nicolas COLLIN (Current),Belgium,48
44,Fabien DUGIT,France,46
45,Hannes PUMAN (Current),Sweden,46
46,Adam ONDRA (Current),Czechia,44
47,Alexandre CHABOT,France,44
48,Martin STRANIK (Current),Czechia,43
49,Tomaz VALJAVEC,Slovenia,43
50,Luka POTOCAR (Current),Slovenia,42
51,Alberto GNERRO,Italy,42
52,Aljosa GROM,Slovenia,42
53,Eduard MARIN GARCIA,Spain,42
54,Yevgen KRYVOSHEYTSEV,Ukraine,41
55,Igor GUSAK,Ukraine,41
56,Javier CANO BLAZQUEZ (Current),Spain,41
57,Milan PRESKAR (Current),Slovenia,40
58,Maksym PETRENKO,Ukraine,40
59,Jabee KIM,Republic of Korea,40
60,Thomas TAUPORN,Germany,40
61,Filip SCHENK (Current),Italy,37
62,Vadim VINOKUR,United States of America,37
63,Urban PRIMOZIC,Slovenia,37
64,Elan JONASMCRAE,Canada,37
65,Thomas JOANNES,France,37
66,Yannick FLOHÉ (Current),Germany,36
67,Bernardino LAGNI,Italy,36
68,Thomas BALLET,France,36
69,Elie CHEVIEUX,Switzerland,35
70,Arnaud PETIT,France,35
71,Gérome POUVREAU,France,35
72,Satone YOSHIDA (Current),Japan,35
73,Hanwool KIM,Republic of Korea,35
74,Taisei HOMMA (Current),Japan,34
75,Stefan SCHERZ (Current),Austria,33
76,Salavat RAKHMETOV,Russia,33
