,Athlete,Country,NumWCups
0,Johanna NAGL (Current),Austria,2
1,Maya WALTER (Current),Austria,2
2,Avery MACDONALD (Current),Canada,2
3,Aleya MORIN (Current),Canada,1
4,Elise VILLENEUVE (Current),Canada,1
5,Yuju MOU (Current),China,3
6,Yafei ZHOU (Current),China,2
7,Yumei QIN (Current),China,2
8,Lucie MRAZOVA (Current),Czechia,1
9,Andrea ROJAS (Current),Ecuador,2
10,Valentina Camila FLORES CORTEZ (Current),Ecuador,1
11,Capucine VIGLIONE (Current),France,4
12,Louise FONTAINE (Current),France,2
13,Ambre ECAILLE (Current),France,2
14,Nele THOMAS (Current),Germany,3
15,Mina Josephine SCHULTZ (Current),Germany,2
16,Rajiah SALLSABILLAH (Current),Indonesia,4
17,Desak MADE RITA KUSUMA DEWI (Current),Indonesia,2
18,Adi Asih KADEK (Current),Indonesia,2
19,Beatrice COLLI (Current),Italy,4
20,Giulia RANDI (Current),Italy,4
21,Sara STROCCHI (Current),Italy,1
22,Ai TAKEUCHI (Current),Japan,3
23,Ren KOYAMATSU (Current),Japan,3
24,Karin HAYASHI (Current),Japan,1
25,Arina NOVITSKAYA (Current),Kazakhstan,3
26,Anna BALARSHINA (Current),Kazakhstan,2
27,Tamara ULZHABAYEVA (Current),Kazakhstan,1
28,Julia NAVA (Current),Mexico,2
29,Valeria MACIAS FERREIRA (Current),Mexico,2
30,Arantza FERNÁNDEZ GUTIERREZ (Current),Mexico,1
31,Sarah TETZLAFF (Current),New Zealand,3
32,Helen LEE (Current),New Zealand,1
33,Aleksandra MIROSLAW (Current),Poland,1
34,Patrycja CHUDZIAK (Current),Poland,1
35,Aleksandra KALUCKA (Current),Poland,1
36,Jimin JEONG (Current),Republic of Korea,4
37,Hanareum SUNG (Current),Republic of Korea,4
38,Aniya HOLDER (Current),South Africa,1
39,Carla MARTÍNEZ VIDAL (Current),Spain,3
40,Leslie Adriana ROMERO PÉREZ (Current),Spain,3
41,Narada DISYABUT (Current),Thailand,2
42,Napat DISYABUT (Current),Thailand,1
43,Polina KHALKEVYCH (Current),Ukraine,3
44,Daria TKACHOVA (Current),Ukraine,2
45,Ava HAMILTON (Current),United Kingdom,1
46,Sophia CURCIO (Current),United States of America,4
47,Piper KELLY (Current),United States of America,2
48,Emma HUNT (Current),United States of America,2
