,Athlete,Country,NumWCups
0,Valentina AGUADO (Current),Argentina,9
1,Victoria GIMENEZ,Argentina,1
2,Grace CROWLEY (Current),Australia,13
3,Oceania MACKENZIE (Current),Australia,6
4,Tiffany MELIUS,Australia,4
11,Heloïse DOUMONT (Current),Belgium,10
12,Chloe CAULIER (Current),Belgium,8
13,Celine CUYPERS,Belgium,2
14,Thais makino SHIRAIWA,Brazil,2
15,Luana RISCADO,Brazil,2
16,Bianca DE MAGALHAES DE CASTRO (Current),Brazil,2
20,Alannah YIP (Current),Canada,12
21,Erica VELEV (Current),Canada,9
22,Rebecca FRANGOS (Current),Canada,6
23,Alejandra CONTRERAS (Current),Chile,10
24,Anahí RIVEROS (Current),Chile,4
25,Carmen CONTRERAS (Current),Chile,2
26,Cuilian HE,China,36
27,Di NIU (Current),China,24
28,Lijuan DENG (Current),China,19
35,Andrea ROJAS (Current),Ecuador,31
36,Abigail RUANO (Current),Ecuador,5
37,Carolina ROSERO,Ecuador,2
38,Anouck JAUBERT,France,55
39,Aurelia SARISSON (Current),France,45
40,Victoire ANDRIER (Current),France,37
43,Franziska RITTER (Current),Germany,13
44,Julia KOCH (Current),Germany,9
45,Nuria BROCKFELD,Germany,5
47,Shivpreet PANNU (Current),India,6
48,Anisha VERMA (Current),India,1
49,M. n. VATHSALA,India,1
50,Rajiah SALLSABILLAH (Current),Indonesia,19
51,Desak MADE RITA KUSUMA DEWI (Current),Indonesia,13
52,Aries SUSANTI RAHAYU,Indonesia,13
53,Farnaz ESMAEILZADEH,Iran (Islamic Republic of),9
54,Azam KARAMI,Iran (Islamic Republic of),6
55,Mahya DARABIAN (Current),Iran (Islamic Republic of),5
56,Beatrice COLLI (Current),Italy,16
57,Giulia RANDI (Current),Italy,15
58,Elisabetta DALLA BRIDA,Italy,14
59,Karin HAYASHI (Current),Japan,18
60,Fumika KAWAKAMI (Current),Japan,15
61,Akiyo NOGUCHI,Japan,12
62,Assel MARLENOVA (Current),Kazakhstan,17
63,Tamara ULZHABAYEVA (Current),Kazakhstan,13
64,Tamara KUZNETSOVA,Kazakhstan,12
68,Valeria MACIAS FERREIRA (Current),Mexico,9
69,María fernanda HIDALGO AMEZQUITA (Current),Mexico,6
70,Arantza FERNÁNDEZ GUTIERREZ (Current),Mexico,4
73,Sarah TETZLAFF (Current),New Zealand,14
74,Abby GEBERT (Current),New Zealand,5
75,Jorja RANGI (Current),New Zealand,4
77,Edyta ROPEK,Poland,86
78,Klaudia BUCZEK,Poland,51
79,Anna BROZEK (Current),Poland,48
80,Elizabeth SEPULVEDA (Current),Puerto Rico,2
81,Jimin JEONG (Current),Republic of Korea,15
82,Hanareum SUNG (Current),Republic of Korea,11
83,Heeju NOH (Current),Republic of Korea,10
90,Stasa GEJO (Current),Serbia,3
91,Vanessa Si Yinn TENG (Current),Singapore,2
92,Azmie NADIRAH,Singapore,2
93,Eilin TAN (Current),Singapore,1
97,Janja GARNBRET (Current),Slovenia,10
98,Mia KRAMPL (Current),Slovenia,9
99,Lucka RAKOVEC (Current),Slovenia,5
100,Tegwen OATES (Current),South Africa,4
101,Aniya HOLDER (Current),South Africa,2
102,RACHELLE DE CHARMOY,South Africa,2
103,Leslie Adriana ROMERO PÉREZ (Current),Spain,8
104,Carla MARTÍNEZ VIDAL (Current),Spain,6
105,María LABORDA SAGASTE,Spain,5
109,Petra KLINGLER (Current),Switzerland,9
110,Andrea KÜMIN (Current),Switzerland,5
111,Anne-sophie KOLLER (Current),Switzerland,4
112,Hung ying LEE (Current),Taiwan,17
113,Hsiu-ju LIN,Taiwan,1
114,Bai-le HUANG,Taiwan,1
121,Emily PHILLIPS,United Kingdom,5
122,Shauna COXSEY,United Kingdom,3
123,Saveena FILLINGHAM (Current),United Kingdom,2
124,Emma HUNT (Current),United States of America,17
125,Sophia CURCIO (Current),United States of America,17
126,Piper KELLY (Current),United States of America,15
