,Athlete,Country,NumWCups
0,Valentin STERNIK (Current),Argentina,6
1,Santiago CHRISTENSEN,Argentina,2
2,Simón PADIN,Argentina,2
3,Campbell HARRISON (Current),Australia,3
4,Hayden BARTON (Current),Australia,2
5,Chad HORTON (Current),Australia,2
6,Lukas KNAPP (Current),Austria,30
7,Tobias PLANGGER (Current),Austria,16
8,Jakob SCHUBERT (Current),Austria,13
15,Salah BOULBAHAIEM,Belgium,16
16,Nicolas COLLIN (Current),Belgium,11
17,Simon LORENZI (Current),Belgium,8
18,Pedro EGG (Current),Brazil,6
19,Cesar GROSSO,Brazil,6
20,Felipe HO FOGANHOLO (Current),Brazil,3
24,Sean MCCOLL (Current),Canada,35
25,Ethan PITCHER (Current),Canada,16
26,Michael FINN-HENRY (Current),Canada,16
27,Benjamin VARGAS (Current),Chile,3
28,Emilio RIOS,Chile,3
29,Jose tomas LEDESMA (Current),Chile,2
30,Qixin ZHONG,China,50
31,Jianguo LONG (Current),China,17
32,Penghui LIN,China,17
33,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",21
34,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",19
35,Chi-wai LAI,"China, Hong Kong Special Administrative Region",19
38,Libor HROZA,Czechia,68
39,Jan KRIZ (Current),Czechia,32
40,Jiri SVACHA,Czechia,11
42,Carlos GRANJA (Current),Ecuador,20
43,Isaac ESTEVEZ (Current),Ecuador,16
44,Nickolaie RIVADENEIRA,Ecuador,6
45,Guillaume MORO (Current),France,47
46,Bassa MAWEM (Current),France,45
47,Pierre REBREYEND (Current),France,20
48,Giga JANKHOTELI (Current),Georgia,5
49,Valeri FERADZE,Georgia,3
50,Soso KATSITADZE,Georgia,3
51,Linus BADER (Current),Germany,20
52,Sebastian LUCKE (Current),Germany,18
53,Leander CARMANNS (Current),Germany,14
57,Deepu MALLESH (Current),India,7
58,Hritik MARNE (Current),India,3
59,Ganesh BHUJEL (Current),India,2
60,Alfian MUHAMMAD FAJRI (Current),Indonesia,26
61,Veddriq LEONARDO (Current),Indonesia,21
62,Aspar JAELOLO,Indonesia,19
63,Reza ALIPOUR SHENAZANDIFARD (Current),Iran (Islamic Republic of),43
64,Morteza MOHAMMADI,Iran (Islamic Republic of),7
65,Ehsan ASRAR,Iran (Islamic Republic of),5
66,Nimrod MARCUS (Current),Israel,7
67,Yuval SHEMLA (Current),Israel,4
68,Ram LEVIN (Current),Israel,4
69,Ludovico FOSSALI (Current),Italy,51
70,Leonardo GONTERO,Italy,47
71,Gian Luca ZODDA (Current),Italy,39
72,Shuto FUJINO (Current),Japan,19
73,Ryo OMASA (Current),Japan,18
74,Jun YASUKAWA (Current),Japan,14
75,Amir MAIMURATOV (Current),Kazakhstan,31
76,Rishat KHAIBULLIN (Current),Kazakhstan,19
77,Alisher MURAT (Current),Kazakhstan,15
78,Nasser ABU ERGEEB (Current),Kuwait,3
79,Rolands RUGENS (Current),Latvia,4
80,Janis PRIZAVOITS,Latvia,1
85,Andrés ALENCASTER (Current),Mexico,3
92,Julian DAVID (Current),New Zealand,11
93,Flynn CHISHOLM (Current),New Zealand,7
94,George SANDERS,New Zealand,4
96,Zaheer AHMAD (Current),Pakistan,2
97,Mir abuzar FAIZ (Current),Pakistan,1
98,Sajid ASLAM,Pakistan,1
99,Kenu PUERTA WONG (Current),Peru,1
103,Marcin DZIENSKI (Current),Poland,65
104,Lukasz SWIRK,Poland,40
105,Jedrzej KOMOSINSKI,Poland,38
106,Yongjun JUNG (Current),Republic of Korea,18
107,Yongsu LEE (Current),Republic of Korea,13
108,Euncheol SHIN (Current),Republic of Korea,13
115,Mark CHAN CHONG KIAT,Singapore,3
116,"Ezell, Qing Wei LOW (Current)",Singapore,2
117,Andre Ho JIN RUI (Current),Singapore,2
121,Jernej KRUDER (Current),Slovenia,8
122,Anze PEHARC (Current),Slovenia,6
123,Luka POTOCAR (Current),Slovenia,4
124,Joshua BRUYNS (Current),South Africa,9
125,Christopher COSSER (Current),South Africa,4
126,John-David MULLER (Current),South Africa,2
127,Erik NOYA CARDONA (Current),Spain,23
128,Javier CANO BLAZQUEZ,Spain,14
129,Jonatan FLOR VAZQUEZ,Spain,10
130,Hannes PUMAN (Current),Sweden,7
131,Said BELHAJ,Sweden,1
132,Max BOHOLM,Sweden,1
133,Sascha LEHMANN (Current),Switzerland,6
134,Dimitri VOGT (Current),Switzerland,3
135,Andreas LEEMANN,Switzerland,1
136,Chia Hsiang LIN (Current),Taiwan,2
137,Chia hsiang LIN (Current),Taiwan,2
138,Jiun-jie TZENG,Taiwan,2
139,Ardch INTRACHUPONGSE (Current),Thailand,4
140,Aphiwit LIMPANICHPAKDEE (Current),Thailand,3
141,Terdpol ARTAUI,Thailand,2
142,Ti̇mur TAŞ (Current),Turkey,1
143,Hasan MENSUR (Current),Turkey,1
144,Tarim MEHMET ALİ (Current),Turkey,1
145,Danyil BOLDYREV (Current),Ukraine,48
146,Kostiantyn PAVLENKO (Current),Ukraine,35
147,Maksym STYENKOVYY,Ukraine,32
148,Rafe STOKES (Current),United Kingdom,9
149,Matthew FALL (Current),United Kingdom,7
150,William BOSI,United Kingdom,7
151,John BROSLER (Current),United States of America,28
152,Noah BRATSCHI (Current),United States of America,26
153,Samuel WATSON (Current),United States of America,20
