,Athlete,Country,NumWCups
1,Edyta ROPEK,Poland,86
2,Anouck JAUBERT,France,55
3,Mariia KRASAVINA,Russia,53
4,Klaudia BUCZEK,Poland,51
5,Anna BROZEK (Current),Poland,50
6,Valentina YURINA,Russia,49
7,Iuliia KAPLINA,Russia,48
8,Patrycja CHUDZIAK (Current),Poland,46
9,Aleksandra MIROSLAW (Current),Poland,45
10,Aurelia SARISSON (Current),France,45
11,Anna STENKOVAYA,Russia,42
12,Monika PROKOPIUK,Poland,40
13,Olena RYEPKO,Ukraine,40
14,Anna TSYGANOVA,Russia,39
15,Victoire ANDRIER (Current),France,37
16,Cuilian HE,China,36
17,Yuliya LEVOCHKINA,Russia,34
18,Andrea ROJAS (Current),Ecuador,33
19,Alla MARENYCH,Ukraine,32
20,Alina GAIDAMAKINA,Russia,32
21,Natalia KALUCKA (Current),Poland,30
22,Mayya PIRATINSKAYA,Russia,30
23,Tatiana RUYGA,Russia,28
24,Elena TIMOFEEVA,Russia,26
25,Aleksandra KALUCKA (Current),Poland,25
26,Di NIU (Current),China,24
27,Alexandra ELMER,Austria,24
28,Nina LACH,Austria,24
29,Lucelia BLANCO,Venezuela (Bolivarian Republic of),24
30,Capucine VIGLIONE (Current),France,23
31,Lijuan DENG (Current),China,22
32,Giulia RANDI (Current),Italy,21
33,Kseniia ALEKSEEVA,Russia,21
34,Olga ZAKHAROVA,Ukraine,21
35,Svitlana TUZHYLINA,Ukraine,21
36,Sophia CURCIO (Current),United States of America,20
37,Karin HAYASHI (Current),Japan,20
38,Beatrice COLLI (Current),Italy,19
39,Emma HUNT (Current),United States of America,19
40,Rajiah SALLSABILLAH (Current),Indonesia,19
41,Anastasiya SAVISKO,Ukraine,19
42,Piper KELLY (Current),United States of America,18
43,Xuhua PAN,China,18
44,Olesya SAULEVICH,Russia,18
45,Jimin JEONG (Current),Republic of Korea,17
46,Assel MARLENOVA (Current),Kazakhstan,17
47,Hung ying LEE (Current),Taiwan,17
48,Tamara ULZHABAYEVA (Current),Kazakhstan,16
49,Lamu RENQING,China,16
50,Stefanie PICHLER,Austria,16
51,Zosia PODGORBOUNSKIKH,Russia,16
52,Francis RODRIGUEZ,Venezuela (Bolivarian Republic of),16
53,Desak MADE RITA KUSUMA DEWI (Current),Indonesia,15
54,Fumika KAWAKAMI (Current),Japan,15
55,Mingwei NI,China,15
56,Elizaveta IVANOVA,Russia,15
57,Olga EVSTIGNEEVA,Russia,15
58,Yiling SONG,China,15
59,Margot HEITZ,France,15
60,Kseniya POLEKHINA,Russia,15
61,Shaoqin ZHANG (Current),China,14
62,Sarah TETZLAFF (Current),New Zealand,14
63,Tetiana KOLKOTINA,Ukraine,14
64,Chunhua LI,China,14
65,Elisabetta DALLA BRIDA,Italy,14
66,Elena REMIZOVA,Russia,14
67,Hanareum SUNG (Current),Republic of Korea,13
68,Isis ROTHFORK (Current),United States of America,13
69,Franziska RITTER (Current),Germany,13
70,Shengyan WANG (Current),China,13
71,Grace CROWLEY (Current),Australia,13
72,Elma FLEURET,France,13
73,Aries SUSANTI RAHAYU,Indonesia,13
74,Yafei ZHOU (Current),China,12
75,Mi YANG (Current),China,12
76,Nurul IQAMAH (Current),Indonesia,12
77,Akiyo NOGUCHI,Japan,12
78,Svetlana MOTOVILOVA,Russia,12
79,Olena OSTAPENKO,Ukraine,12
80,Evi NELIWATI,Indonesia,12
81,Tamara KUZNETSOVA,Kazakhstan,12
82,Alannah YIP (Current),Canada,12
83,Julia KOCH (Current),Germany,11
84,Valeria MACIAS FERREIRA (Current),Mexico,11
85,Leslie Adriana ROMERO PÉREZ (Current),Spain,11
86,Wangmu RENZENG,China,11
87,Renata PISZCZEK,Poland,11
88,Iuliia PANTELEEVA,Russia,11
89,Rong JIANG,China,11
90,Iqamah NURUL,Indonesia,11
91,Natalia TITOVA,Russia,11
92,Liberty RUNNELS (Current),United States of America,10
93,Heeju NOH (Current),Republic of Korea,10
94,Natsumi HAYASHI (Current),Japan,10
95,Callie CLOSE (Current),United States of America,10
96,Alejandra CONTRERAS (Current),Chile,10
97,Janja GARNBRET (Current),Slovenia,10
98,Daria KAN,Russia,10
99,Silvia PORTA,Italy,10
100,Heloïse DOUMONT (Current),Belgium,10
101,Futaba ITO (Current),Japan,10
102,Puji LESTARI,Indonesia,10
103,Jessica PILZ (Current),Austria,10
104,Agung ethi HENDRAWATI,Indonesia,10
105,Cuifang HE,China,10
106,Esther BRUCKNER,France,10
107,Agnese FIORIO (Current),Italy,9
108,Manon LEBON (Current),France,9
109,Erica VELEV (Current),Canada,9
110,Mia KRAMPL (Current),Slovenia,9
111,Ekaterina BARASHCHUK,Russia,9
112,Valentina AGUADO (Current),Argentina,9
113,Petra KLINGLER (Current),Switzerland,9
114,Nataliya PERLOVA,Ukraine,9
115,Elena KRASOVSKAYA,Russia,9
116,Farnaz ESMAEILZADEH,Iran (Islamic Republic of),9
117,Oleksandra BUD GUSAIM,Ukraine,9
118,Svetlana SUTKINA,Russia,9
119,Sara MORANDI,Italy,9
120,Lai-sho CHENG,"China, Hong Kong Special Administrative Region",9
121,Susan NURHIDAYAH (Current),Indonesia,8
122,Puja LESTARI (Current),Indonesia,8
123,Anna BALARSHINA (Current),Kazakhstan,8
124,Alivany VER KHADIJAH (Current),Indonesia,8
125,Guizhen XIE (Current),China,8
126,Lison GAUTRON (Current),France,8
127,Nawoo CHOI (Current),Republic of Korea,8
128,Haruka KANETANI (Current),Japan,8
129,Ai TAKEUCHI (Current),Japan,8
130,Julia CHANOURDIE (Current),France,8
131,Laura ROGORA (Current),Italy,8
132,Kyra CONDIE (Current),United States of America,8
133,Miho NONAKA (Current),Japan,8
134,Giorgia RANDI,Italy,8
135,Chloe CAULIER (Current),Belgium,8
136,Jain KIM (Current),Republic of Korea,8
137,HaiMei QIU,China,8
138,Ekaterina BOYARSKIKH,Russia,8
139,Olga BEZHKO,Ukraine,8
140,Olga MOROZKINA,Russia,8
141,Lucie HROZOVA,Czechia,8
142,Eliska KARESOVA,Czechia,8
143,Carla MARTÍNEZ VIDAL (Current),Spain,7
144,Dasom YUN (Current),Republic of Korea,7
145,Yufang XIE (Current),China,7
146,Hana KRIZOVA,Czechia,7
147,Yang WANG,China,7
148,Santi WELLYANTI,Indonesia,7
149,Supita TITA,Indonesia,7
150,Fanny GIBERT (Current),France,7
151,Olga OCHTCHEPKOVA,Russia,7
152,Kristina NILSSON,Sweden,7
153,Ashima SHIRAISHI,United States of America,7
154,Mahya DARABIAN (Current),Iran (Islamic Republic of),6
155,Jorja RANGI (Current),New Zealand,6
156,Jimin HWANG (Current),Republic of Korea,6
157,Abby GEBERT (Current),New Zealand,6
158,Shivpreet PANNU (Current),India,6
159,María fernanda HIDALGO AMEZQUITA (Current),Mexico,6
160,Margarita AGAMBAYEVA (Current),Kazakhstan,6
161,Isabel GIFFORD,United States of America,6
162,Azam KARAMI,Iran (Islamic Republic of),6
163,Natalia NOVIKOVA,Russia,6
164,Rebecca FRANGOS (Current),Canada,6
165,Francesca VASI,Italy,6
166,Oceania MACKENZIE (Current),Australia,6
167,Anna KOLOKOVSKA,Ukraine,6
168,Katharina SAURWEIN,Austria,6
169,Margarita RYZHKOVA,Russia,6
170,Peiyang TIAN,China,6
171,Rosmery DA SILVA,Venezuela (Bolivarian Republic of),6
172,Yuetong ZHANG (Current),China,6
173,Sandra LETTNER (Current),Austria,6
174,Yana CHERESHNEVA,Russia,6
175,Mengli ZHANG (Current),China,5
176,Anahí RIVEROS (Current),Chile,5
177,Yena PI (Current),Republic of Korea,5
178,Tegwen OATES (Current),South Africa,5
179,Yuju MOU (Current),China,5
180,Abigail RUANO (Current),Ecuador,5
181,Nuria BROCKFELD,Germany,5
182,Laura STÖCKLER,Austria,5
183,María LABORDA SAGASTE,Spain,5
184,Kseniia PETROVA,Russia,5
185,Brooke RABOUTOU (Current),United States of America,5
186,Yuzhen BAIMA,China,5
187,Zhuoma PUBU,China,5
188,Elena OVTCHINNIKOVA,United States of America,5
189,Martina ZANETTI,Italy,5
190,Andrea KÜMIN (Current),Switzerland,5
191,Sari AGUSTINA,Indonesia,5
192,Margaryta ZAKHAROVA,Ukraine,5
193,Syafiiyah DHORIFATUS,Indonesia,5
194,Anna MYLNIKOVA,Russia,5
195,Dinara FAKHRITDINOVA,Russia,5
196,Aliya ISKAKOVA,Kazakhstan,5
197,Anastasiia GOLIKOVA,Russia,5
198,Sienna KOPF,United States of America,5
199,Emily PHILLIPS,United Kingdom,5
200,Sol SA (Current),Republic of Korea,5
201,Viktoriia MESHKOVA,Russia,5
202,Lucka RAKOVEC (Current),Slovenia,5
203,Daria TKACHOVA (Current),Ukraine,4
204,Narda Mutia AMANDA (Current),Indonesia,4
205,Ren KOYAMATSU (Current),Japan,4
206,Kaitlyn BONE (Current),United States of America,4
207,Arantza FERNÁNDEZ GUTIERREZ (Current),Mexico,4
208,Youjin CHA (Current),Republic of Korea,4
209,Kobra LAKZAIIFAR,Iran (Islamic Republic of),4
210,Wangmu GESANG,China,4
211,Giulia FOSSALI,Italy,4
212,Mi-sun GO,Republic of Korea,4
213,Lenka TRNKOVA,Czechia,4
214,Anne-sophie KOLLER (Current),Switzerland,4
215,Alma BESTVATER (Current),Germany,4
216,Mei KOTAKE (Current),Japan,4
217,Tiffany MELIUS,Australia,4
218,Sofya YOKOYAMA (Current),Switzerland,4
219,Maggie HAMMER,United States of America,4
220,Urska REPUSIC,Slovenia,4
221,Mulyani MUDJI,Indonesia,4
222,Nanako KURA (Current),Japan,4
223,Risa OTA (Current),Japan,4
224,Radiana MANEVA,Bulgaria,4
225,Natalia BARANOVA,Russia,4
226,Iwona GRONKIEWICZ-MARCISZ,Poland,4
227,Olena SHEREMETYEVA,Ukraine,4
228,Jessica MORANDI,Italy,4
229,Li-ping HUANG,China,4
230,Yulia VAYTSEKHOVSKAYA,Russia,4
231,Venera CHERESHNEVA,Russia,4
232,Virgita NADYA PUTRI,Indonesia,4
233,Natsumi HIRANO (Current),Japan,4
234,Ai MORI (Current),Japan,4
235,Mao NAKAMURA (Current),Japan,4
236,Vera ZIJLSTRA,Netherlands,4
237,Margo HAYES,United States of America,4
238,Ievgeniia KAZBEKOVA (Current),Ukraine,4
239,Nataliia STEPANOVA,Russia,4
240,Fitriyani FITRIYANI,Indonesia,4
241,Elnaz REKABI (Current),Iran (Islamic Republic of),4
242,Shixue MENG (Current),China,3
243,Yumei QIN (Current),China,3
244,Aniya HOLDER (Current),South Africa,3
245,Xinyue SHI (Current),China,3
246,Seoyeon PARK (Current),Republic of Korea,3
247,Sofia BELLESINI (Current),Italy,3
248,Polina KULAGINA,Russia,3
249,Weiling YANG,China,3
250,Erica MEISTER,United States of America,3
251,Yulia INOZEMTSEVA,Russia,3
252,Yulia ABRAMCHUK,Russia,3
253,Giorgia TESIO (Current),Italy,3
254,Stasa GEJO (Current),Serbia,3
255,Jara SPÄTE,Switzerland,3
256,Charlotte DURIF,France,3
257,Alexandra ZHIZNEVSKAYA,Kazakhstan,3
258,Miu KURITA,Japan,3
259,GuiZhen XIE,China,3
260,Manon HILY (Current),France,3
261,Puntarika TUNYAVANICH (Current),Thailand,3
262,Pankaew PLYPOOLSUP,Thailand,3
263,Grace MCKEEHAN,United States of America,3
264,Yana LUGOVENKO,Ukraine,3
265,Malgorzata RUDZINSKA,Poland,3
266,Karina MIROSLAW,Poland,3
267,Olga GAVRILOVA,Russia,3
268,Giulia MEDICI (Current),Italy,3
269,Luiza EMELEVA,Russia,3
270,Claire BUHRFEIND,United States of America,3
271,Nataliy PASHENNIK,Russia,3
272,Gui-ying LIU,China,3
273,Sheng-ju WEI,China,3
274,Dinara IRSALIYEVA,Kazakhstan,3
275,Anna GALLYAMOVA,Russia,3
276,Galina TERENTEVA,Russia,3
277,Olga BIBIK,Russia,3
278,Isabell HAAG,Germany,3
279,Monika PROKOPIUK-KAWECKA,Poland,3
280,Salsabila SALSABILA,Indonesia,3
281,Wai-ping YU,"China, Hong Kong Special Administrative Region",3
282,Vita LUKAN (Current),Slovenia,3
283,Katja KADIC,Slovenia,3
284,Choirul UMI CAHYANING AYUB,Indonesia,3
285,Ekaterina KOROLKOVA,Russia,3
286,Dan ZHANG,China,3
287,Shauna COXSEY,United Kingdom,3
288,Shun-yuk CHOI,"China, Hong Kong Special Administrative Region",3
289,Yuyun YUNIAR,Indonesia,3
290,Alison STEWART-PATTERSON,Canada,3
291,Yana MALKOVA,Russia,3
292,Amanda SPEED,New Zealand,3
293,Afra HÖNIG (Current),Germany,3
294,Chaehyun SEO (Current),Republic of Korea,3
295,Lan KIM,Republic of Korea,3
296,Adi Asih KADEK (Current),Indonesia,2
297,Ava HAMILTON (Current),United Kingdom,2
298,Lily NGUYEN (Current),United States of America,2
