,Athlete,Country,NumWCups
1,Evgenii VAITSEKHOVSKII,Russia,72
2,Libor HROZA,Czechia,68
3,Sergei SINITCYN,Russia,68
4,Stanislav KOKORIN,Russia,68
5,Marcin DZIENSKI (Current),Poland,66
6,Ludovico FOSSALI (Current),Italy,52
7,Qixin ZHONG,China,50
8,Guillaume MORO (Current),France,48
9,Danyil BOLDYREV (Current),Ukraine,48
10,Leonardo GONTERO,Italy,47
11,Bassa MAWEM (Current),France,45
12,Reza ALIPOUR SHENAZANDIFARD (Current),Iran (Islamic Republic of),44
13,Csaba KOMONDI,Hungary,41
14,Gian Luca ZODDA (Current),Italy,40
15,Lukasz SWIRK,Poland,40
16,Jedrzej KOMOSINSKI,Poland,38
17,Alexander PESHEKHONOV,Russia,38
18,Tomasz OLEKSY,Poland,36
19,Kostiantyn PAVLENKO (Current),Ukraine,35
20,Dmitrii TIMOFEEV,Russia,35
21,Sean MCCOLL (Current),Canada,35
22,Amir MAIMURATOV (Current),Kazakhstan,32
23,Jan KRIZ (Current),Czechia,32
24,Aleksandr SHIKOV,Russia,32
25,Maksym STYENKOVYY,Ukraine,32
26,Aleksandr SHILOV,Russia,31
27,Lukas KNAPP (Current),Austria,30
28,Vladislav DEULIN,Russia,30
29,Arsenii SHEVCHENKO,Russia,30
30,John BROSLER (Current),United States of America,28
31,Noah BRATSCHI (Current),United States of America,27
32,Alfian MUHAMMAD FAJRI (Current),Indonesia,27
33,Iakov SOUBBOTINE,Russia,25
34,Erik NOYA CARDONA (Current),Spain,24
35,Alessandro SANTONI,Italy,24
36,Sergey ABDRAKHMANOV,Russia,23
37,Veddriq LEONARDO (Current),Indonesia,22
38,Manuel ESCOBAR,Venezuela (Bolivarian Republic of),22
39,Samuel WATSON (Current),United States of America,21
40,Linus BADER (Current),Germany,21
41,Pierre REBREYEND (Current),France,21
42,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",21
43,Alexander KOSTERIN,Russia,21
44,Shuto FUJINO (Current),Japan,20
45,Rishat KHAIBULLIN (Current),Kazakhstan,20
46,Carlos GRANJA (Current),Ecuador,20
47,Maksym OSIPOV,Ukraine,20
48,Yongjun JUNG (Current),Republic of Korea,19
49,Ryo OMASA (Current),Japan,19
50,Kiromal KATIBIN (Current),Indonesia,19
51,Zach HAMMER (Current),United States of America,19
52,Yaroslav TKACH (Current),Ukraine,19
53,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",19
54,Arsenii BOGOMOLOV,Russia,19
55,Chi-wai LAI,"China, Hong Kong Special Administrative Region",19
56,Aspar JAELOLO,Indonesia,19
57,Jianguo LONG (Current),China,18
58,Sebastian LUCKE (Current),Germany,18
59,Yaroslav GONTARYK,Ukraine,18
60,Leonel DE LAS SALAS,Venezuela (Bolivarian Republic of),18
61,Ethan PITCHER (Current),Canada,17
62,Penghui LIN,China,17
63,Alisher MURAT (Current),Kazakhstan,16
64,Matteo ZURLONI (Current),Italy,16
65,Tobias PLANGGER (Current),Austria,16
66,Jinbao LONG (Current),China,16
67,Liang ZHANG (Current),China,16
68,Isaac ESTEVEZ (Current),Ecuador,16
69,Michael FINN-HENRY (Current),Canada,16
70,Michael FINN-HENRY (Current),United States of America,16
71,Alexandre CHAOULSKY,Russia,16
72,Salah BOULBAHAIEM,Belgium,16
73,Alessandro BOULOS (Current),Italy,15
74,Leander CARMANNS (Current),Germany,15
75,Long CAO (Current),China,15
76,Quentin NAMBOT,France,15
77,Zhiyong OU,China,15
78,Ivan SHYSHKOVSKYY,Ukraine,15
79,Michel SIROTTI,Italy,15
80,Stefano GHISOLFI (Current),Italy,15
81,Yongsu LEE (Current),Republic of Korea,14
82,Jun YASUKAWA (Current),Japan,14
83,Rafal HALASA,Poland,14
84,Javier CANO BLAZQUEZ (Current),Spain,14
85,Vladislav BARANOV,Russia,14
86,Yufei PAN (Current),China,14
87,Alexei GADEEV,Russia,14
88,Viacheslav VEDENCHUK,Russia,14
89,Kevin AMON (Current),Austria,13
90,Aspar ASPAR (Current),Indonesia,13
91,Euncheol SHIN (Current),Republic of Korea,13
92,Ning ZHANG,China,13
93,Jakob SCHUBERT (Current),Austria,13
94,Yoann LE COUSTER,France,13
95,Marat SADYROV,Russia,13
96,Ivan KAUROV,Russia,13
97,Julian DAVID (Current),New Zealand,12
98,Beknur ALTYNBEKOV (Current),Kazakhstan,12
99,Minsu KANG (Current),Republic of Korea,12
100,Michael PICCOLRUAZ (Current),Italy,12
101,Tomoa NARASAKI (Current),Japan,12
102,Jan HOJER,Germany,12
103,Hanwool KIM (Current),Republic of Korea,12
104,Vladimir ZAKHAROV,Ukraine,12
105,Vladimir NETSVETAEV-DOLGALEV,Russia,12
106,Kokoro FUJII (Current),Japan,12
107,Lincai ZHONG,China,12
108,Zufar NIGMANOV,Russia,12
109,Gyula JUHASZ,Hungary,12
110,Nestor CARVAJAL,Venezuela (Bolivarian Republic of),12
111,Luca ROBBIATI (Current),Italy,11
112,Peng WU (Current),China,11
113,Rahmad ADI MULYONO (Current),Indonesia,11
114,Yudai IKEDA (Current),Japan,11
115,Zainal ARIPIN (Current),Indonesia,11
116,Kai HARADA,Japan,11
117,Michal LEWICKI,Poland,11
118,Stanislao ZAMA,Italy,11
119,Georgy ARTAMONOV,Russia,11
120,Jinxin LI,China,11
121,Nicolas COLLIN (Current),Belgium,11
122,Oleksiy YURKO,Ukraine,11
123,Artyom DEVYATERIKOV (Current),Kazakhstan,11
124,Jiri SVACHA,Czechia,11
125,Joshua BRUYNS (Current),South Africa,10
126,Merritt ERNSBERGER (Current),United States of America,10
127,Xinshang WANG (Current),China,10
128,Quinn O'FRANCIA (Current),United States of America,10
129,Joe GOODACRE,United States of America,10
130,Mickael MAWEM (Current),France,10
131,Yevgen KRYVOSHEYTSEV,Ukraine,10
132,Jonatan FLOR VAZQUEZ,Spain,10
133,Yulianto ABUDZAR,Indonesia,10
134,Jungju KIM,Republic of Korea,10
135,Oleksandr SALIMOV,Ukraine,10
136,Dmitrii SHARAFUTDINOV,Russia,10
137,Anatoly SKRIPOV,Russia,10
138,Valeriy VOROBYEV,Russia,10
139,Damir TOKTAROV (Current),Kazakhstan,9
140,Dylan LE (Current),Canada,9
141,Cheuk-Nam WONG (Current),"China, Hong Kong Special Administrative Region",9
142,Rafe STOKES (Current),United States of America,9
143,Rafe STOKES (Current),United Kingdom,9
144,Pangeran SEPTO WIBOWO SIBURIAN (Current),Indonesia,9
145,Sabri SABRI (Current),Indonesia,9
146,Hinayah MUHAMMAD (Current),Indonesia,9
147,Alessandro CINGARI,Italy,9
148,Lev RUDATSKIY,Russia,9
149,Andrey VEDENMEER,Ukraine,9
150,Artem KHABIBULLIN,Russia,9
151,Yoshiyuki OGATA (Current),Japan,9
152,Manuel CORNU (Current),France,9
153,Robert STEWART-PATTERSON,Canada,9
154,Sungjoon CHAE (Current),Republic of Korea,9
155,Alexandre SERGEYEV (LIACHENKO),Russia,9
156,Lucas PRETI,Italy,9
157,Ivan NOVIKOV,Russia,9
158,Jongbin CHOI (Current),Republic of Korea,8
159,Lawrence BOGESCHDORFER (Current),Austria,8
160,Raharjati NURSAMSA (Current),Indonesia,8
161,Darren SKOLNIK (Current),United States of America,8
162,Seungbeom LEE (Current),Republic of Korea,8
163,Alexander MEGOS (Current),Germany,8
164,Yuhang ZHANG,China,8
165,Zida MA,China,8
166,Sergio PASTOR MARTÍNEZ,Spain,8
167,Matthias ERBER,Austria,8
168,Rudolph RUANA,United States of America,8
169,Simon LORENZI (Current),Belgium,8
170,Jernej KRUDER (Current),Slovenia,8
171,Alexey MOLCHANOV,Kazakhstan,8
172,Sergei LUZHETSKII,Russia,8
173,Anton POLIAKOV,Russia,8
174,Evgueni MINATCHEV,Russia,8
175,Dmytro KONOVALOV,Ukraine,8
176,Mark AMANN,Austria,8
177,Xiaojie CHEN,China,8
178,Marcello BOMBARDI (Current),Italy,8
179,Valentin STERNIK (Current),Argentina,7
180,Dingfeng ZHANG (Current),China,7
181,Ben JENNINGS (Current),United States of America,7
182,Aodhan UMLAUF (Current),Germany,7
183,Aidan GODDARD (Current),United States of America,7
184,Flynn CHISHOLM (Current),New Zealand,7
185,Deepu MALLESH (Current),India,7
186,Matthew FALL (Current),United Kingdom,7
187,Minhui WANG (Current),China,7
188,Nathaniel COLEMAN (Current),United States of America,7
189,Máté GÁL,Hungary,7
190,Zhixuan CHEN,China,7
191,Morteza MOHAMMADI,Iran (Islamic Republic of),7
192,Cristian DORIGATTI,Italy,7
193,Andrei KRIVONOS,Ukraine,7
194,Lukasz MÜLLER,Poland,7
195,Alexandr PAUKAEV,Ukraine,7
196,Nimrod MARCUS (Current),Israel,7
197,William BOSI,United Kingdom,7
198,Josh LEVIN,United States of America,7
199,Evgeny ASTASHKIN,Russia,7
200,Keita DOHI,Japan,7
201,Artem SAVELYEV,Russia,7
202,Josmar NIEVES,Venezuela (Bolivarian Republic of),7
203,Yannick FLOHÉ (Current),Germany,7
204,Guangpu LI,China,7
205,Sergey RUKIN,Russia,7
206,Hannes PUMAN (Current),Sweden,7
207,David FIRNENBURG,Germany,7
208,Nicolas JANUEL,France,7
209,Shouhong CHU (Current),China,6
210,Hryhorii ILCHYSHYN (Current),Ukraine,6
211,Jérôme MOREL (Current),France,6
212,Pedro EGG (Current),Brazil,6
213,Jingjie HUANG (Current),China,6
214,Marius PAYET GABORIAUD (Current),France,6
215,Matvey YESSIPOV (Current),Kazakhstan,6
216,Richard LI (Current),United States of America,6
217,Taeung MOON (Current),Republic of Korea,6
218,Nickolaie RIVADENEIRA,Ecuador,6
219,Zhaxi BIANBA,China,6
220,Seungwoon CHO,Republic of Korea,6
221,Igor GUSAK,Ukraine,6
222,Haibin QU,China,6
223,Eric LOPEZ MATEOS,Spain,6
224,Cesar GROSSO,Brazil,6
225,Yurong DUAN,China,6
226,Sufriyanto RINDI,Indonesia,6
227,Tomasz SORDYL,Poland,6
228,Loïc TIMMERMANS,Belgium,6
229,Sascha LEHMANN (Current),Switzerland,6
230,Volodymyr ZINCHENKO,Ukraine,6
231,Alexei ZEMSKI,Russia,6
232,Attila BARTHA,Hungary,6
233,Alimzhan MYRZABEKOV,Kazakhstan,6
234,Arman TER-MINASYAN,Russia,6
235,Aleksei PORTSEV,Russia,6
236,Gianluca SIROTTI,Italy,6
237,Fatchur ROJI,Indonesia,6
238,Danny VALENCIA,Ecuador,6
239,Nikolai IARILOVETS,Russia,6
240,Jongwon CHON (Current),Republic of Korea,6
241,Anze PEHARC (Current),Slovenia,6
242,Sylvain CHAPELLE,France,6
243,Andrew GOODALL (Current),United Kingdom,5
244,Luke TURNER (Current),United Kingdom,5
245,Yu LIN (Current),China,5
246,Motonori TABUCHI (Current),Japan,5
247,Kazuki TANII (Current),Japan,5
248,Giga JANKHOTELI (Current),Georgia,5
249,Yann LE CLERCQ DE LANNOY (Current),France,5
250,Ayumu MITA,Japan,5
251,Hajime TAKEDA,Japan,5
252,Ehsan ASRAR,Iran (Islamic Republic of),5
253,Hamidreza TOOZANDEHJANI,Iran (Islamic Republic of),5
254,Dichong HUANG,China,5
255,Sergio VERDASCO URIZAL,Spain,5
256,Fedir SAMOILOV,Ukraine,5
257,Yaroslav TOPAL,Ukraine,5
258,Kostiantyn PODCHESOV,Ukraine,5
259,Alban LEVIER,France,5
260,Nikita DEVYATERIKOV,Kazakhstan,5
261,Vaginak SIREKANYAN,Russia,5
262,Jiacuo SUOLANG,China,5
263,Fengqi WANG,China,5
264,Ka-Chun YAU (Current),"China, Hong Kong Special Administrative Region",5
265,Hetai MA,China,5
266,Meichi NARASAKI (Current),Japan,5
267,Francesco VETTORATA,Italy,5
268,Zach GALLA (Current),United States of America,5
269,Nurrahman ROSYID,Indonesia,5
270,Mikhail CHERNIKOV,Russia,5
271,Jinyong JO (Current),Republic of Korea,4
272,Milad ALIPOURSHENAZANDIFARD (Current),Iran (Islamic Republic of),4
273,Michael HOM (Current),United States of America,4
274,Nasser ABU ERGEEB (Current),Kuwait,4
275,Zechuan SHI (Current),China,4
276,Andrés ALENCASTER (Current),Mexico,4
