,Athlete,Country,NumWCups
0,Valentina AGUADO (Current),Argentina,60
1,Zoe GARCIA MOLINA (Current),Argentina,7
2,Rocio ailen BECERRA (Current),Argentina,6
3,Oceania MACKENZIE (Current),Australia,47
4,Lucinda ann STIRLING,Australia,26
5,Samantha BERRY,Australia,25
6,Barbara BACHER,Austria,161
7,Katharina SAURWEIN,Austria,119
8,Jessica PILZ (Current),Austria,98
15,Muriel SARKANY,Belgium,95
16,Chloe CAULIER (Current),Belgium,87
17,Chloé GRAFTIAUX,Belgium,52
18,Antonieta Esmeralda PARRA VEIZAGA (Current),Bolivia (Plurinational State of),1
19,Janine CARDOSO,Brazil,20
20,Bianca DE MAGALHAES DE CASTRO (Current),Brazil,17
21,Anja KÖHLER  (Current),Brazil,11
22,Aleksandra TOTKOVA (Current),Bulgaria,29
23,Ina DZHAMBAZOVA,Bulgaria,9
24,Petya GARBOVA,Bulgaria,7
25,Vinnith IM (Current),Cambodia,4
26,Alannah YIP (Current),Canada,71
27,Rebecca FRANGOS (Current),Canada,44
28,Babette ROY (Current),Canada,22
29,Alejandra CONTRERAS (Current),Chile,40
30,Ignacia MELLADO QUINTEROS (Current),Chile,12
31,Muykuay SILVA (Current),Chile,11
32,Yuetong ZHANG (Current),China,46
33,Lamu RENQING,China,45
34,Rong JIANG,China,45
35,Hiu ying LIU,"China, Hong Kong Special Administrative Region",15
36,Tseng-Shun WONG (Current),"China, Hong Kong Special Administrative Region",14
37,Shun-yuk CHOI,"China, Hong Kong Special Administrative Region",11
38,Si Wan LEI (Current),"China, Macao Special Administrative Region",6
39,Pak Chi SOU (Current),"China, Macao Special Administrative Region",2
40,Ka Kei CHU (Current),"China, Macao Special Administrative Region",2
41,Sofia PARRADO (Current),Colombia,4
42,Anja SANTINI MIKULIĆ (Current),Croatia,5
43,Sandra BAKULIC,Croatia,5
44,Karla ZRINSKI (Current),Croatia,3
45,Silvie RAJFOVA,Czechia,37
46,Michaela SMETANOVA (Current),Czechia,33
47,Vera KOTASOVA-KOSTRUHOVA,Czechia,32
51,Andrea ROJAS (Current),Ecuador,48
52,Abigail RUANO (Current),Ecuador,5
53,Carolina ROSERO,Ecuador,5
54,Grecia daniela HERNANDEZ GUERRERO (Current),El Salvador,4
56,Laura LOIKAS (Current),Finland,13
57,Iris HEIKKINEN (Current),Finland,12
58,Anna LAITINEN,Finland,7
59,Sandrine LEVET,France,86
60,Hélène JANICOT (Current),France,81
61,Fanny GIBERT (Current),France,80
65,Juliane WURM,Germany,61
66,Afra HÖNIG (Current),Germany,50
67,Alma BESTVATER (Current),Germany,49
68,Danai VALSAMIDI (Current),Greece,7
69,Evdoxia-aikaterini KALLIA (Current),Greece,4
70,Evdoxia - aikaterini KALLIA,Greece,3
71,Kylie BAKER (Current),Guam,2
72,Victoria YSRAEL (Current),Guam,1
76,Iris pamela DURON ANTONIO (Current),Honduras,4
77,Astridt Alexandra VIDES ZERON (Current),Honduras,1
81,Svana BJARNASON (Current),Iceland,16
82,Lukka Mörk BLOMSTERBERG (Current),Iceland,4
83,Agnes Matthildur FOLKMANN (Current),Iceland,1
84,Prateeksha ARUN (Current),India,8
85,Shivpreet PANNU (Current),India,7
86,Anisha VERMA (Current),India,2
87,Rajiah SALLSABILLAH (Current),Indonesia,22
88,Aries SUSANTI RAHAYU,Indonesia,22
89,Iqamah NURUL,Indonesia,20
90,Elnaz REKABI (Current),Iran (Islamic Republic of),24
91,Farnaz ESMAEILZADEH,Iran (Islamic Republic of),11
92,Mahya DARABIAN (Current),Iran (Islamic Republic of),8
93,Valeri KREMER (Current),Israel,44
94,Noa SHIRAN (Current),Israel,32
95,Ayala KEREM (Current),Israel,27
96,Jenny LAVARDA,Italy,156
97,Laura ROGORA (Current),Italy,72
98,Luisa IOVANE,Italy,62
99,Akiyo NOGUCHI,Japan,149
100,Yuka KOBAYASHI,Japan,89
101,Miho NONAKA (Current),Japan,85
102,Tamara KUZNETSOVA,Kazakhstan,23
103,Tamara ULZHABAYEVA (Current),Kazakhstan,20
104,Assel MARLENOVA (Current),Kazakhstan,20
105,Alise ZVIGULE,Latvia,6
106,Arta MATELSONE (Current),Latvia,4
107,Elza elizabete BARAKA,Latvia,3
112,Salfarina MOHD DRUS,Malaysia,3
113,Shareen MOHD NASRAN (Current),Malaysia,2
114,Sui Lin Renee TAN (Current),Malaysia,2
117,María fernanda HIDALGO AMEZQUITA (Current),Mexico,14
118,Valeria MACIAS FERREIRA (Current),Mexico,13
119,Arantza FERNÁNDEZ GUTIERREZ (Current),Mexico,7
125,Vera ZIJLSTRA,Netherlands,96
126,Nikki VAN BERGEN,Netherlands,51
127,Lynn VAN DER MEER (Current),Netherlands,32
128,Emma HAWKE,New Zealand,23
129,Sarah TETZLAFF (Current),New Zealand,22
130,Amanda SPEED,New Zealand,9
131,Tina johnsen HAFSAAS (Current),Norway,55
