,Athlete,Country,NumWCups
1,Sean MCCOLL (Current),Canada,175
2,Jakob SCHUBERT (Current),Austria,155
3,Ramón JULIAN PUIGBLANQUE,Spain,129
4,Jorg VERHOEVEN,Netherlands,122
5,Romain DESGRANGES,France,122
6,Jernej KRUDER (Current),Slovenia,114
7,Stefano GHISOLFI (Current),Italy,112
8,Klemen BECAN,Slovenia,110
9,Kilian FISCHHUBER,Austria,107
10,Marcello BOMBARDI (Current),Italy,100
11,Jan HOJER,Germany,97
12,Domen SKOFIC,Slovenia,96
13,Tomasz OLEKSY,Poland,96
14,Kokoro FUJII (Current),Japan,93
15,Luca ZARDINI,Italy,90
16,Yoshiyuki OGATA (Current),Japan,89
17,Tomoa NARASAKI (Current),Japan,85
18,Mikhail CHERNIKOV,Russia,81
19,Martin STRANIK (Current),Czechia,80
20,Tomás MRÁZEK,Czechia,80
21,Dmitrii SHARAFUTDINOV,Russia,80
22,Michael PICCOLRUAZ (Current),Italy,79
23,Nicolas COLLIN (Current),Belgium,78
24,Rustam GELMANOV,Russia,78
25,Jongwon CHON (Current),Republic of Korea,76
26,Marcin DZIENSKI (Current),Poland,75
27,David BARRANS,United Kingdom,75
28,Christian CORE,Italy,75
29,Matej SOVA,Slovenia,75
30,Sascha LEHMANN (Current),Switzerland,74
31,Luca GIUPPONI,Italy,73
32,Hannes PUMAN (Current),Sweden,72
33,Evgenii VAITSEKHOVSKII,Russia,72
34,Cédric LACHAT,Switzerland,72
35,Sergei SINITCYN,Russia,71
36,Flavio CRESPI,Italy,71
37,Sylvain MILLET,France,70
38,Christian BINDHAMMER,Germany,70
39,Christoph HANKE (Current),Germany,69
40,Mario LECHNER,Austria,69
41,Stanislav KOKORIN,Russia,69
42,Guillaume GLAIRON MONDET,France,69
43,Loïc TIMMERMANS,Belgium,68
44,Libor HROZA,Czechia,68
45,Salavat RAKHMETOV,Russia,68
46,Tsukuru HORI,Japan,67
47,Ludovico FOSSALI (Current),Italy,67
48,Adam ONDRA (Current),Czechia,67
49,Andreas BINDHAMMER,Germany,66
50,Sean BAILEY (Current),United States of America,65
51,Patxi USOBIAGA LAKUNZA,Spain,65
52,Javier CANO BLAZQUEZ,Spain,65
53,Aleksei RUBTSOV,Russia,64
54,Max RUDIGIER,Austria,64
55,Jabee KIM,Republic of Korea,64
56,Sachi AMMA,Japan,63
57,Jürgen REIS,Austria,63
58,Serik KAZBEKOV,Ukraine,63
59,Cristian BRENNA,Italy,63
60,Yannick FLOHÉ (Current),Germany,62
61,Sebastian HALENKE (Current),Germany,62
62,Gabriele MORONI (Current),Italy,62
63,Francesco VETTORATA,Italy,62
64,Jonas BAUMANN,Germany,62
65,Masahiro HIGUCHI (Current),Japan,61
66,Chi-Fung AU (Current),"China, Hong Kong Special Administrative Region",61
67,Gérome POUVREAU,France,61
68,Evgeny OVCHINNIKOV,Russia,61
69,François PETIT,France,61
70,Rei SUGIMOTO (Current),Japan,60
71,Yufei PAN (Current),China,60
72,Cheung-Chi Shoji CHAN (Current),"China, Hong Kong Special Administrative Region",59
73,Gautier SUPPER,France,59
74,Wouter JONGENEELEN,Netherlands,59
75,Magnus MIDTBOE,Norway,59
76,Martin BERGANT (Current),Slovenia,58
77,David CAUDE,France,58
78,François LEGRAND,France,58
79,Anze PEHARC (Current),Slovenia,57
80,Simon LORENZI (Current),Belgium,57
81,Qixin ZHONG,China,57
82,Yevgen KRYVOSHEYTSEV,Ukraine,57
83,Mickael MAWEM (Current),France,56
84,Alex KHAZANOV (Current),Israel,56
85,Alexandre CHABOT,France,56
86,Hyunbin MIN (Current),Republic of Korea,55
87,Loïc GAIDIOZ,France,55
88,Alexander MEGOS (Current),Germany,54
89,Manuel CORNU (Current),France,54
90,Manuel ROMAIN,France,54
91,Gareth PARRY,United Kingdom,54
92,Jérôme MEYER,France,54
93,Hanwool KIM (Current),Republic of Korea,53
94,Bassa MAWEM (Current),France,52
95,Casper TEN SIJTHOFF,Netherlands,52
96,Mykhaylo SHALAGIN,Ukraine,51
97,Daniel DU LAC,France,51
98,Igor GUSAK,Ukraine,51
99,Fedir SAMOILOV,Ukraine,50
100,Thomas TAUPORN,Germany,50
101,Leonardo GONTERO,Italy,50
102,Fabien DUGIT,France,50
103,Gregor VEZONIK (Current),Slovenia,49
104,Matthias MÜLLER,Switzerland,49
105,Michaël FUSELIER,France,49
106,Yuji HIRAYAMA,Japan,49
107,Danyil BOLDYREV (Current),Ukraine,48
108,Filip SCHENK (Current),Italy,47
109,Guillaume MORO (Current),France,47
110,Nimrod MARCUS (Current),Israel,47
111,Benjamin BLASER,Switzerland,47
112,Lucas PRETI,Italy,47
113,Ludovic LAURENCE,France,47
114,Thomas CALEYRON,France,47
115,Csaba KOMONDI,Hungary,46
116,Nicky DE LEEUW,Netherlands,46
117,Jeremy BONDER (Current),France,46
118,Sangwon SON,Republic of Korea,46
119,Mathieu DUTRAY,France,46
120,Elan JONASMCRAE,Canada,46
121,Tomaz VALJAVEC,Slovenia,46
122,Aljosa GROM,Slovenia,46
123,Philipp MARTIN (Current),Germany,45
124,Rolands RUGENS (Current),Latvia,45
125,Kai HARADA,Japan,45
126,Peter WÜRTH,Germany,45
127,Akito MATSUSHIMA,Japan,45
128,Eduard MARIN GARCIA,Spain,45
129,Ivan KAUROV,Russia,45
130,Meichi NARASAKI (Current),Japan,44
131,John BROSLER (Current),United States of America,44
132,Georg PARMA,Austria,44
133,Jurij GOLOB,Slovenia,44
134,Reza ALIPOUR SHENAZANDIFARD (Current),Iran (Islamic Republic of),43
135,Campbell HARRISON (Current),Australia,43
136,Stephane JULIEN,France,43
137,Alberto GNERRO,Italy,43
138,Luka POTOCAR (Current),Slovenia,42
139,Vadim VINOKUR,United States of America,42
140,Stefan DANKER,Germany,41
141,Lukas ENNEMOSER,Austria,41
142,Riccardo SCARIAN,Italy,41
143,Yuval SHEMLA (Current),Israel,41
144,Dimitri VOGT (Current),Switzerland,41
145,Tomoaki TAKATA (Current),Japan,41
146,Aleksandr SHIKOV,Russia,41
147,David LAMA,Austria,41
148,Kevin HEMUND,Switzerland,41
149,Remo SOMMER,Switzerland,41
150,Maksym PETRENKO,Ukraine,41
151,James POPE (Current),United Kingdom,40
152,Urban PRIMOZIC,Slovenia,40
153,Lukasz SWIRK,Poland,40
154,Alban LEVIER,France,40
155,Arman TER-MINASYAN,Russia,40
156,Markus HOPPE,Germany,39
157,Sam AVEZOU (Current),France,39
158,Kostiantyn PAVLENKO (Current),Ukraine,39
159,Jan KRIZ (Current),Czechia,39
160,Urh CEHOVIN,Slovenia,39
161,Martin JAGGI,Switzerland,39
162,Daniel ANDRADA JIMENEZ,Spain,39
163,Oscar BAUDRAND (Current),Canada,38
164,Alberto GINÉS LÓPEZ (Current),Spain,38
165,Nathaniel COLEMAN (Current),United States of America,38
166,Marco antonio JUBES ANGARITA,Spain,38
167,Eric LOPEZ MATEOS,Spain,38
168,Jedrzej KOMOSINSKI,Poland,38
169,David FIRNENBURG,Germany,38
170,Alexander PESHEKHONOV,Russia,38
171,Satone YOSHIDA (Current),Japan,37
172,Yuji FUJIWAKI (Current),Japan,37
173,Milan PRESKAR (Current),Slovenia,37
174,Mikel Asier LINACISORO MOLINA (Current),Spain,37
175,Kazuma WATANABE,Japan,37
176,Thomas JOANNES,France,37
177,Arnaud PETIT,France,37
178,Bernardino LAGNI,Italy,37
179,Colin DUFFY (Current),United States of America,36
180,Dohyun LEE (Current),Republic of Korea,36
181,Carlos GRANJA (Current),Ecuador,36
182,Haibin QU,China,36
183,Sergii TOPISHKO,Ukraine,36
184,Mauricio HUERTA,Mexico,36
185,Thomas BALLET,France,36
186,Jaha KIM,Republic of Korea,36
187,Andrzej MECHERZYNSKI-WIKTOR,Poland,35
188,Keita MOGAKI,Japan,35
189,Julien MERAL,France,35
190,Jure BECAN,Slovenia,35
191,Elie CHEVIEUX,Switzerland,35
192,Taisei HOMMA (Current),Japan,35
193,Ka-chun YAU (Current),"China, Hong Kong Special Administrative Region",35
194,Jan-Luca POSCH (Current),Austria,35
195,Nathan PHILLIPS,United Kingdom,35
196,Dmitrii TIMOFEEV,Russia,35
197,Stewart WATSON,United Kingdom,35
198,François AUCLAIR,France,35
199,Reinhard FICHTINGER,Austria,34
200,Stéphan JULIEN,France,34
201,Stefan SCARPERI,Italy,34
202,Jonatan FLOR VAZQUEZ,Spain,33
203,Ondrej SVUB,Slovakia,33
204,Maksym STYENKOVYY,Ukraine,33
205,Ram LEVIN (Current),Israel,33
206,Max KLEESATTEL (Current),Germany,33
207,Kevin HEINIGER,Switzerland,33
208,Tomas BINTER,Czechia,33
209,Jesse GRUPPER (Current),United States of America,32
210,Amir MAIMURATOV (Current),Kazakhstan,32
211,Gian luca ZODDA (Current),Italy,32
212,William RIDAL,United Kingdom,32
213,Martin TEKLES,Germany,32
214,Andre BOROWKA,Germany,32
215,Zida MA,China,32
216,Minoru NAKANO,Japan,32
217,Yuki HADA,Japan,32
218,Andrej CHRASTINA,Slovakia,32
219,Simon WANDELER,Switzerland,32
220,Mathias CONRAD,Germany,32
221,Jean-baptiste TRIBOUT,France,32
222,François LOMBARD,France,31
223,Felipe HO FOGANHOLO (Current),Brazil,31
224,Nino GRÜNENFELDER (Current),Switzerland,31
225,William BOSI,United Kingdom,31
226,Aleksandr SHILOV,Russia,31
227,Keita WATABE,Japan,31
228,Karsten BOROWKA,Germany,31
229,Victor BAUDRAND (Current),Canada,30
230,Lukas KNAPP (Current),Austria,30
231,Rishat KHAIBULLIN (Current),Kazakhstan,30
232,Keita DOHI,Japan,30
233,Vladislav DEULIN,Russia,30
234,Arsenii SHEVCHENKO,Russia,30
235,Cesar GROSSO,Brazil,30
236,Alfons DORNAUER,Austria,30
237,Patxi AROCENA,Spain,30
238,Elko SCHELLINGERHOUT,Netherlands,29
239,Chi-wai LAI,"China, Hong Kong Special Administrative Region",29
240,Mark CROXALL,United Kingdom,29
241,Stefano ALIPPI,Italy,29
242,Stefan FÜRST,Austria,29
243,Thilo jeldrik SCHRÖTER (Current),Norway,29
244,Stefan SCHERZ (Current),Austria,29
245,Zach GALLA (Current),United States of America,29
246,Daniel WINKLER,Switzerland,29
247,Hidekazu ITO,Japan,29
248,Benjamin HANNA (Current),United States of America,28
249,Nils FAVRE (Current),Switzerland,28
250,Aspar JAELOLO,Indonesia,28
251,Jonathan PARTRIDGE,United Kingdom,27
252,Frédéric COROLLER,France,27
253,Manuel ESCOBAR,Venezuela (Bolivarian Republic of),27
254,Paul JENFT (Current),France,27
255,Mejdi SCHALCK (Current),France,27
256,Nicolai UZNIK (Current),Austria,27
257,Gholamali BARATZADEH (Current),Iran (Islamic Republic of),27
258,Keiichiro KORENAGA,Japan,27
259,Paul DEWILDE,France,27
260,Peter BOSMA,Sweden,27
261,Iakov SOUBBOTINE,Russia,27
262,Maximillian MILNE (Current),United Kingdom,26
263,Nao MONCHOIS (Current),France,26
264,Hamish MCARTHUR (Current),United Kingdom,26
265,Nicolas BADIA,France,26
266,Benoit HEINTZ,France,26
267,Frederic SARKANY,Belgium,26
268,Blaz RANT,Slovenia,26
269,Sebastien LAZURE,Canada,26
270,Josh LEVIN,United States of America,25
271,Lukas KÖB,Austria,25
272,Nicolas JANUEL,France,25
273,Jason HOLOWACH,Canada,25
274,Ian VICKERS,United Kingdom,25
275,Ao YURIKUSA (Current),Japan,25
276,Sorato ANRAKU (Current),Japan,25
277,Noah BRATSCHI (Current),United States of America,25
278,Jihwan PARK,Republic of Korea,25
279,Aric MERZ,Germany,25
280,Andrew EARL,United Kingdom,25
281,Sergio PASTOR MARTÍNEZ,Spain,25
282,Alessandro SANTONI,Italy,25
283,Flavien GUERIMAND,France,25
284,César ciudad MANZANEDO,Spain,25
285,Andrey VEDENMEER,Ukraine,25
286,Marek HAVLIK,Czechia,25
287,Julien CLÉMENCE (Current),Switzerland,24
288,Leo AVEZOU (Current),France,24
289,Santiago DE ALBA FLORES (Current),Mexico,24
290,Mathias POSCH (Current),Austria,24
291,Artyom DEVYATERIKOV (Current),Kazakhstan,24
292,Sergei LUZHETSKII,Russia,24
293,Michele CAMINATI,Italy,24
294,Rudolph RUANA,United States of America,24
295,Radovah SOUCEK,Czechia,24
296,Shinta OZAWA,Japan,24
297,Pedro PONS,Spain,24
298,Fabien COMINA,France,23
299,Toby ROBERTS (Current),United Kingdom,23
300,Nikolay RUSEV (Current),Bulgaria,23
301,Sergey ABDRAKHMANOV,Russia,23
302,Ruben FIRNENBURG,Germany,23
303,Timo PREUSSLER,Germany,23
304,Franci JENSTERLE,Slovenia,23
