,Country,Discipline,NumAthleteswithWCupWins,NumAthleteswithWCupPodiums
1,France,Boulder,16,40
2,United States of America,Boulder,10,14
3,Japan,Boulder,10,22
4,Russia,Boulder,8,14
5,Slovenia,Boulder,5,10
6,United Kingdom,Boulder,5,9
7,Germany,Boulder,5,9
8,Austria,Boulder,5,8
9,Ukraine,Boulder,4,5
10,Republic of Korea,Boulder,3,5
11,Italy,Boulder,3,8
12,Spain,Boulder,3,3
13,Czechia,Boulder,2,5
14,Israel,Boulder,1,1
15,Canada,Boulder,1,2
16,Poland,Boulder,1,2
17,Belgium,Boulder,1,2
18,Switzerland,Boulder,1,6
19,Sweden,Boulder,0,2
20,Australia,Boulder,0,1
21,China,Boulder,0,1
22,Serbia,Boulder,0,1
23,Finland,Boulder,0,1
24,Netherlands,Boulder,0,1
